VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
REACTOME_VLDL_ASSEMBLY,SET,5,1.6576,0.02734,0.33078,2.7304e-07,REACTOME_VLDL_ASSEMBLY,0.00332398896
GO_PERIPHERAL_NERVOUS_SYSTEM...4,SET,11,1.1731,0.028694,0.28606,2.0667e-05,GO_PERIPHERAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,0.089807598
REACTOME_PLASMA_LIPOPROTEIN_...1,SET,18,0.80543,0.025196,0.19829,2.444e-05,REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY,0.089807598
GO_PHOSPHATIDYLCHOLINE_STERO...,SET,6,1.6378,0.029591,0.40765,2.9508e-05,GO_PHOSPHATIDYLCHOLINE_STEROL_O_ACYLTRANSFERASE_ACTIVATOR_ACTIVITY,0.089807598
GO_POSITIVE_REGULATION_OF_MU...4,SET,176,0.24733,0.024089,0.06318,4.5434e-05,GO_POSITIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS,0.0942006728571429
GO_MICROVILLUS_MEMBRANE,SET,19,0.76078,0.024451,0.1952,4.8775e-05,GO_MICROVILLUS_MEMBRANE,0.0942006728571429
GO_TRIGEMINAL_NERVE_DEVELOPM...,SET,11,1.1771,0.028791,0.304,5.4165e-05,GO_TRIGEMINAL_NERVE_DEVELOPMENT,0.0942006728571429
GO_BRUSH_BORDER_ASSEMBLY,SET,5,1.3279,0.021902,0.35288,8.4208e-05,GO_BRUSH_BORDER_ASSEMBLY,0.115784885
GO_T_CELL_ACTIVATION_INVOLVE...,SET,91,0.36898,0.025902,0.099134,9.9118e-05,GO_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,0.115784885
GO_ENTRY_INTO_OTHER_ORGANISM...,SET,128,0.28678,0.023852,0.077321,0.00010439,GO_ENTRY_INTO_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.115784885
GO_POSITIVE_REGULATION_OF_CH...9,SET,9,1.2481,0.027615,0.33694,0.00010634,GO_POSITIVE_REGULATION_OF_CHOLESTEROL_ESTERIFICATION,0.115784885
GO_MESENCHYMAL_STEM_CELL_PRO...,SET,2,2.1309,0.02223,0.57807,0.00011413,GO_MESENCHYMAL_STEM_CELL_PROLIFERATION,0.115784885
