VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GO_MICROVILLUS_MEMBRANE,SET,19,0.84189,0.027071,0.19578,8.5775e-06,GO_MICROVILLUS_MEMBRANE,0.104422485
GO_NEURONAL_SIGNAL_TRANSDUCT...,SET,6,1.6322,0.029503,0.40841,3.2284e-05,GO_NEURONAL_SIGNAL_TRANSDUCTION,0.196512708
GO_TRIGEMINAL_NERVE_DEVELOPM...,SET,11,1.1792,0.028856,0.30365,5.1721e-05,GO_TRIGEMINAL_NERVE_DEVELOPMENT,0.209883818
GO_BRUSH_BORDER_ASSEMBLY,SET,5,1.3328,0.021994,0.35717,9.5448e-05,GO_BRUSH_BORDER_ASSEMBLY,0.2342734125
GO_RNA_STEM_LOOP_BINDING,SET,15,0.75416,0.021549,0.20576,0.00012395,GO_RNA_STEM_LOOP_BINDING,0.2342734125
GO_MESENCHYMAL_STEM_CELL_PRO...,SET,2,2.0282,0.021169,0.55724,0.00013686,GO_MESENCHYMAL_STEM_CELL_PROLIFERATION,0.2342734125
GO_SPANNING_COMPONENT_OF_PLA...,SET,6,1.1698,0.021146,0.32251,0.00014364,GO_SPANNING_COMPONENT_OF_PLASMA_MEMBRANE,0.2342734125
GO_PERIPHERAL_NERVOUS_SYSTEM...4,SET,11,1.0312,0.025236,0.28572,0.00015395,GO_PERIPHERAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,0.2342734125
BIOCARTA_BLYMPHOCYTE_PATHWAY,SET,10,1.1146,0.026007,0.31277,0.00018347,BIOCARTA_BLYMPHOCYTE_PATHWAY,0.248173753333333
GO_TRANSFERASE_ACTIVITY_TRAN...3,SET,49,0.44302,0.022858,0.12592,0.00021774,GO_TRANSFERASE_ACTIVITY_TRANSFERRING_ALKYL_OR_ARYL_OTHER_THAN_METHYL_GROUPS,0.26299898
GO_POSITIVE_REGULATION_OF_LI...10,SET,8,1.214,0.025337,0.34767,0.00024054,GO_POSITIVE_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY,0.26299898
GO_POSITIVE_REGULATION_OF_MU...4,SET,175,0.21842,0.021224,0.062916,0.00025924,GO_POSITIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS,0.26299898
REACTOME_DISEASES_ASSOCIATED...2,SET,16,0.6461,0.019067,0.18923,0.00032033,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,0.299976724615385
GO_NEGATIVE_REGULATION_OF_SE...3,SET,5,1.4436,0.023822,0.42831,0.00037608,GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY,0.310885515789474
GO_RADIAL_SPOKE,SET,4,1.5345,0.022649,0.45743,0.00039817,GO_RADIAL_SPOKE,0.310885515789474
REACTOME_PHOSPHORYLATION_OF_...3,SET,18,0.56479,0.017677,0.16962,0.00043561,REACTOME_PHOSPHORYLATION_OF_THE_APC_C,0.310885515789474
GO_GLUTATHIONE_TRANSFERASE_A...,SET,22,0.73904,0.025569,0.22376,0.0004796,GO_GLUTATHIONE_TRANSFERASE_ACTIVITY,0.310885515789474
GO_PERIPHERAL_NERVOUS_SYSTEM...2,SET,73,0.34855,0.021936,0.10554,0.00048027,GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT,0.310885515789474
GO_CELLULAR_RESPONSE_TO_ANTI...,SET,128,0.25983,0.021621,0.078748,0.0004852,GO_CELLULAR_RESPONSE_TO_ANTIBIOTIC,0.310885515789474
GO_REGULATION_OF_PROTON_TRAN...,SET,16,0.6701,0.019775,0.20429,0.00051976,GO_REGULATION_OF_PROTON_TRANSPORT,0.316377912
GO_MYOSIN_II_COMPLEX,SET,22,0.66031,0.022845,0.20694,0.00071036,GO_MYOSIN_II_COMPLEX,0.41180584
GO_CEREBELLAR_CORTEX_DEVELOP...,SET,43,0.39813,0.019246,0.12617,0.00080255,GO_CEREBELLAR_CORTEX_DEVELOPMENT,0.444101986363636
GO_ESTRADIOL_17_BETA_DEHYDRO...,SET,11,0.75808,0.018552,0.24231,0.00087967,GO_ESTRADIOL_17_BETA_DEHYDROGENASE_ACTIVITY,0.465613155652174
GO_POSITIVE_REGULATION_OF_LI...1,SET,6,0.86319,0.015603,0.27768,0.00094144,GO_POSITIVE_REGULATION_OF_LIGASE_ACTIVITY,0.468528136842105
GO_CELLULAR_RESPONSE_TO_TOXI...,SET,208,0.18922,0.020027,0.061262,0.0010069,GO_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE,0.468528136842105
GO_REGULATION_OF_SERINE_TYPE...,SET,7,1.0686,0.020863,0.34803,0.0010708,GO_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY,0.468528136842105
GO_SPANNING_COMPONENT_OF_MEM...,SET,8,0.89302,0.018638,0.29179,0.0011066,GO_SPANNING_COMPONENT_OF_MEMBRANE,0.468528136842105
PID_TCR_CALCIUM_PATHWAY,SET,27,0.50673,0.01942,0.16561,0.0011092,PID_TCR_CALCIUM_PATHWAY,0.468528136842105
GO_CARBOHYDRATE_BINDING,SET,239,0.17686,0.020049,0.058333,0.0012168,GO_CARBOHYDRATE_BINDING,0.468528136842105
GO_POSITIVE_REGULATION_OF_CE...50,SET,8,0.85091,0.01776,0.28193,0.0012734,GO_POSITIVE_REGULATION_OF_CENTROSOME_DUPLICATION,0.468528136842105
GO_NEGATIVE_REGULATION_OF_HU...2,SET,5,1.3465,0.022219,0.44692,0.0012964,GO_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,0.468528136842105
GO_VOLTAGE_GATED_SODIUM_CHAN...2,SET,5,1.2734,0.021013,0.42377,0.0013304,GO_VOLTAGE_GATED_SODIUM_CHANNEL_ACTIVITY_INVOLVED_IN_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,0.468528136842105
GO_L_ORNITHINE_TRANSMEMBRANE...,SET,4,1.5406,0.022739,0.51377,0.001358,GO_L_ORNITHINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.468528136842105
GO_CHYLOMICRON_ASSEMBLY,SET,8,0.82609,0.017242,0.27825,0.0014963,GO_CHYLOMICRON_ASSEMBLY,0.468528136842105
GO_ENTRY_INTO_OTHER_ORGANISM...,SET,128,0.22677,0.01887,0.076509,0.0015206,GO_ENTRY_INTO_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.468528136842105
GO_PEPTIDE_DISULFIDE_OXIDORE...,SET,15,0.62762,0.017933,0.21418,0.001695,GO_PEPTIDE_DISULFIDE_OXIDOREDUCTASE_ACTIVITY,0.468528136842105
GO_CEREBELLAR_PURKINJE_CELL_...2,SET,22,0.49052,0.016971,0.16744,0.0016998,GO_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT,0.468528136842105
GO_ADRENAL_GLAND_DEVELOPMENT,SET,24,0.57341,0.02072,0.19631,0.0017473,GO_ADRENAL_GLAND_DEVELOPMENT,0.468528136842105
GO_SINGLE_THYMINE_INSERTION_...,SET,5,0.82644,0.013637,0.28318,0.0017611,GO_SINGLE_THYMINE_INSERTION_BINDING,0.468528136842105
GO_NEGATIVE_REGULATION_OF_PH...2,SET,12,0.72132,0.018436,0.24728,0.001769,GO_NEGATIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,0.468528136842105
GO_ORNITHINE_TRANSPORT,SET,5,1.3341,0.022014,0.45738,0.0017706,GO_ORNITHINE_TRANSPORT,0.468528136842105
GO_NEGATIVE_REGULATION_OF_HU...1,SET,9,0.9394,0.020795,0.32239,0.0017873,GO_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,0.468528136842105
REACTOME_METABOLISM_OF_CARBO...,SET,273,0.14582,0.01765,0.050204,0.0018414,REACTOME_METABOLISM_OF_CARBOHYDRATES,0.468528136842105
GO_PROTEIN_SIDE_CHAIN_DEGLUT...,SET,5,1.0202,0.016834,0.35187,0.0018722,GO_PROTEIN_SIDE_CHAIN_DEGLUTAMYLATION,0.468528136842105
GO_CARBONYL_REDUCTASE_NADPH_...,SET,5,1.2755,0.021047,0.44019,0.001883,GO_CARBONYL_REDUCTASE_NADPH_ACTIVITY,0.468528136842105
REACTOME_INHIBITION_OF_THE_P...,SET,19,0.52088,0.016749,0.17984,0.0018901,REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,0.468528136842105
GO_MAINTENANCE_OF_DNA_REPEAT...,SET,6,0.8954,0.016185,0.30934,0.0019009,GO_MAINTENANCE_OF_DNA_REPEAT_ELEMENTS,0.468528136842105
PID_FOXM1_PATHWAY,SET,40,0.39129,0.018246,0.13543,0.0019333,PID_FOXM1_PATHWAY,0.468528136842105
GO_POSITIVE_REGULATION_OF_SY...2,SET,9,0.80704,0.017865,0.28029,0.0019949,GO_POSITIVE_REGULATION_OF_SYNAPSE_MATURATION,0.468528136842105
GO_MUSCLE_TISSUE_DEVELOPMENT,SET,363,0.1352,0.018823,0.047016,0.0020186,GO_MUSCLE_TISSUE_DEVELOPMENT,0.468528136842105
REACTOME_APC_C:CDC20_MEDIATE...,SET,21,0.48936,0.016542,0.17052,0.0020567,REACTOME_APC_C:CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,0.468528136842105
GO_MUSCLE_ORGAN_DEVELOPMENT,SET,360,0.13565,0.01881,0.047451,0.0021285,GO_MUSCLE_ORGAN_DEVELOPMENT,0.468528136842105
GO_REGULATION_OF_DNA_DAMAGE_...2,SET,29,0.44865,0.017818,0.15721,0.0021617,GO_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.468528136842105
GO_GUANINE_THYMINE_MISPAIR_B...,SET,6,0.76222,0.013778,0.26711,0.0021643,GO_GUANINE_THYMINE_MISPAIR_BINDING,0.468528136842105
GO_PROCOLLAGEN_PROLINE_4_DIO...,SET,5,0.80623,0.013304,0.28257,0.0021663,GO_PROCOLLAGEN_PROLINE_4_DIOXYGENASE_ACTIVITY,0.468528136842105
GO_GALACTOLIPID_BIOSYNTHETIC...,SET,6,1.0425,0.018844,0.36569,0.0021838,GO_GALACTOLIPID_BIOSYNTHETIC_PROCESS,0.468528136842105
KEGG_HISTIDINE_METABOLISM,SET,26,0.48058,0.018073,0.16867,0.0021937,KEGG_HISTIDINE_METABOLISM,0.468528136842105
GO_C_TERMINAL_PROTEIN_DEGLUT...,SET,5,1.1672,0.019261,0.4141,0.0024137,GO_C_TERMINAL_PROTEIN_DEGLUTAMYLATION,0.476980325925926
GO_OXIDOREDUCTASE_ACTIVITY,SET,670,0.093411,0.017517,0.03323,0.0024718,GO_OXIDOREDUCTASE_ACTIVITY,0.476980325925926
REACTOME_EPHA_MEDIATED_GROWT...,SET,29,0.47552,0.018885,0.16986,0.0025614,REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE,0.476980325925926
GO_ACTOMYOSIN_STRUCTURE_ORGA...,SET,180,0.17908,0.017646,0.064034,0.0025845,GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION,0.476980325925926
GO_BRANCHIOMOTOR_NEURON_AXON...,SET,5,1.103,0.018202,0.39486,0.00261,GO_BRANCHIOMOTOR_NEURON_AXON_GUIDANCE,0.476980325925926
GO_MACROMOLECULE_TRANSMEMBRA...,SET,20,0.51936,0.017134,0.18612,0.0026344,GO_MACROMOLECULE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.476980325925926
GO_REPLICATION_FORK_ARREST,SET,5,0.9136,0.015076,0.32851,0.002712,GO_REPLICATION_FORK_ARREST,0.476980325925926
GO_GLYCOSPHINGOLIPID_BIOSYNT...,SET,24,0.52285,0.018893,0.18809,0.0027229,GO_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS,0.476980325925926
GO_MOTOR_BEHAVIOR,SET,5,1.0303,0.017002,0.37091,0.0027393,GO_MOTOR_BEHAVIOR,0.476980325925926
PID_ATM_PATHWAY,SET,30,0.38043,0.015367,0.13703,0.0027518,PID_ATM_PATHWAY,0.476980325925926
GO_NEGATIVE_REGULATION_OF_SI...3,SET,27,0.45457,0.017421,0.16413,0.0028099,GO_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.476980325925926
GO_POSITIVE_REGULATION_OF_CA...5,SET,34,0.44453,0.019113,0.16054,0.0028151,GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.476980325925926
REACTOME_VLDL_ASSEMBLY,SET,3,1.0814,0.013824,0.3906,0.002817,REACTOME_VLDL_ASSEMBLY,0.476980325925926
GO_POSITIVE_REGULATION_OF_RE...18,SET,41,0.38437,0.018145,0.13959,0.0029502,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,0.476980325925926
GO_INTEGRIN_ACTIVATION,SET,22,0.4976,0.017216,0.18072,0.002952,GO_INTEGRIN_ACTIVATION,0.476980325925926
GO_DNA_DEPENDENT_DNA_REPLICA...2,SET,36,0.35898,0.015882,0.13038,0.0029531,GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,0.476980325925926
REACTOME_APC_CDC20_MEDIATED_...,SET,23,0.47079,0.016654,0.17117,0.002979,REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,0.476980325925926
GO_OXIDIZED_DNA_BINDING,SET,11,0.65319,0.015985,0.23778,0.0030098,GO_OXIDIZED_DNA_BINDING,0.476980325925926
GO_CONVERGENT_EXTENSION_INVO...3,SET,6,1.0157,0.018361,0.3701,0.0030332,GO_CONVERGENT_EXTENSION_INVOLVED_IN_ORGANOGENESIS,0.476980325925926
GO_POSITIVE_REGULATION_OF_AN...4,SET,5,0.83406,0.013763,0.3041,0.0030495,GO_POSITIVE_REGULATION_OF_ANOIKIS,0.476980325925926
GO_POSITIVE_REGULATION_OF_IM...3,SET,957,0.078614,0.017476,0.028709,0.0030907,GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.476980325925926
GO_CONVERGENT_EXTENSION_INVO...2,SET,8,0.89368,0.018652,0.32701,0.0031418,GO_CONVERGENT_EXTENSION_INVOLVED_IN_GASTRULATION,0.476980325925926
GO_PEPTIDE_TRANSMEMBRANE_TRA...,SET,29,0.43396,0.017235,0.15886,0.003153,GO_PEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.476980325925926
