VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GO_REGULATION_OF_DNA_LIGATION,SET,6,1.3409,0.024226,0.32638,2.0018e-05,GO_REGULATION_OF_DNA_LIGATION,0.2303655585
GO_MHC_CLASS_I_PROTEIN_BINDI...,SET,16,0.83457,0.024616,0.21084,3.7887e-05,GO_MHC_CLASS_I_PROTEIN_BINDING,0.2303655585
GO_POSITIVE_REGULATION_OF_DN...7,SET,5,1.3802,0.022763,0.36123,6.6757e-05,GO_POSITIVE_REGULATION_OF_DNA_LIGATION,0.2303655585
GO_PHOSPHATIDYLCHOLINE_STERO...,SET,6,1.523,0.027516,0.40189,7.5691e-05,GO_PHOSPHATIDYLCHOLINE_STEROL_O_ACYLTRANSFERASE_ACTIVATOR_ACTIVITY,0.2303655585
GO_POSITIVE_REGULATION_OF_PH...5,SET,81,0.3777,0.025022,0.10352,0.00013225,GO_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,0.271933958181818
GO_CELLULAR_BIOGENIC_AMINE_M...,SET,45,0.45955,0.022714,0.12803,0.0001661,GO_CELLULAR_BIOGENIC_AMINE_METABOLIC_PROCESS,0.271933958181818
REACTOME_HDR_THROUGH_MMEJ_AL...,SET,9,0.91335,0.020209,0.25511,0.00017209,REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ,0.271933958181818
GO_ACTIVATION_OF_TRANSMEMBRA...,SET,13,0.85179,0.022648,0.24237,0.00022092,GO_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.271933958181818
GO_SISTER_CHROMATID_COHESION,SET,42,0.43137,0.0206,0.12346,0.00023859,GO_SISTER_CHROMATID_COHESION,0.271933958181818
GO_TRIGLYCERIDE_RICH_LIPOPRO...1,SET,9,1.0277,0.02274,0.29452,0.00024257,GO_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE,0.271933958181818
GO_PLASMA_LIPOPROTEIN_PARTIC...,SET,54,0.42159,0.022821,0.12094,0.00024571,GO_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE,0.271933958181818
GO_MAINTENANCE_OF_CELL_POLAR...,SET,15,0.8714,0.024887,0.25424,0.00030538,GO_MAINTENANCE_OF_CELL_POLARITY,0.282688975714286
GO_REGULATION_OF_LIPOPROTEIN...3,SET,19,0.65891,0.021177,0.193,0.00032076,GO_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE,0.282688975714286
GO_PHOSPHATIDYLINOSITOL_5_PH...,SET,13,0.80753,0.021472,0.23679,0.00032509,GO_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_BINDING,0.282688975714286
GO_POTASSIUM_CHANNEL_COMPLEX,SET,96,0.3191,0.023004,0.094851,0.00038465,GO_POTASSIUM_CHANNEL_COMPLEX,0.31218194
REACTOME_IRF3_MEDIATED_ACTIV...,SET,5,1.0567,0.017429,0.31735,0.00043518,REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN,0.328268706315789
GO_SPHINGOSINE_N_ACYLTRANSFE...,SET,7,1.0285,0.020071,0.31228,0.0004954,GO_SPHINGOSINE_N_ACYLTRANSFERASE_ACTIVITY,0.328268706315789
GO_REGULATION_OF_PEPTIDYL_CY...,SET,6,1.1871,0.021447,0.36112,0.00050696,GO_REGULATION_OF_PEPTIDYL_CYSTEINE_S_NITROSYLATION,0.328268706315789
GO_REGULATION_OF_CDC42_PROTE...,SET,7,1.2388,0.024174,0.37719,0.00051233,GO_REGULATION_OF_CDC42_PROTEIN_SIGNAL_TRANSDUCTION,0.328268706315789
GO_POTASSIUM_ION_TRANSMEMBRA...,SET,153,0.24503,0.022265,0.075565,0.0005934,GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.345520254545455
GO_REGULATION_OF_ACTIN_CYTOS...,SET,34,0.48737,0.020945,0.15406,0.00078104,GO_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION,0.345520254545455
GO_TRIGLYCERIDE_RICH_PLASMA_...,SET,18,0.71648,0.022414,0.22791,0.00083547,GO_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE,0.345520254545455
GO_NEUTROPHIL_MEDIATED_KILLI...2,SET,8,1.1021,0.022991,0.35198,0.00087197,GO_NEUTROPHIL_MEDIATED_KILLING_OF_SYMBIONT_CELL,0.345520254545455
GO_ACYLGLYCEROL_HOMEOSTASIS,SET,32,0.4624,0.01928,0.14791,0.00088679,GO_ACYLGLYCEROL_HOMEOSTASIS,0.345520254545455
