VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GO_REGULATION_OF_DNA_LIGATION,SET,6,1.7013,0.030752,0.33497,1.9172e-07,GO_REGULATION_OF_DNA_LIGATION,0.00157610691
GO_POSITIVE_REGULATION_OF_DN...7,SET,5,1.8324,0.030238,0.36492,2.5893e-07,GO_POSITIVE_REGULATION_OF_DNA_LIGATION,0.00157610691
GO_ACTIVATION_OF_TRANSMEMBRA...,SET,13,0.91168,0.024253,0.24414,9.445e-05,GO_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.3832781
GO_CENTROMERIC_SISTER_CHROMA...,SET,9,0.89382,0.019786,0.2451,0.00013316,GO_CENTROMERIC_SISTER_CHROMATID_COHESION,0.40527246
REACTOME_HDR_THROUGH_MMEJ_AL...,SET,9,0.89969,0.019916,0.25949,0.00026358,REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ,0.505121620408163
GO_POSITIVE_REGULATION_OF_PH...5,SET,81,0.35417,0.023474,0.10325,0.00030228,GO_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,0.505121620408163
BIOCARTA_FMLP_PATHWAY,SET,32,0.52575,0.021932,0.15517,0.00035257,BIOCARTA_FMLP_PATHWAY,0.505121620408163
GO_MHC_CLASS_II_BIOSYNTHETIC...,SET,12,0.79325,0.020275,0.23485,0.00036622,GO_MHC_CLASS_II_BIOSYNTHETIC_PROCESS,0.505121620408163
GO_PROTEIN_HETERODIMERIZATIO...,SET,439,0.14307,0.021859,0.04331,0.00047842,GO_PROTEIN_HETERODIMERIZATION_ACTIVITY,0.505121620408163
GO_RESPONSE_TO_HYDROPEROXIDE,SET,19,0.65109,0.020936,0.19745,0.00048859,GO_RESPONSE_TO_HYDROPEROXIDE,0.505121620408163
GO_REGULATION_OF_ACTIN_CYTOS...,SET,34,0.51025,0.021939,0.15503,0.00049946,GO_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION,0.505121620408163
GO_SISTER_CHROMATID_COHESION,SET,42,0.41344,0.019753,0.12752,0.00059416,GO_SISTER_CHROMATID_COHESION,0.505121620408163
GO_CELLULAR_BIOGENIC_AMINE_M...,SET,45,0.41055,0.020302,0.12843,0.00069612,GO_CELLULAR_BIOGENIC_AMINE_METABOLIC_PROCESS,0.505121620408163
GO_POSITIVE_REGULATION_OF_AX...3,SET,8,0.97942,0.020442,0.3065,0.00069918,GO_POSITIVE_REGULATION_OF_AXON_GUIDANCE,0.505121620408163
REACTOME_IRF3_MEDIATED_ACTIV...,SET,5,1.0231,0.016883,0.32242,0.00075526,REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN,0.505121620408163
GO_MAINTENANCE_OF_CELL_POLAR...,SET,15,0.74719,0.02135,0.23715,0.00081586,GO_MAINTENANCE_OF_CELL_POLARITY,0.505121620408163
GO_POSITIVE_REGULATION_OF_AC...1,SET,18,0.66923,0.020946,0.21296,0.00083895,GO_POSITIVE_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION,0.505121620408163
GO_ENDOCARDIAL_CELL_DIFFEREN...,SET,7,1.1646,0.022737,0.37304,0.00089975,GO_ENDOCARDIAL_CELL_DIFFERENTIATION,0.505121620408163
GO_PHOSPHATIDYLINOSITOL_5_PH...,SET,13,0.72911,0.019396,0.23388,0.00091335,GO_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_BINDING,0.505121620408163
GO_POSITIVE_REGULATION_OF_LE...5,SET,22,0.56299,0.019478,0.1814,0.00095744,GO_POSITIVE_REGULATION_OF_LEUKOCYTE_DEGRANULATION,0.505121620408163
GO_POTASSIUM_ION_TRANSMEMBRA...,SET,153,0.23393,0.021267,0.076086,0.0010559,GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.505121620408163
