VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GO_ESCRT_COMPLEX,SET,27,0.62903,0.024094,0.1597,4.108e-05,GO_ESCRT_COMPLEX,0.414414027272727
GO_CORE_MEDIATOR_COMPLEX,SET,7,1.0522,0.020532,0.28232,9.7214e-05,GO_CORE_MEDIATOR_COMPLEX,0.414414027272727
GO_LUMENAL_SIDE_OF_MEMBRANE,SET,27,0.61668,0.023621,0.17004,0.00014392,GO_LUMENAL_SIDE_OF_MEMBRANE,0.414414027272727
GO_POTASSIUM_ION_TRANSMEMBRA...,SET,153,0.26983,0.024519,0.076544,0.00021209,GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.414414027272727
KEGG_MISMATCH_REPAIR,SET,22,0.56992,0.019708,0.16576,0.00029336,KEGG_MISMATCH_REPAIR,0.414414027272727
GO_INFLAMMATORY_CELL_APOPTOT...,SET,20,0.63202,0.020839,0.18672,0.00035687,GO_INFLAMMATORY_CELL_APOPTOTIC_PROCESS,0.414414027272727
GO_OXIDATIVE_DEMETHYLATION,SET,17,0.6411,0.019491,0.19042,0.00038111,GO_OXIDATIVE_DEMETHYLATION,0.414414027272727
REACTOME_WNT_LIGAND_BIOGENES...,SET,24,0.62181,0.022457,0.18475,0.00038258,REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING,0.414414027272727
GO_NUCLEOTIDE_EXCISION_REPAI...1,SET,11,0.67876,0.016602,0.20191,0.00038808,GO_NUCLEOTIDE_EXCISION_REPAIR_COMPLEX,0.414414027272727
GO_PORIN_ACTIVITY,SET,6,1.2551,0.022675,0.37375,0.00039327,GO_PORIN_ACTIVITY,0.414414027272727
GO_NEGATIVE_REGULATION_OF_P3...,SET,6,1.3401,0.024211,0.40189,0.00042827,GO_NEGATIVE_REGULATION_OF_P38MAPK_CASCADE,0.414414027272727
KEGG_DRUG_METABOLISM_CYTOCHR...,SET,65,0.47338,0.028104,0.14237,0.00044316,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.414414027272727
GO_DNA_BINDING_TRANSCRIPTION...2,SET,1560,0.080189,0.022351,0.024268,0.00047703,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,0.414414027272727
GO_EOSINOPHIL_ACTIVATION,SET,6,1.0564,0.019086,0.32475,0.00057214,GO_EOSINOPHIL_ACTIVATION,0.414414027272727
GO_NEUROTRANSMITTER_GATED_IO...,SET,12,0.88711,0.022662,0.27337,0.00058812,GO_NEUROTRANSMITTER_GATED_ION_CHANNEL_CLUSTERING,0.414414027272727
GO_MHC_CLASS_II_BIOSYNTHETIC...,SET,12,0.74603,0.019058,0.23209,0.00065466,GO_MHC_CLASS_II_BIOSYNTHETIC_PROCESS,0.414414027272727
GO_SINGLE_STRAND_BREAK_REPAIR,SET,9,0.77952,0.017247,0.24298,0.00066924,GO_SINGLE_STRAND_BREAK_REPAIR,0.414414027272727
GO_PHOSPHATIDYLINOSITOL_5_PH...,SET,13,0.7651,0.020343,0.23886,0.00068078,GO_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_BINDING,0.414414027272727
GO_ADP_TRANSPORT,SET,4,1.2592,0.018577,0.3942,0.00070184,GO_ADP_TRANSPORT,0.414414027272727
GO_ADP_TRANSMEMBRANE_TRANSPO...,SET,4,1.2592,0.018577,0.3942,0.00070184,GO_ADP_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.414414027272727
GO_REGULATION_OF_EOSINOPHIL_...,SET,5,1.2915,0.0213,0.40585,0.00073233,GO_REGULATION_OF_EOSINOPHIL_MIGRATION,0.414414027272727
GO_NEGATIVE_REGULATION_OF_PR...1,SET,12,0.82604,0.021102,0.26012,0.0007489,GO_NEGATIVE_REGULATION_OF_PRI_MIRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II,0.414414027272727
GO_REGULATION_OF_LIPOPROTEIN...3,SET,19,0.60281,0.019373,0.19301,0.00089567,GO_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE,0.4414974144
GO_INTEGRAL_COMPONENT_OF_CYT...,SET,6,0.92914,0.016786,0.29757,0.00089833,GO_INTEGRAL_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE,0.4414974144
GO_POTASSIUM_CHANNEL_ACTIVITY,SET,119,0.27557,0.022104,0.088333,0.00090664,GO_POTASSIUM_CHANNEL_ACTIVITY,0.4414974144
GO_DORSAL_VENTRAL_PATTERN_FO...,SET,87,0.30528,0.020956,0.099116,0.0010363,GO_DORSAL_VENTRAL_PATTERN_FORMATION,0.471525107142857
GO_PHOSPHATIDYLCHOLINE_STERO...,SET,6,1.2393,0.022391,0.40411,0.0010834,GO_PHOSPHATIDYLCHOLINE_STEROL_O_ACYLTRANSFERASE_ACTIVATOR_ACTIVITY,0.471525107142857
GO_MULTIVESICULAR_BODY_ORGAN...,SET,31,0.43931,0.018029,0.14326,0.0010845,GO_MULTIVESICULAR_BODY_ORGANIZATION,0.471525107142857
GO_NEGATIVE_REGULATION_OF_LI...11,SET,10,0.81697,0.019053,0.26766,0.0011372,GO_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE,0.477388717241379
GO_DOSAGE_COMPENSATION,SET,17,0.61743,0.018771,0.20297,0.0011768,GO_DOSAGE_COMPENSATION,0.47754544
GO_X_CHROMOSOME,SET,8,1.0169,0.021213,0.33619,0.0012457,GO_X_CHROMOSOME,0.48919844516129
GO_RESPONSE_TO_PARATHYROID_H...,SET,9,0.91598,0.020266,0.30624,0.0013922,GO_RESPONSE_TO_PARATHYROID_HORMONE,0.5296450875
GO_AMPA_GLUTAMATE_RECEPTOR_C...1,SET,8,0.96337,0.020096,0.3243,0.001488,GO_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING,0.548936727272727
GO_CARDIAC_CELL_FATE_COMMITM...,SET,12,0.83738,0.021392,0.28282,0.0015361,GO_CARDIAC_CELL_FATE_COMMITMENT,0.550014158823529
GO_PHOSPHATIDYLINOSITOL_3_5_...1,SET,2,1.3007,0.013569,0.44205,0.0016306,GO_PHOSPHATIDYLINOSITOL_3_5_BISPHOSPHATE_3_PHOSPHATASE_ACTIVITY,0.556476661538461
GO_RENAL_SODIUM_ION_TRANSPORT,SET,5,1.1541,0.019034,0.39373,0.0016909,GO_RENAL_SODIUM_ION_TRANSPORT,0.556476661538461
GO_NUCLEOTIDASE_ACTIVITY,SET,15,0.61626,0.0176,0.21042,0.0017038,GO_NUCLEOTIDASE_ACTIVITY,0.556476661538461
GO_DRUG_TRANSMEMBRANE_TRANSP...2,SET,90,0.2716,0.018961,0.093054,0.0017593,GO_DRUG_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.556476661538461
GO_POSITIVE_REGULATION_OF_BE...,SET,24,0.59016,0.021314,0.20248,0.0017827,GO_POSITIVE_REGULATION_OF_BEHAVIOR,0.556476661538461
GO_ANION_TRANSMEMBRANE_TRANS...2,SET,298,0.15128,0.019108,0.052183,0.0018737,GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.570260595
GO_SOLUTE_PROTON_ANTIPORTER_...,SET,16,0.6161,0.018172,0.21392,0.0019903,GO_SOLUTE_PROTON_ANTIPORTER_ACTIVITY,0.579155337313433
GO_PROTEIN_SERINE_THREONINE_...1,SET,27,0.48384,0.018533,0.17001,0.0022162,GO_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY,0.579155337313433
GO_REGIONALIZATION,SET,324,0.1501,0.019755,0.052795,0.0022363,GO_REGIONALIZATION,0.579155337313433
GO_NEGATIVE_REGULATION_OF_LO...3,SET,7,0.95505,0.018637,0.33689,0.0022949,GO_NEGATIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,0.579155337313433
REACTOME_HDR_THROUGH_MMEJ_AL...,SET,9,0.70771,0.015658,0.24973,0.0023013,REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ,0.579155337313433
REACTOME_FATTY_ACIDS,SET,15,0.70406,0.020107,0.24944,0.0023846,REACTOME_FATTY_ACIDS,0.579155337313433
GO_LONG_TERM_MEMORY,SET,32,0.45231,0.018859,0.16039,0.0024027,GO_LONG_TERM_MEMORY,0.579155337313433
GO_REGULATION_OF_PLASMA_MEMB...,SET,10,0.73689,0.017185,0.26135,0.0024075,GO_REGULATION_OF_PLASMA_MEMBRANE_ORGANIZATION,0.579155337313433
REACTOME_CHOLINE_CATABOLISM,SET,6,1.0779,0.019475,0.38267,0.0024272,REACTOME_CHOLINE_CATABOLISM,0.579155337313433
GO_CHOLINE_CATABOLIC_PROCESS,SET,6,1.0779,0.019475,0.38267,0.0024272,GO_CHOLINE_CATABOLIC_PROCESS,0.579155337313433
GO_KINETOCHORE_ASSEMBLY,SET,14,0.66328,0.018301,0.23671,0.0025417,GO_KINETOCHORE_ASSEMBLY,0.579155337313433
GO_REGULATION_OF_RETINAL_GAN...,SET,5,1.2464,0.020557,0.44513,0.0025578,GO_REGULATION_OF_RETINAL_GANGLION_CELL_AXON_GUIDANCE,0.579155337313433
GO_REGULATION_OF_VACUOLAR_TR...,SET,4,1.2976,0.019143,0.4637,0.0025704,GO_REGULATION_OF_VACUOLAR_TRANSPORT,0.579155337313433
