VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GO_POSITIVE_REGULATION_OF_DN...7,SET,5,1.2354,0.020386,0.29241,1.2011e-05,GO_POSITIVE_REGULATION_OF_DNA_LIGATION,0.146221914
GO_NEGATIVE_REGULATION_OF_CO...6,SET,6,1.492,0.026968,0.38142,4.6014e-05,GO_NEGATIVE_REGULATION_OF_COMPLEMENT_ACTIVATION,0.239389536
GO_POTASSIUM_ION_TRANSMEMBRA...,SET,153,0.29338,0.026672,0.076609,6.4399e-05,GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.239389536
GO_REGULATION_OF_DNA_LIGATION,SET,6,1.0381,0.018764,0.27462,7.8656e-05,GO_REGULATION_OF_DNA_LIGATION,0.239389536
GO_NEGATIVE_REGULATION_OF_P3...,SET,6,1.489,0.026914,0.41013,0.00014186,GO_NEGATIVE_REGULATION_OF_P38MAPK_CASCADE,0.29286586
GO_NUCLEOTIDASE_ACTIVITY,SET,15,0.76919,0.021978,0.21213,0.00014434,GO_NUCLEOTIDASE_ACTIVITY,0.29286586
GO_CORE_MEDIATOR_COMPLEX,SET,7,0.96983,0.018934,0.27113,0.00017426,GO_CORE_MEDIATOR_COMPLEX,0.300985549090909
GO_NEGATIVE_REGULATION_OF_HU...2,SET,5,1.5688,0.025887,0.44385,0.00020482,GO_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,0.300985549090909
GO_PHOSPHATIDYLINOSITOL_5_PH...,SET,13,0.84478,0.022472,0.24227,0.00024489,GO_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_BINDING,0.300985549090909
GO_POSITIVE_REGULATION_OF_PH...5,SET,81,0.35883,0.023783,0.10327,0.00025642,GO_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,0.300985549090909
GO_SPHINGOSINE_N_ACYLTRANSFE...,SET,7,1.1251,0.021966,0.32529,0.00027196,GO_SPHINGOSINE_N_ACYLTRANSFERASE_ACTIVITY,0.300985549090909
GO_DORSAL_VENTRAL_PATTERN_FO...,SET,87,0.34331,0.023578,0.099942,0.00029688,GO_DORSAL_VENTRAL_PATTERN_FORMATION,0.30118476
