VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GO_ANCHORED_COMPONENT_OF_PRE...,SET,8,1.3847,0.028884,0.34061,2.4082e-05,GO_ANCHORED_COMPONENT_OF_PRESYNAPTIC_MEMBRANE,0.26125404
GO_NEGATIVE_REGULATION_OF_PR...38,SET,27,0.63351,0.024264,0.16243,4.8251e-05,GO_NEGATIVE_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.26125404
GO_MEMBRANE_RAFT_ASSEMBLY,SET,10,1.0582,0.024678,0.27634,6.4467e-05,GO_MEMBRANE_RAFT_ASSEMBLY,0.26125404
GO_MEMBRANE_RAFT_ORGANIZATION,SET,21,0.75158,0.025391,0.2022,0.00010109,GO_MEMBRANE_RAFT_ORGANIZATION,0.26125404
GO_PHOSPHATIDYLCHOLINE_STERO...,SET,6,1.518,0.027423,0.41005,0.0001073,GO_PHOSPHATIDYLCHOLINE_STEROL_O_ACYLTRANSFERASE_ACTIVATOR_ACTIVITY,0.26125404
GO_POSITIVE_REGULATION_OF_PO...2,SET,4,1.4417,0.021266,0.40151,0.00016543,GO_POSITIVE_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_ORGANIZATION,0.312476145
GO_REGULATION_OF_AMYLOID_BET...1,SET,14,0.79138,0.021834,0.22336,0.00019821,GO_REGULATION_OF_AMYLOID_BETA_CLEARANCE,0.312476145
GO_RAL_GTPASE_BINDING,SET,14,0.71747,0.019795,0.20303,0.00020534,GO_RAL_GTPASE_BINDING,0.312476145
GO_POSITIVE_REGULATION_OF_AC...10,SET,8,0.99366,0.020727,0.28508,0.00024612,GO_POSITIVE_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY,0.33291832
REACTOME_VLDL_CLEARANCE,SET,6,1.309,0.023648,0.38234,0.0003096,REACTOME_VLDL_CLEARANCE,0.351264169090909
GO_REGULATION_OF_HISTONE_H3_...7,SET,9,0.8564,0.018947,0.25064,0.00031739,GO_REGULATION_OF_HISTONE_H3_K9_TRIMETHYLATION,0.351264169090909
GO_CHOLESTEROL_EFFLUX,SET,41,0.47915,0.022606,0.14197,0.00036994,GO_CHOLESTEROL_EFFLUX,0.35576232375
GO_RNA_POLYMERASE_II_ACTIVITY,SET,9,0.81566,0.018046,0.24234,0.00038252,GO_RNA_POLYMERASE_II_ACTIVITY,0.35576232375
GO_SM_LIKE_PROTEIN_FAMILY_CO...,SET,66,0.30724,0.018379,0.091964,0.00041837,GO_SM_LIKE_PROTEIN_FAMILY_COMPLEX,0.35576232375
GO_REGULATION_OF_STEROL_TRAN...,SET,45,0.45061,0.02227,0.13579,0.00045347,GO_REGULATION_OF_STEROL_TRANSPORT,0.35576232375
GO_REGULATION_OF_HISTONE_MET...,SET,58,0.34343,0.019263,0.10376,0.00046757,GO_REGULATION_OF_HISTONE_METHYLATION,0.35576232375
GO_TRANSCRIPTION_BY_RNA_POLY...2,SET,50,0.34685,0.018067,0.10653,0.00056601,GO_TRANSCRIPTION_BY_RNA_POLYMERASE_III,0.38843176
GO_STRESS_INDUCED_PREMATURE_...,SET,8,0.83765,0.017473,0.25901,0.00061152,GO_STRESS_INDUCED_PREMATURE_SENESCENCE,0.38843176
GO_CYTOPLASMIC_SEQUESTERING_...3,SET,14,0.70801,0.019534,0.22038,0.0006586,GO_CYTOPLASMIC_SEQUESTERING_OF_TRANSCRIPTION_FACTOR,0.38843176
GO_POSITIVE_REGULATION_OF_ST...7,SET,22,0.59716,0.020649,0.18598,0.00066287,GO_POSITIVE_REGULATION_OF_STEROL_TRANSPORT,0.38843176
REACTOME_INTERLEUKIN_36_PATH...,SET,7,1.5312,0.029878,0.47735,0.00067004,REACTOME_INTERLEUKIN_36_PATHWAY,0.38843176
GO_BRCA1_A_COMPLEX,SET,4,1.1194,0.016512,0.3513,0.00072151,GO_BRCA1_A_COMPLEX,0.398079213913044
REACTOME_RNA_POLYMERASE_III_...3,SET,26,0.44206,0.016616,0.13926,0.00075208,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER,0.398079213913044
KEGG_N_GLYCAN_BIOSYNTHESIS,SET,44,0.38888,0.019005,0.12348,0.00081987,KEGG_N_GLYCAN_BIOSYNTHESIS,0.4158790575
GO_REGULATION_OF_PROTEIN_MOD...2,SET,1635,0.069882,0.019895,0.022298,0.00086351,GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,0.4204948296
GO_ANCHORED_COMPONENT_OF_SYN...1,SET,11,0.83311,0.020376,0.26733,0.0009167,GO_ANCHORED_COMPONENT_OF_SYNAPTIC_MEMBRANE,0.429227146153846
REACTOME_G2_M_DNA_DAMAGE_CHE...,SET,77,0.29156,0.018833,0.094019,0.00096562,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,0.434785714285714
GO_NEGATIVE_REGULATION_OF_HI...9,SET,19,0.54491,0.017512,0.17631,0.001,GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION,0.434785714285714
GO_POSITIVE_REGULATION_OF_IN...37,SET,4,1.3881,0.020477,0.45154,0.0010571,GO_POSITIVE_REGULATION_OF_INTRACELLULAR_LIPID_TRANSPORT,0.435554303225806
GO_POSITIVE_REGULATION_OF_IN...8,SET,5,1.4144,0.023326,0.46113,0.0010818,GO_POSITIVE_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,0.435554303225806
GO_NEGATIVE_REGULATION_OF_PE...8,SET,47,0.37918,0.019151,0.12392,0.0011091,GO_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION,0.435554303225806
GO_REGULATION_OF_PEPTIDYL_SE...1,SET,5,1.0634,0.017538,0.35155,0.001245,GO_REGULATION_OF_PEPTIDYL_SERINE_DEPHOSPHORYLATION,0.451691205882353
GO_REGULATION_OF_HISTONE_H3_...6,SET,21,0.51569,0.017422,0.17063,0.0012563,GO_REGULATION_OF_HISTONE_H3_K9_METHYLATION,0.451691205882353
GO_NEGATIVE_REGULATION_OF_RE...7,SET,20,0.5448,0.017962,0.18034,0.0012615,GO_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,0.451691205882353
REACTOME_RNA_POLYMERASE_III_...2,SET,39,0.34865,0.016044,0.11691,0.0014329,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION,0.474938175
GO_OLFACTORY_BEHAVIOR,SET,10,0.8712,0.020316,0.29278,0.0014639,GO_OLFACTORY_BEHAVIOR,0.474938175
GO_STRIATED_MUSCLE_MYOSIN_TH...,SET,11,0.75214,0.018396,0.253,0.001477,GO_STRIATED_MUSCLE_MYOSIN_THICK_FILAMENT_ASSEMBLY,0.474938175
REACTOME_SIGNALLING_TO_P38_V...,SET,5,0.99614,0.016429,0.33589,0.001512,REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN,0.474938175
GO_ANDROGEN_RECEPTOR_SIGNALI...,SET,54,0.32284,0.017474,0.10907,0.0015401,GO_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,0.474938175
REACTOME_ACTIVATION_OF_THE_P...2,SET,31,0.42168,0.017304,0.14265,0.0015605,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.474938175
GO_HELICASE_ACTIVITY,SET,136,0.20806,0.017832,0.070573,0.0016005,GO_HELICASE_ACTIVITY,0.475231390243902
GO_POSITIVE_REGULATION_OF_HI...7,SET,9,0.72788,0.016104,0.24982,0.0017885,GO_POSITIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION,0.479760548275862
GO_RECEPTOR_SIGNALING_PATHWA...,SET,147,0.22052,0.019643,0.076012,0.0018614,GO_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,0.479760548275862
GO_REGULATION_OF_INTEGRIN_ME...,SET,11,0.89206,0.021818,0.30754,0.0018646,GO_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,0.479760548275862
GO_MEMBRANE_BIOGENESIS,SET,31,0.46193,0.018956,0.15941,0.0018815,GO_MEMBRANE_BIOGENESIS,0.479760548275862
GO_MYOSIN_FILAMENT,SET,22,0.59094,0.020434,0.20399,0.0018863,GO_MYOSIN_FILAMENT,0.479760548275862
