VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GO_ANCHORED_COMPONENT_OF_PRE...,SET,8,1.4359,0.029966,0.34671,1.7335e-05,GO_ANCHORED_COMPONENT_OF_PRESYNAPTIC_MEMBRANE,0.21103629
GO_TRANSCRIPTION_BY_RNA_POLY...2,SET,50,0.39972,0.020831,0.10811,0.00010925,GO_TRANSCRIPTION_BY_RNA_POLYMERASE_III,0.44454121875
GO_MEMBRANE_RAFT_ASSEMBLY,SET,10,0.98486,0.022978,0.2803,0.00022166,GO_MEMBRANE_RAFT_ASSEMBLY,0.44454121875
REACTOME_RNA_POLYMERASE_III_...3,SET,26,0.49402,0.018578,0.14088,0.00022734,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER,0.44454121875
GO_PLASMINOGEN_ACTIVATION,SET,21,0.69695,0.023557,0.20113,0.00026555,GO_PLASMINOGEN_ACTIVATION,0.44454121875
GO_NEGATIVE_REGULATION_OF_PR...38,SET,26,0.58159,0.021871,0.16983,0.00030857,GO_NEGATIVE_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.44454121875
GO_REGULATION_OF_PLASMINOGEN...,SET,12,0.82835,0.02117,0.24799,0.00041947,GO_REGULATION_OF_PLASMINOGEN_ACTIVATION,0.44454121875
GO_POSITIVE_REGULATION_OF_AC...10,SET,8,0.95569,0.019945,0.2865,0.00042615,GO_POSITIVE_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY,0.44454121875
GO_DNA_REPLICATION,SET,250,0.17286,0.020034,0.051831,0.00042714,GO_DNA_REPLICATION,0.44454121875
GO_POSITIVE_REGULATION_OF_IN...8,SET,5,1.5284,0.025218,0.46207,0.00047139,GO_POSITIVE_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,0.44454121875
GO_RESPONSE_TO_PROGESTERONE,SET,44,0.42456,0.020759,0.13024,0.00055859,GO_RESPONSE_TO_PROGESTERONE,0.44454121875
REACTOME_ACTIVATION_OF_THE_P...2,SET,31,0.45603,0.018723,0.14252,0.00068879,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.44454121875
REACTOME_INTERLEUKIN_35_SIGN...,SET,12,0.84605,0.021623,0.26558,0.00072339,REACTOME_INTERLEUKIN_35_SIGNALLING,0.44454121875
GO_NEGATIVE_REGULATION_OF_EP...2,SET,13,0.71695,0.019071,0.22541,0.00073594,GO_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY,0.44454121875
GO_NEGATIVE_REGULATION_OF_HI...9,SET,19,0.558,0.017941,0.17641,0.00078188,GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION,0.44454121875
PID_ATM_PATHWAY,SET,30,0.45694,0.018456,0.14512,0.00082135,PID_ATM_PATHWAY,0.44454121875
GO_REGULATION_OF_HISTONE_H3_...7,SET,9,0.77167,0.017081,0.24602,0.00085603,GO_REGULATION_OF_HISTONE_H3_K9_TRIMETHYLATION,0.44454121875
GO_BLEB_ASSEMBLY,SET,11,0.88528,0.021663,0.28367,0.00090325,GO_BLEB_ASSEMBLY,0.44454121875
GO_ANCHORED_COMPONENT_OF_SYN...1,SET,11,0.8398,0.02055,0.26974,0.00092624,GO_ANCHORED_COMPONENT_OF_SYNAPTIC_MEMBRANE,0.44454121875
GO_CENTROMERIC_SISTER_CHROMA...,SET,9,0.87499,0.019368,0.28129,0.00093495,GO_CENTROMERIC_SISTER_CHROMATID_COHESION,0.44454121875
GO_TOLERANCE_INDUCTION,SET,24,0.57747,0.020865,0.18575,0.00094058,GO_TOLERANCE_INDUCTION,0.44454121875
GO_RESPONSE_TO_FRUCTOSE,SET,8,0.80027,0.016701,0.25761,0.00094798,GO_RESPONSE_TO_FRUCTOSE,0.44454121875
GO_POSITIVE_REGULATION_OF_AL...5,SET,19,0.69742,0.022424,0.22491,0.00096613,GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION,0.44454121875
GO_CELLULAR_RESPONSE_TO_PEPT...1,SET,346,0.14815,0.020146,0.047825,0.00097625,GO_CELLULAR_RESPONSE_TO_PEPTIDE,0.44454121875
REACTOME_SIGNALLING_TO_P38_V...,SET,5,1.0419,0.017192,0.33681,0.00099029,REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN,0.44454121875
REACTOME_INTERLEUKIN_36_PATH...,SET,7,1.4586,0.028474,0.47246,0.001012,REACTOME_INTERLEUKIN_36_PATHWAY,0.44454121875
GO_POSITIVE_REGULATION_OF_IN...37,SET,4,1.3923,0.020549,0.45211,0.0010378,GO_POSITIVE_REGULATION_OF_INTRACELLULAR_LIPID_TRANSPORT,0.44454121875
REACTOME_RNA_POLYMERASE_III_...2,SET,39,0.35692,0.016433,0.11743,0.0011872,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION,0.44454121875
GO_REGULATION_OF_GENE_EXPRES...2,SET,290,0.14715,0.018347,0.048534,0.0012166,GO_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,0.44454121875
GO_CEREBELLAR_PURKINJE_CELL_...3,SET,8,0.94723,0.019768,0.31303,0.0012409,GO_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION,0.44454121875
GO_DNA_DEPENDENT_DNA_REPLICA...2,SET,36,0.4031,0.017832,0.13383,0.001299,GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,0.44454121875
GO_REGULATION_OF_AMYLOID_BET...1,SET,13,0.70575,0.018773,0.23506,0.0013408,GO_REGULATION_OF_AMYLOID_BETA_CLEARANCE,0.44454121875
GO_INTERLEUKIN_35_MEDIATED_S...,SET,11,0.83356,0.020397,0.27776,0.001347,GO_INTERLEUKIN_35_MEDIATED_SIGNALING_PATHWAY,0.44454121875
GO_RNA_POLYMERASE_II_ACTIVITY,SET,9,0.75521,0.016717,0.25183,0.0013569,GO_RNA_POLYMERASE_II_ACTIVITY,0.44454121875
GO_NEGATIVE_REGULATION_OF_AN...1,SET,15,0.63495,0.018141,0.21209,0.0013798,GO_NEGATIVE_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,0.44454121875
GO_REGULATION_OF_VASCULAR_WO...,SET,4,1.2174,0.017968,0.40728,0.0014006,GO_REGULATION_OF_VASCULAR_WOUND_HEALING,0.44454121875
GO_HISTONE_METHYLATION,SET,124,0.21776,0.017835,0.072971,0.0014235,GO_HISTONE_METHYLATION,0.44454121875
REACTOME_INTERLEUKIN_12_FAMI...,SET,53,0.33492,0.017969,0.11304,0.0015255,REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,0.44454121875
GO_NUCLEOSOME_BINDING,SET,72,0.29067,0.018167,0.098163,0.0015348,GO_NUCLEOSOME_BINDING,0.44454121875
GO_ANTIGEN_PROCESSING_AND_PR...5,SET,6,1.2283,0.0222,0.41668,0.0016029,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I_VIA_ER_PATHWAY,0.44454121875
GO_CELL_DIFFERENTIATION_IN_H...,SET,16,0.71248,0.021024,0.24178,0.0016075,GO_CELL_DIFFERENTIATION_IN_HINDBRAIN,0.44454121875
GO_CHROMOSOME_MOVEMENT_TOWAR...,SET,7,0.89737,0.017519,0.30525,0.0016442,GO_CHROMOSOME_MOVEMENT_TOWARDS_SPINDLE_POLE,0.44454121875
GO_CHOLESTEROL_EFFLUX,SET,38,0.42146,0.019154,0.1444,0.0017596,GO_CHOLESTEROL_EFFLUX,0.44454121875
REACTOME_INTERLEUKIN_6_SIGNA...,SET,11,0.77928,0.019069,0.26707,0.0017645,REACTOME_INTERLEUKIN_6_SIGNALING,0.44454121875
GO_CEREBELLAR_PURKINJE_CELL_...2,SET,22,0.49747,0.01721,0.1708,0.0017945,GO_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT,0.44454121875
GO_POSITIVE_REGULATION_OF_PO...2,SET,3,1.339,0.017115,0.46268,0.0019042,GO_POSITIVE_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_ORGANIZATION,0.44454121875
GO_STRESS_INDUCED_PREMATURE_...,SET,8,0.73995,0.015442,0.25604,0.0019285,GO_STRESS_INDUCED_PREMATURE_SENESCENCE,0.44454121875
GO_DNA_DEPENDENT_DNA_REPLICA...1,SET,133,0.20306,0.01722,0.070498,0.0019888,GO_DNA_DEPENDENT_DNA_REPLICATION,0.44454121875
GO_HISTONE_H3_K9_METHYLATION,SET,34,0.39092,0.016807,0.136,0.0020267,GO_HISTONE_H3_K9_METHYLATION,0.44454121875
GO_CYTOPLASMIC_SEQUESTERING_...3,SET,14,0.63468,0.017519,0.22152,0.0020865,GO_CYTOPLASMIC_SEQUESTERING_OF_TRANSCRIPTION_FACTOR,0.44454121875
GO_FLOTILLIN_COMPLEX,SET,8,0.82443,0.017206,0.28798,0.002102,GO_FLOTILLIN_COMPLEX,0.44454121875
GO_REGULATION_OF_PLATELET_DE...1,SET,5,1.1083,0.018287,0.38736,0.002113,GO_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_ALPHA_SIGNALING_PATHWAY,0.44454121875
GO_HISTONE_METHYLTRANSFERASE...7,SET,80,0.25479,0.016782,0.089132,0.0021303,GO_HISTONE_METHYLTRANSFERASE_COMPLEX,0.44454121875
GO_MEMBRANE_RAFT_ORGANIZATION,SET,21,0.57732,0.019514,0.20232,0.0021642,GO_MEMBRANE_RAFT_ORGANIZATION,0.44454121875
GO_REGULATION_OF_PEPTIDYL_SE...1,SET,5,1.0128,0.016711,0.3573,0.0022979,GO_REGULATION_OF_PEPTIDYL_SERINE_DEPHOSPHORYLATION,0.44454121875
GO_CELLULAR_RESPONSE_TO_PEPT...2,SET,291,0.14692,0.01835,0.05188,0.0023155,GO_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,0.44454121875
REACTOME_NONHOMOLOGOUS_END_J...,SET,51,0.30654,0.016133,0.10836,0.0023391,REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,0.44454121875
