VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GOBP_POSITIVE_REGULATION_OF_...728,SET,34,0.62035,0.026658,0.15132,2.0782e-05,GOBP_POSITIVE_REGULATION_OF_STEROL_TRANSPORT,0.214459737692308
GOBP_CAVEOLA_ASSEMBLY,SET,6,1.5061,0.027208,0.36847,2.1913e-05,GOBP_CAVEOLA_ASSEMBLY,0.214459737692308
GOMF_UBIQUITIN_MODIFIED_HIST...,SET,7,1.1578,0.022592,0.28615,2.6147e-05,GOMF_UBIQUITIN_MODIFIED_HISTONE_READER_ACTIVITY,0.214459737692308
GOBP_PROTEIN_LIPID_COMPLEX_A...,SET,28,0.63825,0.024894,0.15959,3.1895e-05,GOBP_PROTEIN_LIPID_COMPLEX_ASSEMBLY,0.214459737692308
GOBP_IMMUNE_COMPLEX_CLEARANCE,SET,5,1.7577,0.028988,0.4445,3.8531e-05,GOBP_IMMUNE_COMPLEX_CLEARANCE,0.214459737692308
GSE23505_IL6_IL1_VS_IL6_IL1_...3,SET,169,0.23955,0.022866,0.060684,3.9641e-05,GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN,0.214459737692308
GSE44732_UNSTIM_VS_IL27_STIM...1,SET,183,0.24611,0.024436,0.062913,4.5951e-05,GSE44732_UNSTIM_VS_IL27_STIM_IMATURE_DC_DN,0.214459737692308
GOBP_CHOLESTEROL_EFFLUX,SET,56,0.46676,0.025726,0.12037,5.2903e-05,GOBP_CHOLESTEROL_EFFLUX,0.214459737692308
GOBP_DETECTION_OF_LIPOPOLYSA...,SET,5,1.5866,0.026167,0.41281,6.0869e-05,GOBP_DETECTION_OF_LIPOPOLYSACCHARIDE,0.214459737692308
NFE2L2.V2,SET,396,0.17517,0.025434,0.04615,7.3911e-05,NFE2L2.V2,0.214459737692308
GSE13547_CTRL_VS_ANTI_IGM_ST...2,SET,174,0.23607,0.022861,0.062345,7.6639e-05,GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP,0.214459737692308
GSE3982_EOSINOPHIL_VS_BASOPH...1,SET,177,0.23681,0.023128,0.062563,7.7031e-05,GSE3982_EOSINOPHIL_VS_BASOPHIL_DN,0.214459737692308
GOBP_PLASMA_MEMBRANE_RAFT_AS...,SET,7,1.2187,0.023781,0.32283,8.0218e-05,GOBP_PLASMA_MEMBRANE_RAFT_ASSEMBLY,0.214459737692308
