VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GOMF_UBIQUITIN_MODIFIED_HIST...,SET,7,1.4046,0.02742,0.31486,4.1073e-06,GOMF_UBIQUITIN_MODIFIED_HISTONE_READER_ACTIVITY,0.10798552275
GOBP_IMMUNE_COMPLEX_CLEARANCE,SET,5,1.9349,0.031926,0.44265,6.2141e-06,GOBP_IMMUNE_COMPLEX_CLEARANCE,0.10798552275
HP_BILATERAL_CLEFT_LIP,SET,12,1.0591,0.027068,0.2717,4.8679e-05,HP_BILATERAL_CLEFT_LIP,0.212233205172414
HARALAMBIEVA_PBMC_TIV_AGE_50...3,SET,13,0.89278,0.023748,0.22935,4.9764e-05,HARALAMBIEVA_PBMC_TIV_AGE_50_74YO_CORRELATED_WITH_MEMORY_B_CELL_RESPONSE_3DY_POSITIVE,0.212233205172414
GSE23505_IL6_IL1_VS_IL6_IL1_...3,SET,169,0.23599,0.022537,0.061541,6.3069e-05,GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN,0.212233205172414
BMI1_DN.V1_DN,SET,121,0.32397,0.026214,0.084938,6.8536e-05,BMI1_DN.V1_DN,0.212233205172414
GSE13547_CTRL_VS_ANTI_IGM_ST...2,SET,174,0.23366,0.022638,0.06136,7.0295e-05,GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP,0.212233205172414
GOBP_POSITIVE_REGULATION_OF_...728,SET,33,0.57494,0.024353,0.15124,7.2179e-05,GOBP_POSITIVE_REGULATION_OF_STEROL_TRANSPORT,0.212233205172414
GOBP_TRANSCRIPTION_BY_RNA_PO...2,SET,56,0.38805,0.021398,0.10301,8.2899e-05,GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_III,0.212233205172414
MORF_CDC2L5,SET,134,0.26765,0.022782,0.071329,8.7899e-05,MORF_CDC2L5,0.212233205172414
CHENG_TAF7L_TARGETS,SET,4,1.4596,0.021541,0.3895,8.9683e-05,CHENG_TAF7L_TARGETS,0.212233205172414
GSE41867_NAIVE_VS_DAY30_LCMV...3,SET,180,0.22351,0.022022,0.059653,8.9819e-05,GSE41867_NAIVE_VS_DAY30_LCMV_CLONE13_EXHAUSTED_CD8_TCELL_DN,0.212233205172414
GOBP_POSITIVE_REGULATION_OF_...9,SET,7,1.1088,0.021647,0.29718,9.5597e-05,GOBP_POSITIVE_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY,0.212233205172414
WP_TAR_SYNDROME,SET,49,0.46153,0.023811,0.12506,0.00011227,WP_TAR_SYNDROME,0.212233205172414
DACOSTA_LOW_DOSE_UV_RESPONSE...1,SET,8,1.0871,0.022688,0.29459,0.00011237,DACOSTA_LOW_DOSE_UV_RESPONSE_VIA_ERCC3_XPCS_DN,0.212233205172414
HP_DIGESTIVE_SYSTEM_NEOPLASM,SET,343,0.17351,0.023494,0.047073,0.00011424,HP_DIGESTIVE_SYSTEM_NEOPLASM,0.212233205172414
MIR3173_5P,SET,93,0.32438,0.023028,0.088732,0.00012862,MIR3173_5P,0.212233205172414
GOBP_NEGATIVE_REGULATION_OF_...621,SET,11,1.0059,0.024614,0.2755,0.00013092,GOBP_NEGATIVE_REGULATION_OF_SYNAPSE_ORGANIZATION,0.212233205172414
GOBP_CHOLESTEROL_EFFLUX,SET,53,0.44617,0.023937,0.1224,0.00013397,GOBP_CHOLESTEROL_EFFLUX,0.212233205172414
GOBP_CAVEOLA_ASSEMBLY,SET,6,1.414,0.025558,0.38997,0.00014435,GOBP_CAVEOLA_ASSEMBLY,0.212233205172414
GOMF_UBIQUITIN_LIKE_PROTEIN_...7,SET,19,0.65118,0.020937,0.18043,0.00015413,GOMF_UBIQUITIN_LIKE_PROTEIN_READER_ACTIVITY,0.212233205172414
IVANOV_MUTATED_IN_COLON_CANC...,SET,13,0.68569,0.018239,0.19005,0.0001547,IVANOV_MUTATED_IN_COLON_CANCER,0.212233205172414
GOBP_POSITIVE_REGULATION_OF_...20,SET,24,0.72715,0.026273,0.20198,0.00015948,GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION,0.212233205172414
MIR6799_3P,SET,106,0.31901,0.024169,0.088628,0.00015988,MIR6799_3P,0.212233205172414
MIR1298_3P,SET,41,0.48918,0.023091,0.13599,0.00016128,MIR1298_3P,0.212233205172414
HP_ENDOCARDITIS,SET,14,0.80533,0.02223,0.22397,0.00016218,HP_ENDOCARDITIS,0.212233205172414
GSE44732_UNSTIM_VS_IL27_STIM...1,SET,182,0.22618,0.022407,0.063073,0.00016833,GSE44732_UNSTIM_VS_IL27_STIM_IMATURE_DC_DN,0.212233205172414
GOCC_SERINE_PROTEASE_INHIBIT...,SET,6,1.4512,0.026229,0.40605,0.00017633,GOCC_SERINE_PROTEASE_INHIBITOR_COMPLEX,0.212233205172414
WU_APOPTOSIS_BY_CDKN1A_NOT_V...,SET,9,0.9162,0.02028,0.25644,0.00017709,WU_APOPTOSIS_BY_CDKN1A_NOT_VIA_TP53,0.212233205172414
MYLLYKANGAS_AMPLIFICATION_HO...9,SET,19,0.70757,0.02275,0.20098,0.00021586,MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_23,0.246912553125
WP_ATM_SIGNALING_IN_DEVELOPM...,SET,43,0.42591,0.020588,0.1214,0.00022607,WP_ATM_SIGNALING_IN_DEVELOPMENT_AND_DISEASE,0.246912553125
REACTOME_RNA_POLYMERASE_III_...3,SET,26,0.49402,0.018578,0.14088,0.00022734,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER,0.246912553125
GSE5589_WT_VS_IL10_KO_LPS_AN...5,SET,182,0.21848,0.021644,0.06296,0.00026077,GSE5589_WT_VS_IL10_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN,0.26640204
GSE21033_CTRL_VS_POLYIC_STIM...2,SET,144,0.24632,0.021729,0.071083,0.00026546,GSE21033_CTRL_VS_POLYIC_STIM_DC_12H_UP,0.26640204
GOCC_PEPTIDASE_INHIBITOR_COM...,SET,11,0.96613,0.023641,0.27903,0.00026828,GOCC_PEPTIDASE_INHIBITOR_COMPLEX,0.26640204
MIR3913_3P,SET,73,0.35917,0.022603,0.10402,0.00027798,MIR3913_3P,0.268366525
GOBP_DETECTION_OF_LIPOPOLYSA...,SET,5,1.4229,0.023479,0.41623,0.0003154,GOBP_DETECTION_OF_LIPOPOLYSACCHARIDE,0.296262891891892
GOBP_REGULATION_OF_SOMATIC_S...,SET,11,0.9003,0.02203,0.26456,0.00033407,GOBP_REGULATION_OF_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE,0.302591288461538
GOCC_DYSTROPHIN_ASSOCIATED_G...,SET,17,0.72369,0.022011,0.21294,0.00033955,GOCC_DYSTROPHIN_ASSOCIATED_GLYCOPROTEIN_COMPLEX,0.302591288461538
HP_TYPIFIED_BY_SOMATIC_MOSAI...,SET,162,0.23286,0.021777,0.06899,0.00036941,HP_TYPIFIED_BY_SOMATIC_MOSAICISM,0.306652431521739
GSE36527_CD62L_HIGH_VS_CD62L...1,SET,188,0.20751,0.02089,0.061528,0.00037317,GSE36527_CD62L_HIGH_VS_CD62L_LOW_TREG_CD69_NEG_KLRG1_NEG_DN,0.306652431521739
HP_ABNORMALITY_OF_THE_PANCRE...,SET,282,0.17281,0.021252,0.051365,0.00038443,HP_ABNORMALITY_OF_THE_PANCREAS,0.306652431521739
BEIER_GLIOMA_STEM_CELL_UP,SET,35,0.53182,0.023198,0.15826,0.00038989,BEIER_GLIOMA_STEM_CELL_UP,0.306652431521739
GSE14415_TCONV_VS_FOXP3_KO_I...1,SET,159,0.22089,0.020466,0.065825,0.00039675,GSE14415_TCONV_VS_FOXP3_KO_INDUCED_TREG_DN,0.306652431521739
GOCC_PROTEASE_INHIBITOR_COMP...,SET,8,1.1078,0.02312,0.33066,0.00040445,GOCC_PROTEASE_INHIBITOR_COMPLEX,0.306652431521739
HP_NEOPLASM_OF_THE_BREAST,SET,95,0.28161,0.020205,0.08408,0.00040587,HP_NEOPLASM_OF_THE_BREAST,0.306652431521739
GOBP_EMBRYONIC_PROCESS_INVOL...,SET,6,1.1632,0.021024,0.34841,0.00042196,GOBP_EMBRYONIC_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY,0.3070314625
chr17q23,SET,51,0.70126,0.036908,0.21014,0.00042404,chr17q23,0.3070314625
HP_SEVERE_EXPRESSIVE_LANGUAG...,SET,9,0.95935,0.021235,0.2892,0.0004554,HP_SEVERE_EXPRESSIVE_LANGUAGE_DELAY,0.321720084
MIR4272,SET,180,0.20782,0.020476,0.062733,0.00046284,MIR4272,0.321720084
GOBP_PLASMA_MEMBRANE_RAFT_AS...,SET,7,1.0898,0.021276,0.32967,0.00047443,GOBP_PLASMA_MEMBRANE_RAFT_ASSEMBLY,0.322098646153846
HP_ORCHITIS,SET,14,0.75309,0.020788,0.22811,0.00048192,HP_ORCHITIS,0.322098646153846
HP_GLOMERULOPATHY,SET,30,0.53546,0.021627,0.16392,0.0005451,HP_GLOMERULOPATHY,0.357451896226415
MIR133A_3P_MIR133B,SET,222,0.18433,0.020146,0.056681,0.00057398,MIR133A_3P_MIR133B,0.365856406363636
GOBP_B_CELL_DIFFERENTIATION,SET,139,0.25056,0.021719,0.077106,0.00057897,GOBP_B_CELL_DIFFERENTIATION,0.365856406363636
GOBP_MEMBRANE_RAFT_ASSEMBLY,SET,11,0.80885,0.019792,0.24944,0.00059318,GOBP_MEMBRANE_RAFT_ASSEMBLY,0.3681423375
MIR10526_3P,SET,105,0.26975,0.020341,0.083377,0.00060876,MIR10526_3P,0.371048241666667
HP_ABDOMINAL_PAIN,SET,308,0.16283,0.020912,0.050409,0.00061963,HP_ABDOMINAL_PAIN,0.371048241666667
GOBP_REGULATION_OF_BILE_ACID...2,SET,14,0.80952,0.022345,0.25154,0.00064598,GOBP_REGULATION_OF_BILE_ACID_METABOLIC_PROCESS,0.371048241666667
GSE11961_MARGINAL_ZONE_BCELL...9,SET,176,0.20103,0.019588,0.062606,0.00066242,GSE11961_MARGINAL_ZONE_BCELL_VS_PLASMA_CELL_DAY7_DN,0.371048241666667
HP_NEOPLASM_OF_THE_GASTROINT...,SET,285,0.16638,0.020568,0.051885,0.00067252,HP_NEOPLASM_OF_THE_GASTROINTESTINAL_TRACT,0.371048241666667
MIR548H_3P_MIR548Z,SET,547,0.11906,0.020242,0.037134,0.00067361,MIR548H_3P_MIR548Z,0.371048241666667
REACTOME_ACTIVATION_OF_THE_P...2,SET,31,0.45603,0.018723,0.14252,0.00068879,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.371048241666667
MIR548BB_3P,SET,541,0.11938,0.020188,0.037356,0.00069876,MIR548BB_3P,0.371048241666667
GSE17721_PAM3CSK4_VS_CPG_1H_...1,SET,176,0.20183,0.019666,0.063255,0.00071083,GSE17721_PAM3CSK4_VS_CPG_1H_BMDC_DN,0.371048241666667
MIR548AC,SET,545,0.11856,0.020121,0.037192,0.00071813,MIR548AC,0.371048241666667
REACTOME_INTERLEUKIN_35_SIGN...,SET,12,0.84605,0.021623,0.26558,0.00072339,REACTOME_INTERLEUKIN_35_SIGNALLING,0.371048241666667
GOBP_REGULATION_OF_ANDROGEN_...,SET,25,0.50848,0.018751,0.15994,0.00073945,GOBP_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,0.371048241666667
ESC_V6.5_UP_LATE.V1_UP,SET,161,0.22379,0.020865,0.070518,0.00075415,ESC_V6.5_UP_LATE.V1_UP,0.371048241666667
