VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GO_ANTIOXIDANT_ACTIVITY,SET,73,0.46776,0.029422,0.10117,1.8983e-06,GO_ANTIOXIDANT_ACTIVITY,0.0231099042
REACTOME_DEFECTIVE_CHST6_CAU...,SET,8,1.2635,0.026356,0.29703,1.056e-05,REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1,0.06427872
GO_AXON_MIDLINE_CHOICE_POINT...,SET,5,1.941,0.032012,0.47977,2.6193e-05,GO_AXON_MIDLINE_CHOICE_POINT_RECOGNITION,0.0827491128
GO_CELLULAR_DETOXIFICATION,SET,93,0.35387,0.025109,0.087674,2.7275e-05,GO_CELLULAR_DETOXIFICATION,0.0827491128
GO_POSITIVE_REGULATION_OF_EN...1,SET,4,1.8043,0.026615,0.45285,3.3986e-05,GO_POSITIVE_REGULATION_OF_ENDOCYTIC_RECYCLING,0.0827491128
GO_AXON_CHOICE_POINT_RECOGNI...,SET,7,1.5164,0.029589,0.39915,7.2867e-05,GO_AXON_CHOICE_POINT_RECOGNITION,0.147210713333333
KEGG_FC_GAMMA_R_MEDIATED_PHA...,SET,90,0.34493,0.024079,0.092932,0.00010329,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.147210713333333
GO_CYTOKINE_METABOLIC_PROCESS,SET,105,0.32651,0.024609,0.088028,0.0001043,GO_CYTOKINE_METABOLIC_PROCESS,0.147210713333333
GO_NEGATIVE_REGULATION_OF_AM...5,SET,14,0.94198,0.025989,0.2547,0.00010883,GO_NEGATIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,0.147210713333333
REACTOME_DEFECTIVE_B4GALT1_C...,SET,8,1.1077,0.023107,0.30317,0.00012956,REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D,0.152086461818182
GO_OXIDOREDUCTASE_ACTIVITY_A...21,SET,49,0.46098,0.023771,0.12669,0.00013742,GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PEROXIDE_AS_ACCEPTOR,0.152086461818182
GO_NLRP3_INFLAMMASOME_COMPLE...,SET,14,0.75317,0.02078,0.20964,0.00016406,GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,0.16643887
GO_POSITIVE_REGULATION_OF_PH...10,SET,9,1.0758,0.023801,0.3038,0.00019976,GO_POSITIVE_REGULATION_OF_PHOSPHOLIPID_TRANSPORT,0.187067556923077
GO_DETOXIFICATION,SET,107,0.29713,0.022606,0.084903,0.0002335,GO_DETOXIFICATION,0.203044928571429
REACTOME_MUSCARINIC_ACETYLCH...,SET,5,1.3026,0.021482,0.37859,0.00029091,REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS,0.236102556
GO_REGULATION_OF_AMYLOID_FIB...,SET,8,1.0776,0.022479,0.31803,0.0003522,GO_REGULATION_OF_AMYLOID_FIBRIL_FORMATION,0.266272433333333
GO_CELLULAR_RESPONSE_TO_POTA...,SET,10,0.87543,0.020415,0.25957,0.00037299,GO_CELLULAR_RESPONSE_TO_POTASSIUM_ION,0.266272433333333
REACTOME_DEFECTIVE_ST3GAL3_C...,SET,8,0.94305,0.019671,0.28086,0.0003937,REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15,0.266272433333333
GO_REGULATION_OF_CELL_ADHESI...2,SET,43,0.42135,0.020357,0.1291,0.00055073,GO_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN,0.3280113864
GO_MHC_CLASS_I_RECEPTOR_ACTI...,SET,5,1.3174,0.021727,0.40391,0.0005548,GO_MHC_CLASS_I_RECEPTOR_ACTIVITY,0.3280113864
REACTOME_UNWINDING_OF_DNA,SET,12,0.75935,0.019397,0.23338,0.00057066,REACTOME_UNWINDING_OF_DNA,0.3280113864
GO_POSITIVE_REGULATION_OF_ST...2,SET,8,1.0161,0.021195,0.31546,0.00063992,GO_POSITIVE_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE,0.3280113864
KEGG_LEISHMANIA_INFECTION,SET,63,0.38678,0.022607,0.12038,0.0006582,KEGG_LEISHMANIA_INFECTION,0.3280113864
GO_POSITIVE_REGULATION_OF_SI...3,SET,20,0.62344,0.020555,0.19429,0.00066755,GO_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.3280113864
GO_HEMOGLOBIN_COMPLEX,SET,8,1.1263,0.023494,0.35129,0.00067359,GO_HEMOGLOBIN_COMPLEX,0.3280113864
GO_REGULATION_OF_STEM_CELL_P...1,SET,26,0.54173,0.020362,0.16978,0.00071081,GO_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE,0.331561144444444
BIOCARTA_ION_PATHWAY,SET,5,1.1739,0.019359,0.36903,0.00073535,BIOCARTA_ION_PATHWAY,0.331561144444444
GO_NEGATIVE_REGULATION_OF_CY...6,SET,28,0.5518,0.021522,0.17427,0.00077298,GO_NEGATIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS,0.336080661428571
GO_MRNA_5_UTR_BINDING,SET,23,0.50051,0.017695,0.1602,0.00089284,GO_MRNA_5_UTR_BINDING,0.374808074482759
GO_POSITIVE_REGULATION_OF_IN...43,SET,4,1.5206,0.022431,0.48898,0.00093775,GO_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,0.375265513548387
GO_CORNEA_DEVELOPMENT_IN_CAM...,SET,9,1.0758,0.023802,0.34658,0.00095558,GO_CORNEA_DEVELOPMENT_IN_CAMERA_TYPE_EYE,0.375265513548387
PID_TCR_RAS_PATHWAY,SET,13,0.71931,0.019124,0.23353,0.0010359,PID_TCR_RAS_PATHWAY,0.39409520625
GO_POSITIVE_REGULATION_OF_NL...,SET,7,0.8403,0.016397,0.28109,0.0013995,GO_POSITIVE_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,0.50703414893617
GO_PRESYNAPTIC_MEMBRANE_ORGA...,SET,8,1.0016,0.020892,0.33738,0.0014974,GO_PRESYNAPTIC_MEMBRANE_ORGANIZATION,0.50703414893617
GO_REGULATION_OF_MRNA_3_END_...,SET,26,0.41496,0.015597,0.14078,0.0016041,GO_REGULATION_OF_MRNA_3_END_PROCESSING,0.50703414893617
GO_AMINOGLYCAN_BIOSYNTHETIC_...,SET,105,0.24834,0.018717,0.084449,0.0016396,GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS,0.50703414893617
GO_EXTRINSIC_COMPONENT_OF_EN...2,SET,9,0.75597,0.016725,0.25751,0.001666,GO_EXTRINSIC_COMPONENT_OF_ENDOSOME_MEMBRANE,0.50703414893617
GO_REGULATION_OF_CELL_MORPHO...2,SET,271,0.15753,0.018987,0.05378,0.001702,GO_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION,0.50703414893617
GO_INTERFERON_BETA_PRODUCTION,SET,45,0.35025,0.01731,0.11979,0.0017311,GO_INTERFERON_BETA_PRODUCTION,0.50703414893617
GO_PHOSPHATIDYLINOSITOL_PHOS...3,SET,139,0.2114,0.018316,0.072322,0.0017351,GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING,0.50703414893617
GO_STRAND_INVASION,SET,5,0.92961,0.015331,0.31821,0.0017445,GO_STRAND_INVASION,0.50703414893617
REACTOME_NOD1_2_SIGNALING_PA...,SET,31,0.42996,0.017644,0.14753,0.0017847,REACTOME_NOD1_2_SIGNALING_PATHWAY,0.50703414893617
GO_CELL_ADHESION_MEDIATED_BY...,SET,63,0.31146,0.018204,0.10718,0.0018336,GO_CELL_ADHESION_MEDIATED_BY_INTEGRIN,0.50703414893617
GO_ARMADILLO_REPEAT_DOMAIN_B...,SET,10,0.69414,0.016188,0.23944,0.0018736,GO_ARMADILLO_REPEAT_DOMAIN_BINDING,0.50703414893617
GO_PINOSOME,SET,6,1.005,0.018156,0.34736,0.0019088,GO_PINOSOME,0.50703414893617
GO_PHOSPHATIDYLCHOLINE_STERO...,SET,6,1.1846,0.021401,0.41029,0.0019453,GO_PHOSPHATIDYLCHOLINE_STEROL_O_ACYLTRANSFERASE_ACTIVATOR_ACTIVITY,0.50703414893617
GO_AMYLOID_BETA_CLEARANCE,SET,31,0.45002,0.018467,0.15597,0.0019575,GO_AMYLOID_BETA_CLEARANCE,0.50703414893617
BIOCARTA_SPPA_PATHWAY,SET,16,0.65901,0.019436,0.23143,0.0022052,BIOCARTA_SPPA_PATHWAY,0.543891352941176
GO_DNA_REPLICATION_PREINITIA...,SET,5,0.98608,0.016263,0.34746,0.0022724,GO_DNA_REPLICATION_PREINITIATION_COMPLEX,0.543891352941176
GO_PEPTIDYL_HISTIDINE_MODIFI...,SET,11,0.6089,0.014892,0.21524,0.0023383,GO_PEPTIDYL_HISTIDINE_MODIFICATION,0.543891352941176
GO_INTEGRIN_ACTIVATION,SET,22,0.54224,0.01875,0.19225,0.0024002,GO_INTEGRIN_ACTIVATION,0.543891352941176
REACTOME_ACTIVATION_OF_MATRI...,SET,30,0.49849,0.020124,0.17753,0.0024965,REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,0.543891352941176
KEGG_SELENOAMINO_ACID_METABO...,SET,24,0.48629,0.017562,0.17356,0.0025431,KEGG_SELENOAMINO_ACID_METABOLISM,0.543891352941176
GO_PHOSPHATIDYLINOSITOL_5_PH...,SET,13,0.65601,0.017441,0.23448,0.0025762,GO_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_BINDING,0.543891352941176
GO_REGULATION_OF_PROTEIN_KIN...2,SET,4,1.2975,0.01914,0.46386,0.0025807,GO_REGULATION_OF_PROTEIN_KINASE_C_ACTIVITY,0.543891352941176
GO_PHOSPHATIDYLINOSITOL_4_5_...2,SET,61,0.31188,0.017938,0.11188,0.0026571,GO_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_BINDING,0.543891352941176
GO_POSITIVE_REGULATION_OF_CE...40,SET,134,0.2097,0.017841,0.075267,0.0026706,GO_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION,0.543891352941176
REACTOME_KERATAN_SULFATE_DEG...,SET,13,0.65078,0.017302,0.23392,0.0027036,REACTOME_KERATAN_SULFATE_DEGRADATION,0.543891352941176
BIOCARTA_GPCR_PATHWAY,SET,28,0.4766,0.018589,0.17203,0.0028015,BIOCARTA_GPCR_PATHWAY,0.543891352941176
REACTOME_BILE_ACID_AND_BILE_...,SET,42,0.39115,0.018678,0.14136,0.0028307,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,0.543891352941176
GO_NEGATIVE_REGULATION_OF_CE...1,SET,136,0.19766,0.016941,0.07156,0.0028736,GO_NEGATIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS,0.543891352941176
REACTOME_DNA_STRAND_ELONGATI...,SET,31,0.38707,0.015884,0.14013,0.0028741,REACTOME_DNA_STRAND_ELONGATION,0.543891352941176
GO_ACTIN_POLYMERIZATION_DEPE...,SET,6,0.91682,0.016563,0.33218,0.0028932,GO_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY,0.543891352941176
GO_RESPONSE_TO_POTASSIUM_ION,SET,15,0.57535,0.016431,0.20871,0.0029223,GO_RESPONSE_TO_POTASSIUM_ION,0.543891352941176
KEGG_NATURAL_KILLER_CELL_MED...,SET,121,0.22923,0.018538,0.083286,0.0029623,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.543891352941176
REACTOME_RECYCLING_OF_BILE_A...,SET,16,0.6152,0.018144,0.22357,0.0029677,REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS,0.543891352941176
GO_KERATAN_SULFATE_CATABOLIC...,SET,12,0.68519,0.017503,0.24958,0.0030251,GO_KERATAN_SULFATE_CATABOLIC_PROCESS,0.543891352941176
GO_POSTTRANSLATIONAL_PROTEIN...1,SET,11,0.69995,0.017119,0.25509,0.003038,GO_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_ENDOPLASMIC_RETICULUM_MEMBRANE,0.543891352941176
GO_LIPID_DROPLET,SET,70,0.28035,0.017269,0.10268,0.0031661,GO_LIPID_DROPLET,0.55787355
GO_DOUBLE_STRANDED_DNA_BINDI...,SET,884,0.080751,0.017279,0.029659,0.0032409,GO_DOUBLE_STRANDED_DNA_BINDING,0.55787355
GO_PROTEIN_LINEAR_POLYUBIQUI...,SET,3,1.2085,0.015439,0.44479,0.0032974,GO_PROTEIN_LINEAR_POLYUBIQUITINATION,0.55787355
GO_TRANSLATION_REGULATOR_ACT...1,SET,118,0.19418,0.01551,0.071475,0.0032994,GO_TRANSLATION_REGULATOR_ACTIVITY,0.55787355
GO_CATION_CATION_ANTIPORTER_...,SET,24,0.48523,0.017523,0.17942,0.003424,GO_CATION_CATION_ANTIPORTER_ACTIVITY,0.569587787234043
GO_POSITIVE_REGULATION_OF_PR...14,SET,16,0.59844,0.01765,0.22176,0.0034857,GO_POSITIVE_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,0.569587787234043
REACTOME_DEFECTIVE_C1GALT1C1...,SET,14,0.64522,0.017802,0.23987,0.0035778,REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS,0.569587787234043
GO_REGULATION_OF_INTRINSIC_A...2,SET,26,0.43761,0.016448,0.16269,0.0035782,GO_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,0.569587787234043
GO_POSITIVE_REGULATION_OF_AC...4,SET,10,0.75234,0.017545,0.28083,0.003696,GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION,0.569587787234043
KEGG_REGULATION_OF_ACTIN_CYT...,SET,197,0.16628,0.017123,0.062165,0.0037427,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.569587787234043
GO_GLUTATHIONE_PEROXIDASE_AC...,SET,19,0.55715,0.017905,0.20854,0.0037774,GO_GLUTATHIONE_PEROXIDASE_ACTIVITY,0.569587787234043
GO_EMBRYONIC_CAMERA_TYPE_EYE...1,SET,37,0.39417,0.017668,0.14792,0.0038557,GO_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT,0.569587787234043
GO_RESPONSE_TO_LIPOTEICHOIC_...,SET,10,0.68965,0.016083,0.25941,0.0039279,GO_RESPONSE_TO_LIPOTEICHOIC_ACID,0.569587787234043
GO_RESPONSE_TO_HEPATOCYTE_GR...,SET,19,0.5656,0.018177,0.21279,0.003934,GO_RESPONSE_TO_HEPATOCYTE_GROWTH_FACTOR,0.569587787234043
GO_HAPTOGLOBIN_BINDING,SET,6,1.2034,0.021741,0.45337,0.0039752,GO_HAPTOGLOBIN_BINDING,0.569587787234043
GO_RESPONSE_TO_CALCIUM_ION,SET,140,0.20027,0.017413,0.075642,0.0040572,GO_RESPONSE_TO_CALCIUM_ION,0.569587787234043
GO_REGULATION_OF_DENDRITE_MO...,SET,78,0.25471,0.016559,0.09637,0.0041115,GO_REGULATION_OF_DENDRITE_MORPHOGENESIS,0.569587787234043
PID_BARD1_PATHWAY,SET,28,0.36621,0.014283,0.13857,0.0041166,PID_BARD1_PATHWAY,0.569587787234043
GO_SEQUENCE_SPECIFIC_DOUBLE_...,SET,803,0.083733,0.017116,0.031686,0.004118,GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING,0.569587787234043
GO_L_LYSINE_TRANSMEMBRANE_TR...,SET,4,1.2868,0.018983,0.48847,0.0042181,GO_L_LYSINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.569587787234043
GO_REGULATION_OF_CELLULAR_AM...1,SET,355,0.11727,0.016141,0.044516,0.0042184,GO_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS,0.569587787234043
GO_REGULATION_OF_ESTABLISHME...5,SET,21,0.4818,0.016277,0.18311,0.0042584,GO_REGULATION_OF_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,0.569587787234043
