VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
PID_BARD1_PATHWAY,SET,28,0.57245,0.022338,0.13903,1.9237e-05,PID_BARD1_PATHWAY,0.234191238
GO_ANTIOXIDANT_ACTIVITY,SET,72,0.38764,0.024227,0.10147,6.6861e-05,GO_ANTIOXIDANT_ACTIVITY,0.358919955
REACTOME_DEFECTIVE_CHST6_CAU...,SET,8,1.1342,0.02367,0.30263,8.9472e-05,REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1,0.358919955
GO_CELLULAR_DETOXIFICATION,SET,92,0.32463,0.022922,0.088265,0.00011793,GO_CELLULAR_DETOXIFICATION,0.358919955
GO_HEMOGLOBIN_COMPLEX,SET,8,1.2415,0.025909,0.3518,0.00020915,GO_HEMOGLOBIN_COMPLEX,0.42199142
GO_POSITIVE_REGULATION_OF_EN...1,SET,4,1.5672,0.02313,0.44844,0.00023775,GO_POSITIVE_REGULATION_OF_ENDOCYTIC_RECYCLING,0.42199142
GO_POSITIVE_REGULATION_OF_SI...3,SET,20,0.67195,0.022166,0.19334,0.00025564,GO_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.42199142
GO_STRAND_INVASION,SET,5,1.1221,0.018516,0.32788,0.00031107,GO_STRAND_INVASION,0.42199142
REACTOME_MUSCARINIC_ACETYLCH...,SET,5,1.2246,0.020205,0.36167,0.00035556,REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS,0.42199142
BIOCARTA_SPPA_PATHWAY,SET,16,0.77232,0.022789,0.23092,0.00041307,BIOCARTA_SPPA_PATHWAY,0.42199142
GO_PHOSPHATIDYLINOSITOL_5_PH...,SET,13,0.76225,0.020276,0.22993,0.00045881,GO_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_BINDING,0.42199142
GO_REGULATION_OF_RNA_METABOL...,SET,199,0.18624,0.019284,0.056751,0.00051681,GO_REGULATION_OF_RNA_METABOLIC_PROCESS,0.42199142
GO_CYTOKINE_METABOLIC_PROCESS,SET,104,0.28869,0.021666,0.088119,0.00052709,GO_CYTOKINE_METABOLIC_PROCESS,0.42199142
GO_DETOXIFICATION,SET,106,0.27913,0.021147,0.085525,0.00055093,GO_DETOXIFICATION,0.42199142
GO_ESTABLISHMENT_OF_PLANAR_P...1,SET,15,0.6996,0.019989,0.21513,0.00057421,GO_ESTABLISHMENT_OF_PLANAR_POLARITY_INVOLVED_IN_NEURAL_TUBE_CLOSURE,0.42199142
BIOCARTA_ATM_PATHWAY,SET,19,0.57231,0.018401,0.17869,0.00068179,BIOCARTA_ATM_PATHWAY,0.42199142
GO_OXIDOREDUCTASE_ACTIVITY_A...21,SET,49,0.4007,0.020673,0.12595,0.00073406,GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PEROXIDE_AS_ACCEPTOR,0.42199142
GO_AORTIC_VALVE_DEVELOPMENT,SET,28,0.53984,0.021066,0.16977,0.00073792,GO_AORTIC_VALVE_DEVELOPMENT,0.42199142
KEGG_FC_GAMMA_R_MEDIATED_PHA...,SET,90,0.28847,0.020147,0.090879,0.00075249,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.42199142
GO_OLFACTORY_BEHAVIOR,SET,10,0.9252,0.021586,0.29239,0.00077879,GO_OLFACTORY_BEHAVIOR,0.42199142
KEGG_OOCYTE_MEIOSIS,SET,105,0.25369,0.01913,0.080263,0.00078821,KEGG_OOCYTE_MEIOSIS,0.42199142
GO_REGULATION_OF_COLLAGEN_FI...,SET,5,1.0016,0.016527,0.31808,0.00082057,GO_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION,0.42199142
GO_DNA_DAMAGE_RESPONSE_SIGNA...2,SET,16,0.63938,0.018867,0.20368,0.00084839,GO_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_RESULTING_IN_TRANSCRIPTION,0.42199142
GO_CELLULAR_RESPONSE_TO_DNA_...,SET,750,0.092709,0.018351,0.029698,0.00090051,GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS,0.42199142
REACTOME_TRANSCRIPTIONAL_REG...1,SET,30,0.44451,0.017954,0.14273,0.00092338,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6,0.42199142
GO_HAPTOGLOBIN_BINDING,SET,6,1.3965,0.025241,0.44943,0.00094555,GO_HAPTOGLOBIN_BINDING,0.42199142
REACTOME_DEFECTIVE_B4GALT1_C...,SET,8,0.97039,0.020252,0.31276,0.00096048,REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D,0.42199142
GO_CALCIUM_RELEASE_CHANNEL_A...,SET,21,0.58586,0.019802,0.18945,0.00099431,GO_CALCIUM_RELEASE_CHANNEL_ACTIVITY,0.42199142
GO_POSITIVE_REGULATION_OF_DN...7,SET,5,0.94242,0.01555,0.30582,0.0010309,GO_POSITIVE_REGULATION_OF_DNA_LIGATION,0.42199142
GO_MRNA_5_UTR_BINDING,SET,23,0.49576,0.017536,0.16101,0.0010399,GO_MRNA_5_UTR_BINDING,0.42199142
GO_AXON_MIDLINE_CHOICE_POINT...,SET,5,1.4734,0.024311,0.48006,0.0010751,GO_AXON_MIDLINE_CHOICE_POINT_RECOGNITION,0.422202174193548
GO_REGULATION_OF_EPITHELIAL_...8,SET,17,0.62274,0.01894,0.20431,0.0011537,GO_REGULATION_OF_EPITHELIAL_TUBE_FORMATION,0.428598581818182
GO_HAPTOGLOBIN_HEMOGLOBIN_CO...,SET,7,1.1755,0.022948,0.38593,0.0011618,GO_HAPTOGLOBIN_HEMOGLOBIN_COMPLEX,0.428598581818182
PID_TCR_RAS_PATHWAY,SET,13,0.6902,0.018359,0.2313,0.0014242,PID_TCR_RAS_PATHWAY,0.457877666666667
GO_POSITIVE_REGULATION_OF_EX...1,SET,26,0.49552,0.018634,0.16613,0.0014308,GO_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL,0.457877666666667
GO_GAMMA_TUBULIN_LARGE_COMPL...,SET,7,0.89725,0.017516,0.3014,0.0014578,GO_GAMMA_TUBULIN_LARGE_COMPLEX,0.457877666666667
REACTOME_UNWINDING_OF_DNA,SET,12,0.69804,0.01784,0.23466,0.0014681,REACTOME_UNWINDING_OF_DNA,0.457877666666667
REACTOME_FGFR2_ALTERNATIVE_S...,SET,27,0.45407,0.0174,0.15321,0.0015219,REACTOME_FGFR2_ALTERNATIVE_SPLICING,0.457877666666667
GO_CORNEA_DEVELOPMENT_IN_CAM...,SET,9,1.0095,0.022346,0.34286,0.0016202,GO_CORNEA_DEVELOPMENT_IN_CAMERA_TYPE_EYE,0.457877666666667
GO_REGULATION_OF_PROTEIN_KIN...2,SET,4,1.384,0.020426,0.47244,0.0016994,GO_REGULATION_OF_PROTEIN_KINASE_C_ACTIVITY,0.457877666666667
GO_JUXTAPARANODE_REGION_OF_A...,SET,10,0.81381,0.018987,0.2782,0.0017232,GO_JUXTAPARANODE_REGION_OF_AXON,0.457877666666667
KEGG_NATURAL_KILLER_CELL_MED...,SET,121,0.24246,0.019619,0.082968,0.0017389,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.457877666666667
GO_WEIBEL_PALADE_BODY,SET,5,1.0643,0.017562,0.36538,0.0017923,GO_WEIBEL_PALADE_BODY,0.457877666666667
GO_REGULATION_OF_STEM_CELL_P...1,SET,26,0.487,0.018314,0.16799,0.0018742,GO_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE,0.457877666666667
GO_MULTIVESICULAR_BODY_MEMBR...,SET,10,0.70623,0.016477,0.24364,0.001876,GO_MULTIVESICULAR_BODY_MEMBRANE,0.457877666666667
BIOCARTA_GPCR_PATHWAY,SET,28,0.48735,0.019018,0.16826,0.0018896,BIOCARTA_GPCR_PATHWAY,0.457877666666667
GO_POSITIVE_REGULATION_OF_IN...43,SET,4,1.3939,0.020572,0.482,0.0019169,GO_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,0.457877666666667
GO_PROTEIN_LINEAR_POLYUBIQUI...,SET,3,1.2701,0.016234,0.43968,0.0019362,GO_PROTEIN_LINEAR_POLYUBIQUITINATION,0.457877666666667
