VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
GO_AMINOGLYCAN_BIOSYNTHETIC_...,SET,105,0.33413,0.025183,0.084619,3.9453e-05,GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS,0.480300822
GO_CELLULAR_RESPONSE_TO_POTA...,SET,10,0.989,0.023063,0.27281,0.00014478,GO_CELLULAR_RESPONSE_TO_POTASSIUM_ION,0.547003907142857
REACTOME_SYNTHESIS_OF_BILE_A...3,SET,15,0.91694,0.026185,0.26109,0.0002229,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL,0.547003907142857
REACTOME_MUSCARINIC_ACETYLCH...,SET,5,1.2472,0.020569,0.35847,0.00025192,REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS,0.547003907142857
GO_IRES_DEPENDENT_VIRAL_TRAN...,SET,9,0.94219,0.020845,0.27411,0.00029444,GO_IRES_DEPENDENT_VIRAL_TRANSLATIONAL_INITIATION,0.547003907142857
REACTOME_DEFECTIVE_CHST6_CAU...,SET,8,1.0207,0.021291,0.29935,0.00032583,REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1,0.547003907142857
GO_NEGATIVE_REGULATION_OF_TR...7,SET,17,0.80625,0.024509,0.23777,0.00034912,GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING,0.547003907142857
PID_ERBB_NETWORK_PATHWAY,SET,15,0.73449,0.020975,0.21943,0.00040899,PID_ERBB_NETWORK_PATHWAY,0.547003907142857
GO_REGULATION_OF_GRANULOCYTE...2,SET,15,0.70457,0.02012,0.21095,0.00041968,GO_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION,0.547003907142857
GO_JUXTAPARANODE_REGION_OF_A...,SET,10,0.90397,0.02108,0.27962,0.00061383,GO_JUXTAPARANODE_REGION_OF_AXON,0.547003907142857
GO_CYTOPLASMIC_STRESS_GRANULE,SET,52,0.35757,0.018993,0.11084,0.00062869,GO_CYTOPLASMIC_STRESS_GRANULE,0.547003907142857
KEGG_SELENOAMINO_ACID_METABO...,SET,24,0.52896,0.019102,0.16409,0.00063394,KEGG_SELENOAMINO_ACID_METABOLISM,0.547003907142857
KEGG_LEISHMANIA_INFECTION,SET,63,0.38627,0.022577,0.12013,0.00065223,KEGG_LEISHMANIA_INFECTION,0.547003907142857
GO_DNA_BINDING_TRANSCRIPTION...4,SET,221,0.18963,0.020669,0.05943,0.00071044,GO_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC,0.547003907142857
GO_INTRINSIC_COMPONENT_OF_PR...2,SET,81,0.32258,0.021368,0.10249,0.0008247,GO_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE,0.547003907142857
GO_RESPONSE_TO_POTASSIUM_ION,SET,15,0.67935,0.0194,0.21633,0.00084514,GO_RESPONSE_TO_POTASSIUM_ION,0.547003907142857
GO_COENZYME_TRANSMEMBRANE_TR...,SET,6,0.93757,0.016937,0.29904,0.00086005,GO_COENZYME_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.547003907142857
REACTOME_CENTROSOME_MATURATI...,SET,75,0.27968,0.017829,0.09029,0.00097718,REACTOME_CENTROSOME_MATURATION,0.547003907142857
REACTOME_EGFR_INTERACTS_WITH...,SET,9,0.91924,0.020337,0.29829,0.0010307,REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA,0.547003907142857
GO_PHOSPHATIDYLSERINE_EXPOSU...,SET,5,0.99208,0.016361,0.32354,0.0010851,GO_PHOSPHATIDYLSERINE_EXPOSURE_ON_APOPTOTIC_CELL_SURFACE,0.547003907142857
GO_ROSTROCAUDAL_NEURAL_TUBE_...,SET,9,0.92929,0.020559,0.30341,0.0010979,GO_ROSTROCAUDAL_NEURAL_TUBE_PATTERNING,0.547003907142857
REACTOME_RECRUITMENT_OF_NUMA...,SET,88,0.26116,0.018028,0.085616,0.0011447,REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,0.547003907142857
GO_GRANULOCYTE_DIFFERENTIATI...,SET,31,0.46581,0.019114,0.153,0.0011672,GO_GRANULOCYTE_DIFFERENTIATION,0.547003907142857
GO_SMALL_RIBOSOMAL_SUBUNIT_R...,SET,10,0.83268,0.019418,0.27367,0.0011741,GO_SMALL_RIBOSOMAL_SUBUNIT_RRNA_BINDING,0.547003907142857
GO_POSITIVE_REGULATION_OF_GR...2,SET,8,0.87748,0.018303,0.28852,0.0011794,GO_POSITIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION,0.547003907142857
GO_TRNA_5_LEADER_REMOVAL,SET,11,0.6714,0.016421,0.22138,0.001213,GO_TRNA_5_LEADER_REMOVAL,0.547003907142857
GO_CELLULAR_RESPONSE_TO_DEXA...,SET,31,0.4899,0.020103,0.16203,0.0012514,GO_CELLULAR_RESPONSE_TO_DEXAMETHASONE_STIMULUS,0.547003907142857
