VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
REACTOME_MUSCARINIC_ACETYLCH...,SET,5,1.515,0.024997,0.37762,3.0237e-05,REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS,0.215345886
GO_JUXTAPARANODE_REGION_OF_A...,SET,10,1.118,0.026083,0.28127,3.5378e-05,GO_JUXTAPARANODE_REGION_OF_AXON,0.215345886
GO_CELLULAR_RESPONSE_TO_POTA...,SET,10,1.0211,0.023824,0.27647,0.00011092,GO_CELLULAR_RESPONSE_TO_POTASSIUM_ION,0.28799626
KEGG_LEISHMANIA_INFECTION,SET,63,0.43509,0.025442,0.11932,0.00013335,KEGG_LEISHMANIA_INFECTION,0.28799626
GO_AMINOGLYCAN_BIOSYNTHETIC_...,SET,105,0.30115,0.022708,0.082817,0.00013869,GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS,0.28799626
REACTOME_DEFECTIVE_CHST6_CAU...,SET,8,1.0472,0.021854,0.28845,0.00014194,REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1,0.28799626
REACTOME_TAK1_ACTIVATES_NFKB...,SET,28,0.57722,0.022524,0.16111,0.00017041,REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX,0.296367334285714
KEGG_SELENOAMINO_ACID_METABO...,SET,24,0.57254,0.020686,0.16459,0.00025273,KEGG_SELENOAMINO_ACID_METABOLISM,0.381790166666667
GO_ROSTROCAUDAL_NEURAL_TUBE_...,SET,9,1.0598,0.023458,0.3073,0.00028225,GO_ROSTROCAUDAL_NEURAL_TUBE_PATTERNING,0.381790166666667
GO_TRNA_5_LEADER_REMOVAL,SET,11,0.76087,0.018618,0.22569,0.00037491,GO_TRNA_5_LEADER_REMOVAL,0.43134511
GO_G_PROTEIN_COUPLED_ACETYLC...1,SET,7,1.114,0.021748,0.33181,0.00039404,GO_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_ACTIVITY,0.43134511
GO_REGULATION_OF_TRANSLATION...7,SET,3,1.9665,0.025134,0.58939,0.00042518,GO_REGULATION_OF_TRANSLATION_AT_SYNAPSE_MODULATING_SYNAPTIC_TRANSMISSION,0.43134511
GO_ADENYLATE_CYCLASE_INHIBIT...3,SET,8,0.98724,0.020603,0.30405,0.00058437,GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY,0.50866147826087
GO_COENZYME_TRANSMEMBRANE_TR...,SET,6,0.99003,0.017894,0.30701,0.00063161,GO_COENZYME_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.50866147826087
GO_MIDBRAIN_HINDBRAIN_BOUNDA...,SET,7,1.091,0.021298,0.33967,0.00066042,GO_MIDBRAIN_HINDBRAIN_BOUNDARY_DEVELOPMENT,0.50866147826087
