VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
ABBUD_LIF_SIGNALING_1_UP,SET,39,0.64045,0.029471,0.14415,4.4625e-06,ABBUD_LIF_SIGNALING_1_UP,0.1115392215
GOBP_POSITIVE_REGULATION_OF_...27,SET,5,1.6349,0.026962,0.37462,6.4186e-06,GOBP_POSITIVE_REGULATION_OF_AMYLOID_FIBRIL_FORMATION,0.1115392215
WP_MAMMARY_GLAND_DEVELOPMENT...4,SET,12,1.127,0.028788,0.26498,1.0593e-05,WP_MAMMARY_GLAND_DEVELOPMENT_PUBERTY_STAGE_2_OF_4,0.122719905
GOCC_INTERMEDIATE_FILAMENT_C...,SET,208,0.27547,0.029139,0.071056,5.311e-05,GOCC_INTERMEDIATE_FILAMENT_CYTOSKELETON,0.2506994
HP_ACNE_INVERSA,SET,11,0.83179,0.020343,0.2152,5.5702e-05,HP_ACNE_INVERSA,0.2506994
HP_COLDNESS,SET,2,2.5353,0.026446,0.65746,5.7767e-05,HP_COLDNESS,0.2506994
HP_HAND_APRAXIA,SET,2,2.5353,0.026446,0.65746,5.7767e-05,HP_HAND_APRAXIA,0.2506994
FAN_OVARY_CL5_HEALTHY_SELECT...,SET,283,0.20226,0.024904,0.052594,6.0308e-05,FAN_OVARY_CL5_HEALTHY_SELECTABLE_FOLLICLE_THECAL_CELL,0.2506994
HP_OPEN_BITE,SET,54,0.43993,0.023811,0.11524,6.7642e-05,HP_OPEN_BITE,0.2506994
GOBP_DNA_UNWINDING_INVOLVED_...,SET,20,0.70337,0.02319,0.18567,7.6083e-05,GOBP_DNA_UNWINDING_INVOLVED_IN_DNA_REPLICATION,0.2506994
GOCC_GINS_COMPLEX,SET,5,1.4422,0.023784,0.38245,8.161e-05,GOCC_GINS_COMPLEX,0.2506994
BAUS_TFF2_TARGETS_UP,SET,31,0.55612,0.02282,0.14842,8.9803e-05,BAUS_TFF2_TARGETS_UP,0.2506994
HP_DELAYED_ABILITY_TO_CRAWL,SET,8,0.87868,0.018328,0.23802,0.00011175,HP_DELAYED_ABILITY_TO_CRAWL,0.2506994
HP_HEAT_INTOLERANCE,SET,19,0.67116,0.021568,0.18207,0.00011414,HP_HEAT_INTOLERANCE,0.2506994
MIR6752_5P,SET,112,0.30211,0.023512,0.08198,0.00011464,MIR6752_5P,0.2506994
GOMF_RETINOIC_ACID_RESPONSIV...,SET,6,1.2306,0.022231,0.33548,0.00012251,GOMF_RETINOIC_ACID_RESPONSIVE_ELEMENT_BINDING,0.2506994
GROSS_HIF1A_TARGETS_UP,SET,7,1.3987,0.027291,0.38242,0.00012774,GROSS_HIF1A_TARGETS_UP,0.2506994
