VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,FULL_NAME,P_FDR
HP_COLDNESS,SET,2,2.7654,0.028861,0.63951,7.6929e-06,HP_COLDNESS,0.08762604375
HP_HAND_APRAXIA,SET,2,2.7654,0.028861,0.63951,7.6929e-06,HP_HAND_APRAXIA,0.08762604375
GROSS_HIF1A_TARGETS_UP,SET,7,1.6375,0.031967,0.38238,9.2911e-06,GROSS_HIF1A_TARGETS_UP,0.08762604375
BAUS_TFF2_TARGETS_UP,SET,30,0.64278,0.025961,0.15074,1.0085e-05,BAUS_TFF2_TARGETS_UP,0.08762604375
SCHERER_PBMC_APSV_WETVAX_AGE...5,SET,171,0.26109,0.025079,0.063352,1.8931e-05,SCHERER_PBMC_APSV_WETVAX_AGE_18_32YO_5_TO_7DY_DN,0.131589381
HP_OPEN_BITE,SET,54,0.48175,0.026087,0.11984,2.9243e-05,HP_OPEN_BITE,0.150126705
REACTOME_MUSCARINIC_ACETYLCH...,SET,5,1.515,0.024997,0.37762,3.0237e-05,REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS,0.150126705
GOCC_GINS_COMPLEX,SET,5,1.5022,0.024785,0.38349,4.4988e-05,GOCC_GINS_COMPLEX,0.1954447425
HP_ACNE_INVERSA,SET,11,0.81927,0.020047,0.21147,5.3672e-05,HP_ACNE_INVERSA,0.2050602925
FAN_OVARY_CL5_HEALTHY_SELECT...,SET,281,0.20076,0.024645,0.052514,6.6165e-05,FAN_OVARY_CL5_HEALTHY_SELECTABLE_FOLLICLE_THECAL_CELL,0.2050602925
GOCC_JUXTAPARANODE_REGION_OF...,SET,12,0.98783,0.025245,0.25866,6.722e-05,GOCC_JUXTAPARANODE_REGION_OF_AXON,0.2050602925
GSE21546_SAP1A_KO_VS_SAP1A_K...2,SET,178,0.23936,0.023453,0.062887,7.0802e-05,GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP,0.2050602925
KEGG_SELENOAMINO_ACID_METABO...,SET,23,0.65342,0.023112,0.17351,8.3217e-05,KEGG_SELENOAMINO_ACID_METABOLISM,0.2190558
HP_EXCESSIVE_BLEEDING_FROM_S...,SET,5,1.48,0.02442,0.39454,8.824e-05,HP_EXCESSIVE_BLEEDING_FROM_SUPERFICIAL_CUTS,0.2190558
GSE13522_CTRL_VS_T_CRUZI_Y_S...5,SET,183,0.23551,0.023395,0.063393,0.00010186,GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_DN,0.220180480434783
BENNETT_SYSTEMIC_LUPUS_ERYTH...,SET,25,0.67128,0.024753,0.18164,0.00010997,BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.220180480434783
