GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
MS4A4E,11,60201253,60243114,100,15,9675,4.9702,3.345e-07,8.851e-06,1.9219e-06,0.0061410855,0.0317457708333333,0.0352841621
MS4A6A,11,60171607,60184666,17,4,9675,4.5816,2.3074e-06,1.5464e-06,8.8098e-06,0.0160310788,0.0187225082,0.0539130394
SLCO1A2,12,21264600,21403657,407,50,9675,4.4841,3.6615e-06,3.0594e-06,0.00023006,0.0160310788,0.0187225082,0.21418277
GNA12,7,2728105,2870656,433,40,9675,4.4535,4.2234e-06,2.8282e-06,0.00019034,0.0160310788,0.0187225082,0.21418277
LAMTOR4,7,100148907,100154210,4,2,9675,4.4464,4.366e-06,4.1494e-06,5.94e-06,0.0160310788,0.01904470865,0.0539130394
GAL3ST4,7,100159242,100168750,11,5,9675,4.2503,1.0675e-05,1.6248e-05,7.5369e-05,0.0326637208333333,0.037287129,0.21418277
PPP1R12A,12,79773563,79935455,159,14,9675,4.2058,1.3008e-05,5.6718e-05,0.00041325,0.0341162674285714,0.0933585748333333,0.267243733103448
AMZ1,7,2679522,2765679,315,46,9675,4.1615,1.5808e-05,1.0375e-05,0.00086103,0.036277384,0.0317457708333333,0.361074655957447
AP4M1,7,100101412,100107180,9,5,9675,4.0753,2.2976e-05,1.5909e-05,0.00021909,0.0468684871111111,0.037287129,0.21418277
KIAA0391,14,35121283,35274078,387,38,9675,3.9313,4.2249e-05,0.00016849,0.00020656,0.076361757,0.1546653955,0.21418277
NT5DC1,6,116100823,116245690,265,34,9675,3.9121,4.5753e-05,0.00030529,0.00024845,0.076361757,0.187065970666667,0.21418277
MS4A4A,11,60280541,60308972,43,13,9675,3.8779,5.2679e-05,6.1022e-05,0.00031244,0.0805944800833333,0.0933585748333333,0.24939504173913
TAF6,7,100107070,100119858,15,5,9675,3.8509,5.8853e-05,0.00018425,0.0002011,0.0831140174615385,0.15648544,0.21418277
C7orf43,7,100154420,100158721,3,3,9675,3.8001,7.233e-05,0.00031939,2.6412e-05,0.0948504621428571,0.189151000322581,0.121224477
NAGPA,16,5024844,5033941,25,10,9675,3.6871,0.00011341,3.2898e-05,0.0012357,0.138806279333333,0.0671082646666667,0.405111005357143
SH3PXD2B,5,172325181,172454523,410,44,9675,3.665,0.00012369,4.2692e-05,0.003864,0.141926544375,0.0783782428,0.473487352380952
BAZ1A,14,34752731,34875647,316,30,9675,3.6043,0.00015652,0.00025062,0.0010597,0.166393736666667,0.176966637692308,0.389100646
GPC2,7,100169606,100177426,7,5,9675,3.5935,0.00016314,0.0014331,5.7189e-05,0.166393736666667,0.459766336206897,0.2099865702
ALX4,11,44260438,44319220,174,41,9675,3.5599,0.00018553,9.2365e-05,0.0065353,0.172181192857143,0.130440695,0.473487352380952
SMIM7,19,16630743,16660157,58,16,9675,3.546,0.00019553,0.00045618,0.0014179,0.172181192857143,0.220394963684211,0.431857854098361
SCN2A,2,165130149,165392310,535,60,9675,3.5441,0.00019695,0.00012215,0.0061417,0.172181192857143,0.143982873157895,0.473487352380952
SIX5,19,45764785,45769239,3,2,9675,3.5311,0.00020695,0.00013216,0.00042214,0.172699775,0.143982873157895,0.267243733103448
B4GALT6,18,31622246,31725286,152,34,9675,3.4931,0.00023873,0.0039204,0.00023529,0.18065256,0.508698146368715,0.21418277
BHMG1,19,45723892,45764539,38,8,9675,3.4794,0.00025123,0.00021153,0.0016495,0.18065256,0.16181163625,0.432962107042254
KHSRP,19,6413104,6424811,13,8,9675,3.4763,0.00025417,0.00030568,0.00082552,0.18065256,0.187065970666667,0.361074655957447
FRK,6,115941528,116100728,280,35,9675,3.4746,0.00025584,0.00081323,0.0013247,0.18065256,0.342468021041667,0.426669601754386
ANKRD10,13,110878540,110915107,95,14,9675,3.4425,0.0002882,0.0038308,0.00013417,0.188940976829268,0.508698146368715,0.21418277
SHKBP1,19,40576851,40591399,28,12,9675,3.4376,0.00029341,0.00012074,0.0045747,0.188940976829268,0.143982873157895,0.473487352380952
KCNN3,1,154697462,154870278,419,93,9675,3.4095,0.00032538,0.00014402,0.015442,0.188940976829268,0.143982873157895,0.520304702898551
OSM,22,30262826,30266840,5,4,9675,3.4013,0.00033539,0.0013222,0.00017859,0.188940976829268,0.449523514814815,0.21418277
DMPK,19,45769709,45782557,10,4,9675,3.3993,0.00033785,0.00033102,0.00092362,0.188940976829268,0.189912380625,0.361074655957447
DMWD,19,45783006,45792802,12,6,9675,3.3875,0.0003527,0.00020027,0.0017629,0.188940976829268,0.159858996956522,0.437365960810811
MSX1,4,4859665,4863936,18,7,9675,3.3755,0.00036842,0.00014901,0.00248,0.188940976829268,0.143982873157895,0.473487352380952
OR56A4,11,6002051,6003148,3,1,9675,3.3737,0.00037077,0.00038267,0.00038946,0.188940976829268,0.200726815142857,0.264818375555556
SLC25A42,19,19063966,19113030,63,15,9675,3.369,0.00037716,0.00037723,0.0060098,0.188940976829268,0.200726815142857,0.473487352380952
UGT2A3,4,68928459,68951798,57,9,9675,3.3614,0.00038772,0.0086936,0.00017543,0.188940976829268,0.54371565755627,0.21418277
MON1B,16,77190919,77199646,34,11,9675,3.3594,0.00039056,0.0002318,0.0033344,0.188940976829268,0.170224648,0.473487352380952
LIME1,20,63736626,63739107,6,3,9675,3.3499,0.00040414,0.00039426,0.00058786,0.188940976829268,0.201061648333333,0.330105310857143
SEC14L3,22,30447959,30472047,89,15,9675,3.3488,0.00040582,0.005933,0.00033308,0.188940976829268,0.513191183817427,0.254792321666667
YTHDF1,20,63195429,63216186,42,9,9675,3.3403,0.00041845,0.00052423,0.0022512,0.188940976829268,0.246777912051282,0.473487352380952
MS4A2,11,60088261,60098467,19,4,9675,3.338,0.00042195,0.0011564,0.00035986,0.188940976829268,0.424606952,0.2642667896
TMEFF1,9,100473238,100577636,185,20,9675,3.3023,0.00047953,0.002196,0.00070273,0.204954288478261,0.465260961956522,0.339511054473684
FGF17,8,22039709,22048809,20,13,9675,3.296,0.00049036,0.00014739,0.0071217,0.204954288478261,0.143982873157895,0.473605614041096
RNF215,22,30378812,30387313,22,6,9675,3.2948,0.00049254,0.0012962,0.00056768,0.204954288478261,0.448998788679245,0.330105310857143
PTK2B,8,27311482,27459391,333,34,9675,3.2891,0.00050257,0.011169,0.00020567,0.204954288478261,0.557697924528302,0.21418277
MYO1H,12,109388277,109449004,252,31,9675,3.283,0.00051353,0.00027877,0.0028448,0.204954288478261,0.187065970666667,0.473487352380952
CNPY4,7,100119642,100125508,8,4,9675,3.2768,0.00052493,0.00038083,0.0011874,0.205046592978723,0.200726815142857,0.39635412
MSANTD3-TMEFF1,9,100441906,100577636,234,24,9675,3.263,0.00055117,0.0033289,0.0006131,0.210811042291667,0.508698146368715,0.330105310857143
COL10A1,6,116118909,116218169,152,25,9675,3.2466,0.00058396,0.00089241,0.0040634,0.215036848653846,0.342468021041667,0.473487352380952
ELMSAN1,14,73715122,73790285,169,38,9675,3.2434,0.00059056,0.00029652,0.0073519,0.215036848653846,0.187065970666667,0.473605614041096
ANXA4,2,69644100,69826464,282,41,9675,3.2388,0.00060009,0.00018752,0.018179,0.215036848653846,0.15648544,0.552243434991974
RDH13,19,55041319,55069774,133,28,9675,3.2346,0.00060907,0.0033508,0.0011634,0.215036848653846,0.508698146368715,0.395534455555556
PSME3,17,42833142,42843760,2,2,9675,3.2285,0.00062227,0.00098769,0.00044755,0.215551979811321,0.370061238979592,0.273885681666667
MURC,9,100576867,100588402,33,9,9675,3.202,0.00068246,0.0059293,0.00018982,0.231814086,0.513191183817427,0.21418277
ISY1-RAB43,3,129087569,129161230,51,13,9675,3.1969,0.00069447,0.0044297,0.0039249,0.231814086,0.508698146368715,0.473487352380952
C11orf40,11,4571423,4577820,42,14,9675,3.1884,0.00071534,0.00086125,0.0038448,0.234516554642857,0.342468021041667,0.473487352380952
OR52R1,11,4803433,4804380,3,2,9675,3.1532,0.00080746,0.00045001,0.0023515,0.260072949824561,0.220394963684211,0.473487352380952
RAB43,3,129087569,129122150,22,7,9675,3.1457,0.00082858,0.0020622,0.0034344,0.261156775,0.465260961956522,0.473487352380952
C15orf27,15,76059946,76204963,315,52,9675,3.1394,0.00084657,0.0015065,0.0027082,0.261156775,0.465260961956522,0.473487352380952
MED26,19,16574907,16628204,72,14,9675,3.137,0.0008535,0.00083927,0.0074332,0.261156775,0.342468021041667,0.473605614041096
HOXB2,17,48542655,48545031,6,3,9675,3.1286,0.00087834,0.005795,0.00025666,0.264351541967213,0.513191183817427,0.21418277
GLYR1,16,4803203,4847333,94,25,9675,3.1223,0.00089722,0.00070721,0.0066798,0.265678419032258,0.316674838780488,0.473487352380952
TRPM6,9,74722495,74888094,231,44,9675,3.1069,0.00094529,0.00058865,0.0081352,0.27546950968254,0.27017563375,0.474848122981366
ZKSCAN1,7,100015572,100045143,34,10,9675,3.0966,0.00097884,0.0026887,0.001155,0.280789430625,0.483939640196078,0.395534455555556
TSPYL4,6,116249964,116254098,8,4,9675,3.0801,0.0010346,0.00087937,0.0030999,0.292218790769231,0.342468021041667,0.473487352380952
CCL24,7,75811429,75823356,50,15,9675,3.068,0.0010774,0.0011971,0.0031021,0.294542217391304,0.427658782692308,0.473487352380952
CMBL,5,10277595,10308056,88,16,9675,3.0672,0.0010802,0.0014299,0.002227,0.294542217391304,0.459766336206897,0.473487352380952
ZGPAT,20,63707442,63736142,58,9,9675,3.0625,0.0010976,0.0019958,0.0043992,0.294542217391304,0.465260961956522,0.473487352380952
ETFA,15,76216287,76311469,161,22,9675,3.0599,0.001107,0.0032913,0.0035104,0.294542217391304,0.508698146368715,0.473487352380952
LIN7A,12,80792520,80937923,336,35,9675,3.0396,0.0011846,0.0020264,0.0043227,0.310686734285714,0.465260961956522,0.473487352380952
SOX17,8,54457935,54460896,6,3,9675,3.0231,0.0012509,0.0023146,0.0010171,0.311721514285714,0.465260961956522,0.381080385714286
SEC14L2,22,30396941,30425303,55,14,9675,3.0216,0.0012573,0.0017346,0.0031061,0.311721514285714,0.465260961956522,0.473487352380952
KCNB1,20,49363877,49484042,333,51,9675,3.0162,0.0012797,0.0035048,0.0024628,0.311721514285714,0.508698146368715,0.473487352380952
ZSCAN21,7,100049767,100065042,13,4,9675,3.0153,0.0012837,0.0083138,0.00038056,0.311721514285714,0.531822488501742,0.264818375555556
SLC2A4RG,20,63739858,63744050,8,3,9675,3.0147,0.0012861,0.0018191,0.0021857,0.311721514285714,0.465260961956522,0.473487352380952
ADARB2,10,1177313,1737498,1912,187,9675,3.0131,0.001293,0.0059772,0.0081045,0.311721514285714,0.513191183817427,0.474848122981366
EFCAB7,1,63523301,63585365,130,17,9675,3.0097,0.0013074,0.0017635,0.016779,0.311721514285714,0.465260961956522,0.539484520140105
MMAB,12,109553715,109573553,81,15,9675,3.0047,0.0013294,0.0017756,0.0021364,0.312149478481013,0.465260961956522,0.473487352380952
UBN1,16,4847446,4882401,92,20,9675,3.0015,0.0013432,0.0012113,0.0045103,0.312149478481013,0.427658782692308,0.473487352380952
RIPK1,6,3063967,3115187,82,24,9675,2.9963,0.0013663,0.0022665,0.005611,0.31354877125,0.465260961956522,0.473487352380952
MALSU1,7,23299321,23309561,10,6,9675,2.9897,0.001396,0.0057337,0.00098845,0.315349408536585,0.513191183817427,0.378061532291667
WDPCP,2,63120762,63840825,1093,48,9675,2.987,0.0014085,0.0066491,0.0036518,0.315349408536585,0.513191183817427,0.473487352380952
SLC25A17,22,40769630,40819399,47,9,9675,2.9782,0.0014496,0.0017814,0.0086992,0.315688404705882,0.465260961956522,0.477491985459941
TANC2,17,62966664,63427706,557,37,9675,2.9768,0.0014562,0.011533,0.0014305,0.315688404705882,0.560143775132275,0.431857854098361
TMEM38A,19,16661127,16689019,58,15,9675,2.9757,0.0014616,0.0037375,0.0022293,0.315688404705882,0.508698146368715,0.473487352380952
NCR3LG1,11,17351732,17381661,60,14,9675,2.9632,0.0015221,0.0043546,0.0013995,0.324932952325581,0.508698146368715,0.431857854098361
TRIM35,8,27284886,27311319,34,10,9675,2.9541,0.0015681,0.040793,0.00022756,0.327825335106383,0.664900573913043,0.21418277
CYB561,17,63432304,63446361,13,7,9675,2.948,0.0015991,0.0019431,0.0032491,0.327825335106383,0.465260961956522,0.473487352380952
CLPB,11,72292425,72434680,183,25,9675,2.9458,0.0016106,0.00076244,0.017964,0.327825335106383,0.333277046666667,0.552243434991974
UGT2B7,4,69051249,69112987,293,18,9675,2.939,0.0016462,0.005668,0.0027703,0.327825335106383,0.513191183817427,0.473487352380952
CEP192,18,12991321,13125053,335,29,9675,2.9387,0.0016482,0.0026394,0.0056665,0.327825335106383,0.483939640196078,0.473487352380952
UBE3B,12,109477410,109543628,160,22,9675,2.9352,0.0016666,0.0040044,0.0034224,0.327825335106383,0.508698146368715,0.473487352380952
OR51F1,11,4768979,4769917,18,5,9675,2.9341,0.0016726,0.0016894,0.0060067,0.327825335106383,0.465260961956522,0.473487352380952
ZNF576,19,43596392,43600435,2,2,9675,2.933,0.0016785,0.0015937,0.0021072,0.327825335106383,0.465260961956522,0.473487352380952
AMZ2,17,68205997,68257164,254,33,9675,2.92,0.0017504,0.0039094,0.0056883,0.338269406315789,0.508698146368715,0.473487352380952
WDR37,10,1056836,1132297,185,33,9675,2.9066,0.001827,0.0055209,0.0039374,0.34939471875,0.513191183817427,0.473487352380952
MTMR9,8,11284491,11328146,85,13,9675,2.8864,0.0019484,0.0031631,0.0051527,0.365603897169811,0.508698146368715,0.473487352380952
GHRH,20,37251065,37261878,16,6,9675,2.881,0.0019821,0.0016931,0.0060628,0.365603897169811,0.465260961956522,0.473487352380952
TNFRSF6B,20,63696651,63698698,9,4,9675,2.8807,0.0019837,0.0026058,0.0067666,0.365603897169811,0.483231133333333,0.473487352380952
PRDX5,11,64318088,64321823,1,1,9675,2.8784,0.0019988,0.002046,0.002046,0.365603897169811,0.465260961956522,0.473487352380952
ZNF3,7,100063847,100082548,22,8,9675,2.8706,0.0020484,0.014256,0.0009098,0.365603897169811,0.576947864300626,0.361074655957447
LOC105372277,19,12379217,12386256,21,5,9675,2.8678,0.0020669,0.001855,0.0074105,0.365603897169811,0.465260961956522,0.473605614041096
IGF2BP3,7,23310209,23470527,260,46,9675,2.867,0.002072,0.0034418,0.0063791,0.365603897169811,0.508698146368715,0.473487352380952
P2RX4,12,121209861,121234106,79,15,9675,2.8625,0.0021014,0.0022589,0.0096041,0.365603897169811,0.465260961956522,0.479228805882353
SEC14L5,16,4958317,5019155,182,32,9675,2.8613,0.0021092,0.00089539,0.022783,0.365603897169811,0.342468021041667,0.586489393305439
SYCE1L,16,77199452,77213079,54,12,9675,2.8611,0.0021109,0.0030135,0.0045997,0.365603897169811,0.508698146368715,0.473487352380952
C15orf40,15,82988308,83012298,29,12,9675,2.8561,0.0021443,0.0019459,0.01116,0.36761394,0.465260961956522,0.503406486486486
GALNTL5,7,151956379,152019934,204,38,9675,2.8491,0.0021923,0.0040184,0.0043862,0.36761394,0.508698146368715,0.473487352380952
NPM2,8,22023708,22036897,29,14,9675,2.8484,0.0021968,0.0080437,0.0029472,0.36761394,0.527318485865724,0.473487352380952
KCTD10,12,109448655,109477350,111,16,9675,2.8476,0.0022026,0.013552,0.002587,0.36761394,0.5766395,0.473487352380952
C4BPB,1,207088850,207099993,17,7,9675,2.84,0.0022559,0.0077259,0.0020656,0.373117730630631,0.52541037032967,0.473487352380952
OR51E1,11,4643926,4655488,37,13,9675,2.833,0.0023059,0.0045765,0.004829,0.374829583333333,0.508698146368715,0.473487352380952
