GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
BLOC1S3,19,45178745,45217078,131,35,8816,4.7165,1.1997e-06,1.0232e-05,2.0665e-05,0.0220276917,0.070671489,0.1892560075
EXOC3L2,19,45212621,45234211,85,13,8816,4.4979,3.4314e-06,0.0009773,4.1233e-06,0.0315019677,0.32292080875,0.0757079113
MTF2,1,93079235,93139081,63,10,8816,4.3172,7.9022e-06,3.3014e-05,0.00010608,0.0481205088,0.101028342333333,0.240365891111111
CYB561,17,63432304,63446361,13,7,8816,4.2071,1.2933e-05,1.4495e-05,5.3021e-05,0.0481205088,0.070671489,0.1892560075
ZNF493,19,21397119,21427495,84,11,8816,4.2041,1.3104e-05,1.5396e-05,0.00018791,0.0481205088,0.070671489,0.345021551
AIMP1,4,106315610,106349225,49,9,8816,3.9491,3.9225e-05,7.3648e-05,0.0006464,0.1200350375,0.155617635444444,0.433969885416667
PCIF1,20,45934674,45948023,18,10,8816,3.8395,6.1639e-05,1.0416e-05,0.0013584,0.139182500333333,0.070671489,0.433969885416667
EMP2,16,10528422,10580682,190,50,8816,3.8213,6.6381e-05,0.00065811,5.6479e-05,0.139182500333333,0.268030684782609,0.1892560075
ZNF429,19,21505635,21538277,73,9,8816,3.8145,6.8223e-05,2.9831e-05,0.00097731,0.139182500333333,0.101028342333333,0.433969885416667
EIF2B5,3,184134435,184145311,13,6,8816,3.7675,8.2431e-05,0.00023102,0.00010615,0.150159596363636,0.26510988875,0.240365891111111
TBCK,4,106044317,106316704,476,32,8816,3.7457,8.996e-05,0.00011627,0.0034818,0.150159596363636,0.164217959230769,0.433969885416667
CCDC91,12,28188259,28550166,680,35,8816,3.6828,0.00011533,0.00011354,0.003892,0.151575455294118,0.164217959230769,0.433969885416667
TANC2,17,62966664,63427706,557,38,8816,3.6691,0.00012173,0.00029384,0.0006122,0.151575455294118,0.265786275588235,0.433969885416667
UPF1,19,18831935,18868232,43,15,8816,3.6452,0.00013357,0.0067771,6.1845e-05,0.151575455294118,0.492357835177866,0.1892560075
SLC40A1,2,189560590,189580811,39,13,8816,3.6375,0.00013763,7.6279e-05,0.0039564,0.151575455294118,0.155617635444444,0.433969885416667
MRPS9,2,105038025,105099960,201,15,8816,3.634,0.00013956,0.0020499,0.00064816,0.151575455294118,0.369021126666667,0.433969885416667
ZNF335,20,45948653,45972194,48,16,8816,3.6325,0.00014034,0.00010486,0.0021113,0.151575455294118,0.164217959230769,0.433969885416667
SKIV2L2,5,55307748,55425581,220,15,8816,3.5916,0.00016434,0.00035204,0.0040214,0.16763593,0.265786275588235,0.433969885416667
RNF20,9,101533849,101563344,41,11,8816,3.5663,0.00018103,0.0003336,0.00056909,0.174941675263158,0.265786275588235,0.433969885416667
LRP5,11,68298866,68449275,262,42,8816,3.5447,0.00019652,5.7e-05,0.0063936,0.180415186,0.149511,0.433969885416667
ZNF708,19,21291160,21329439,80,10,8816,3.4827,0.00024821,0.00029075,0.0004323,0.217018276666667,0.265786275588235,0.433969885416667
PPAP2A,5,55424842,55535370,228,19,8816,3.4602,0.00026985,0.00055897,0.0043816,0.225214356818182,0.268030684782609,0.433969885416667
PPP6R3,11,68460718,68615334,181,18,8816,3.4482,0.00028213,0.00059889,0.002687,0.225225605652174,0.268030684782609,0.433969885416667
ZNF763,19,11965054,11980399,61,7,8816,3.4325,0.00029904,0.00022392,0.0039259,0.22877806,0.26510988875,0.433969885416667
SEZ6L2,16,29871159,29899264,16,7,8816,3.3981,0.00033928,0.00010433,0.0051396,0.245273185405405,0.164217959230769,0.433969885416667
FNBP1L,1,93448076,93570905,83,19,8816,3.3795,0.0003631,0.00028797,0.0038464,0.245273185405405,0.265786275588235,0.433969885416667
DHX29,5,55256245,55307693,76,14,8816,3.3705,0.00037515,0.00096756,0.0018119,0.245273185405405,0.32292080875,0.433969885416667
ZBTB7A,19,4043303,4066818,32,10,8816,3.3686,0.00037778,0.00045738,0.0014091,0.245273185405405,0.265786275588235,0.433969885416667
PVR,19,44643798,44666161,23,9,8816,3.3583,0.00039214,0.00037403,0.0017183,0.245273185405405,0.265786275588235,0.433969885416667
PLTP,20,45898620,45912364,20,12,8816,3.3402,0.00041866,0.0006715,0.00067478,0.245273185405405,0.268030684782609,0.433969885416667
EFCAB11,14,89794984,89954777,384,46,8816,3.3326,0.00043018,0.00041347,0.0073161,0.245273185405405,0.265786275588235,0.447961320512821
ZDHHC6,10,112425439,112447234,36,13,8816,3.3069,0.00047174,0.00047796,0.0022244,0.245273185405405,0.265786275588235,0.433969885416667
EED,11,86244544,86285420,66,13,8816,3.3059,0.00047338,0.00044668,0.0019117,0.245273185405405,0.265786275588235,0.433969885416667
URI1,19,29923644,30016612,109,17,8816,3.305,0.00047491,0.001646,0.00088332,0.245273185405405,0.360440553846154,0.433969885416667
HTR3E,3,184097064,184106995,17,7,8816,3.3003,0.00048294,0.00074728,0.0012136,0.245273185405405,0.291932086808511,0.433969885416667
SH3RF2,5,145936563,146081773,260,24,8816,3.2992,0.00048483,0.00049217,0.0033672,0.245273185405405,0.265786275588235,0.433969885416667
VAMP4,1,171700156,171742239,90,14,8816,3.2938,0.00049426,0.00046545,0.0059795,0.245273185405405,0.265786275588235,0.433969885416667
ZNF700,19,11925068,11950773,49,12,8816,3.2796,0.00051973,0.00066608,0.0026513,0.249695476153846,0.268030684782609,0.433969885416667
C10orf142,10,44292750,44294649,4,3,8816,3.2739,0.00053037,0.00026698,0.0021382,0.249695476153846,0.265786275588235,0.433969885416667
CCDC18,1,93180330,93279037,161,17,8816,3.2612,0.00055466,0.0056973,0.00058669,0.2546028065,0.465603027826087,0.433969885416667
CR1,1,207496128,207641765,191,29,8816,3.2418,0.00059388,0.0017864,0.0019145,0.260682631525424,0.360440553846154,0.433969885416667
C11orf73,11,86302211,86345943,107,15,8816,3.2337,0.00061094,0.0010243,0.0030056,0.260682631525424,0.32995039122807,0.433969885416667
TMED5,1,93149742,93180689,40,7,8816,3.218,0.00064536,0.0074639,0.00029058,0.260682631525424,0.500922057651246,0.433969885416667
GNA12,7,2728105,2870656,422,39,8816,3.1824,0.00073022,0.00034937,0.0039829,0.260682631525424,0.265786275588235,0.433969885416667
SHISA9,16,12901620,13562919,1997,193,8816,3.1806,0.00073497,0.0026041,0.011204,0.260682631525424,0.377823833333333,0.509640603406326
KCNK10,14,88180108,88326912,403,66,8816,3.1796,0.00073731,0.0011027,0.0053254,0.260682631525424,0.331984366666667,0.433969885416667
