GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
ZBTB25,14,64449106,64505213,94,14,8816,4.8218,7.1128e-07,3.5146e-06,1.4159e-05,0.01306052336,0.0521187008,0.129993779
LOC105375950,9,971948,976558,12,5,8816,4.4834,3.6738e-06,1.2542e-05,5.0868e-06,0.0337291578,0.0521187008,0.0934038216
RNF19A,8,100257059,100336218,110,13,8816,4.3439,6.9991e-06,7.1026e-06,0.00036799,0.0428391580666667,0.0521187008,0.355633283157895
CD2AP,6,47477746,47627263,273,19,8816,4.1614,1.5813e-05,0.0001153,0.00013128,0.0684021224,0.141142573333333,0.254332062
ZBTB1,14,64503950,64533690,68,9,8816,4.1239,1.8626e-05,0.0001636,0.00010995,0.0684021224,0.184963764545455,0.254332062
AKAP5,14,64465499,64474503,10,6,8816,4.0534,2.5236e-05,6.9015e-05,3.8911e-05,0.077230572,0.10145005,0.1786209455
PPP1R36,14,64549902,64589386,92,21,8816,3.9887,3.322e-05,5.116e-05,0.00052013,0.0871408057142857,0.093939992,0.3846839
MAP1LC3B,16,87392195,87404774,28,12,8816,3.9548,3.8307e-05,4.9875e-05,0.00016636,0.08792414175,0.093939992,0.257144508333333
PLEKHG1,6,150599863,150843665,763,101,8816,3.8523,5.85e-05,1.4192e-05,0.01225,0.106959797625,0.0521187008,0.592905624020888
ANXA4,2,69644100,69826464,284,39,8816,3.7977,7.3028e-05,1.381e-05,0.0034683,0.106959797625,0.0521187008,0.497596020849421
SPAG1,8,100158003,100241904,135,17,8816,3.7699,8.1658e-05,3.1692e-05,0.00099167,0.106959797625,0.0831326434285714,0.41963030212766
LOC105378283,10,45180356,45194262,28,4,8816,3.7615,8.4434e-05,7.1825e-05,0.00085987,0.106959797625,0.10145005,0.41963030212766
DMRT3,9,976968,991736,35,10,8816,3.757,8.5979e-05,0.00020868,0.0002876,0.106959797625,0.184963764545455,0.322760755294118
RFX3,9,3218297,3526001,549,60,8816,3.7479,8.9173e-05,4.5644e-05,0.0041699,0.106959797625,0.093939992,0.497596020849421
LRRC34,3,169793006,169812866,45,8,8816,3.7369,9.316e-05,0.00040328,0.00016805,0.106959797625,0.221116284117647,0.257144508333333
SNRNP27,2,69893943,69905236,12,5,8816,3.7368,9.3201e-05,3.0422e-05,0.0010441,0.106959797625,0.0831326434285714,0.41963030212766
BLOC1S3,19,45178745,45217078,131,35,8816,3.7064,0.00010511,6.4765e-05,0.0039409,0.113531165882353,0.10145005,0.497596020849421
MXD1,2,69915041,69942945,42,8,8816,3.682,0.0001157,8.2133e-05,0.0025943,0.118026855555556,0.107723296142857,0.497596020849421
HIST1H1B,6,27866792,27867581,4,3,8816,3.5275,0.00020979,0.0002097,0.00040195,0.166499017931034,0.184963764545455,0.359589166666667
GMCL1,2,69829642,69881386,68,12,8816,3.5213,0.00021476,0.00032256,0.00085107,0.166499017931034,0.191059571612903,0.41963030212766
SSB,2,169798812,169812064,31,10,8816,3.5176,0.00021771,0.0018969,0.00011574,0.166499017931034,0.405010206976744,0.254332062
UBXN2A,2,23927271,24001000,185,20,8816,3.5078,0.00022595,0.00030628,0.0029331,0.166499017931034,0.187463778666667,0.497596020849421
CCND1,11,69641105,69654474,18,8,8816,3.5048,0.00022846,0.00028069,0.00098388,0.166499017931034,0.187463778666667,0.41963030212766
CNST,1,246566337,246668587,196,33,8816,3.5013,0.00023154,0.00021037,0.0048654,0.166499017931034,0.184963764545455,0.497596020849421
CIITA,16,10866212,10941449,151,44,8816,3.4812,0.00024959,0.00070007,0.0010005,0.166499017931034,0.267805944583333,0.41963030212766
FBXO43,8,100133360,100150569,25,5,8816,3.4739,0.00025644,0.0013928,0.0001835,0.166499017931034,0.376096964705882,0.259186692307692
RPRML,17,46978156,46979248,1,1,8816,3.4708,0.00025943,0.0002691,0.0002691,0.166499017931034,0.187463778666667,0.322760755294118
ZCCHC14,16,87406246,87492269,253,26,8816,3.4684,0.00026176,0.017253,0.00011316,0.166499017931034,0.621319674509804,0.254332062
ATAD2B,2,23685229,23927114,534,34,8816,3.4672,0.00026296,0.00034035,0.0024723,0.166499017931034,0.195297084375,0.497596020849421
TRPC4,13,37633872,37869802,682,82,8816,3.4327,0.00029879,0.00098342,0.0016726,0.16856316,0.300959300666667,0.497596020849421
TANGO6,16,68843553,69085182,405,48,8816,3.4264,0.00030583,0.00027969,0.0040578,0.16856316,0.187463778666667,0.497596020849421
FSTL5,4,161383892,162164034,2252,147,8816,3.4249,0.00030746,0.00019748,0.043789,0.16856316,0.184963764545455,0.780866333980583
UBXN6,19,4445006,4457794,31,9,8816,3.4226,0.00031009,0.0020795,0.00055244,0.16856316,0.419601967032967,0.3846839
KDM2B,12,121402501,121581113,273,38,8816,3.4178,0.00031566,0.00021796,0.013836,0.16856316,0.184963764545455,0.598890231481481
DGKQ,4,958884,973560,36,13,8816,3.413,0.0003213,0.00085084,0.00052051,0.16856316,0.287139053928571,0.3846839
SLC15A2,3,121894324,121944187,147,11,8816,3.3847,0.00035624,0.00056458,0.0044516,0.171072633333333,0.242987684545455,0.497596020849421
CASP4,11,104942866,104968598,50,15,8816,3.3838,0.00035747,0.00051981,0.0018419,0.171072633333333,0.2386187805,0.497596020849421
LOC644215,10,97401237,97426151,49,12,8816,3.3798,0.00036263,0.00055116,0.0015912,0.171072633333333,0.242987684545455,0.497596020849421
C16orf74,16,85707510,85751083,118,23,8816,3.3793,0.00036335,0.00042191,0.0033168,0.171072633333333,0.221346040571429,0.497596020849421
UBR3,2,169827470,170084131,730,42,8816,3.3555,0.00039613,0.000302,0.0061684,0.17774416,0.187463778666667,0.497596020849421
SH3GL1,19,4360367,4400568,65,18,8816,3.3494,0.00040499,0.0005082,0.0047187,0.17774416,0.2386187805,0.497596020849421
DMRT2,9,1003242,1057554,214,47,8816,3.3483,0.00040656,0.066277,2.3094e-05,0.17774416,0.705903871229698,0.141350676
EIF5A,17,7306999,7312463,12,6,8816,3.3325,0.00043036,0.00045427,0.000987,0.183773728372093,0.222194696315789,0.41963030212766
SLCO1B1,12,21131194,21239796,343,40,8816,3.2931,0.00049546,0.00093982,0.0015827,0.202300274666667,0.300959300666667,0.497596020849421
CDCA2,8,25458574,25511308,103,15,8816,3.2929,0.00049578,0.00058226,0.0038125,0.202300274666667,0.242987684545455,0.497596020849421
MRPL3,3,131462201,131503016,61,11,8816,3.2771,0.00052431,0.00030223,0.0042798,0.205548916170213,0.187463778666667,0.497596020849421
GFI1,1,92473043,92486876,24,8,8816,3.2762,0.00052613,0.00057731,0.0043042,0.205548916170213,0.242987684545455,0.497596020849421
KCNK2,1,215002639,215237093,560,52,8816,3.2326,0.00061328,0.011738,0.00021413,0.234397730740741,0.549829479591837,0.28084679
AEN,15,88604681,88632281,84,21,8816,3.2234,0.00063346,0.00022161,0.0047557,0.234397730740741,0.184963764545455,0.497596020849421
ILDR1,3,121987323,122060516,140,34,8816,3.2075,0.00066941,0.00040943,0.0045735,0.234397730740741,0.221116284117647,0.497596020849421
LOC105374861,2,39148212,39150198,9,4,8816,3.2048,0.00067581,0.001504,0.0011794,0.234397730740741,0.379423435135135,0.439806624
AQP8,16,25216916,25228932,42,11,8816,3.2029,0.00068027,0.0056036,0.0017321,0.234397730740741,0.495482679807692,0.497596020849421
MTHFD1,14,64388041,64460007,178,31,8816,3.2025,0.00068127,0.0054045,0.00071162,0.234397730740741,0.494507655172414,0.40833645125
BTN1A1,6,26499306,26510425,24,7,8816,3.1991,0.00068933,0.00096983,0.0087213,0.234397730740741,0.300959300666667,0.533801702
STAC2,17,39210536,39225787,21,11,8816,3.1918,0.00070702,0.00024705,0.0068422,0.236041840727273,0.187463778666667,0.497596020849421
TULP3,12,2890867,2941140,160,9,8816,3.181,0.00073386,0.00087571,0.0052295,0.236448740344828,0.287139053928571,0.497596020849421
DSG2,18,31498064,31548851,105,19,8816,3.1802,0.00073595,0.0019548,0.0023272,0.236448740344828,0.412575144827586,0.497596020849421
EVI5,1,92508696,92792404,550,31,8816,3.1759,0.00074687,0.003726,0.0020689,0.236448740344828,0.456009933774834,0.497596020849421
CCDC102A,16,57512178,57537130,61,18,8816,3.1698,0.00076262,0.00028723,0.013751,0.237342854915254,0.187463778666667,0.598890231481481
TUBA3E,2,130191745,130198461,6,3,8816,3.1511,0.00081333,0.0098413,0.00013851,0.248906091,0.527508885154062,0.254332062
DHRS12,13,51767993,51804199,54,21,8816,3.1393,0.0008467,0.00071934,0.0050757,0.25165121,0.269561654693878,0.497596020849421
TMEM175,4,932387,958656,49,18,8816,3.1383,0.00084971,0.0033275,0.0010225,0.25165121,0.456009933774834,0.41963030212766
OASL,12,121020292,121039242,38,15,8816,3.1258,0.00088653,0.0011547,0.0025759,0.257422309014084,0.33372935,0.497596020849421
FBXO31,16,87326987,87392107,113,27,8816,3.1159,0.00091686,0.017189,0.00029882,0.257422309014084,0.621319674509804,0.322760755294118
METTL5,2,169811757,169824931,43,12,8816,3.1111,0.00093205,0.0074617,0.00045943,0.257422309014084,0.517515672463768,0.383456984545455
ITGAM,16,31259967,31332892,137,16,8816,3.1073,0.00094406,0.0031213,0.0010464,0.257422309014084,0.456009933774834,0.41963030212766
ANKRD26,10,26966584,27100498,378,41,8816,3.1056,0.00094952,0.00061661,0.017229,0.257422309014084,0.246134626521739,0.615781586837294
INHBB,2,120346143,120351807,4,3,8816,3.1026,0.00095929,0.00077742,0.0019957,0.257422309014084,0.279901687058824,0.497596020849421
ITGAX,16,31355134,31382997,31,15,8816,3.0958,0.00098138,0.0060107,0.00066897,0.257422309014084,0.506277400917431,0.397809768387097
GINS4,8,41529206,41545046,40,14,8816,3.0918,0.00099463,0.00073957,0.0045114,0.257422309014084,0.2715996868,0.497596020849421
TRIM31,6,30102892,30113090,77,27,8816,3.0916,0.00099537,0.0011591,0.0042319,0.257422309014084,0.33372935,0.497596020849421
TTC17,11,43358885,43494933,240,33,8816,3.0672,0.0010805,0.18268,4.9105e-05,0.275557513888889,0.810792489736779,0.180333202
DNAJC18,5,139410203,139439525,28,8,8816,3.0502,0.0011434,0.0008489,0.0065878,0.287604257534247,0.287139053928571,0.497596020849421
CCBE1,18,59430939,59697643,900,112,8816,3.041,0.0011791,0.0041823,0.0024895,0.292078213333333,0.458821833136095,0.497596020849421
YIPF2,19,10922768,10929012,2,2,8816,3.0374,0.001193,0.00097281,0.001822,0.292078213333333,0.300959300666667,0.497596020849421
UTS2B,3,191267155,191330536,253,31,8816,3.0244,0.0012456,0.0015291,0.0053363,0.296946497435897,0.379423435135135,0.497596020849421
SCUBE1,22,43203223,43343388,462,88,8816,3.0213,0.0012585,0.0021353,0.0052898,0.296946497435897,0.422701137634409,0.497596020849421
RPS14,5,150444229,150449756,21,6,8816,3.0206,0.0012614,0.0016015,0.0075157,0.296946497435897,0.379575497435897,0.5073650125
GABBR2,9,98288082,98709197,1337,131,8816,3.0074,0.0013173,0.0036402,0.0070187,0.303386145,0.456009933774834,0.497596020849421
CD200,3,112332347,112362812,78,18,8816,3.0064,0.0013218,0.001387,0.0038613,0.303386145,0.376096964705882,0.497596020849421
SKIV2L2,5,55307748,55425581,220,15,8816,3.0005,0.0013477,0.0016964,0.016004,0.305511943209877,0.38936621,0.605011071283096
ABCB1,7,87503863,87713323,333,46,8816,2.9955,0.0013702,0.00081034,0.019698,0.306824541463415,0.286143520769231,0.625761790017212
CARD11,7,2906075,3043945,458,91,8816,2.9916,0.0013877,0.0037068,0.0059463,0.30699936626506,0.456009933774834,0.497596020849421
SLC26A1,4,979073,994217,35,15,8816,2.9851,0.0014175,0.0087337,0.00056565,0.30985875,0.521374865384615,0.3846839
RSPH9,6,43645030,43671013,67,14,8816,2.9779,0.0014509,0.0014361,0.0067916,0.313428538823529,0.376834791549296,0.497596020849421
RAB3C,5,58582127,58859394,712,81,8816,2.969,0.0014937,0.010703,0.0012655,0.314808506521739,0.534044798913043,0.45562962745098
TAB2,6,149217924,149411613,543,59,8816,2.9603,0.0015366,0.0017863,0.014035,0.314808506521739,0.395181212048193,0.598890231481481
OTOR,20,16748353,16752164,14,10,8816,2.9586,0.0015453,0.0023948,0.0020938,0.314808506521739,0.434914563461538,0.497596020849421
SCCPDH,1,246724076,246768137,104,19,8816,2.9582,0.0015474,0.0032019,0.0028474,0.314808506521739,0.456009933774834,0.497596020849421
LAPTM4A,2,20032650,20052028,43,13,8816,2.9558,0.0015593,0.0033908,0.0021773,0.314808506521739,0.456009933774834,0.497596020849421
MCIDAS,5,55219597,55227315,13,6,8816,2.9539,0.0015689,0.0016911,0.0033363,0.314808506521739,0.38936621,0.497596020849421
