GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
PVRL2,19,44846136,44889228,141,30,9675,13.469,1.1879e-41,1.2929e-12,1e-50,2.18288504e-37,7.91944346666667e-09,4.594e-47
APOC1,19,44914325,44919349,9,6,9675,12.585,1.2707e-36,4.9405e-15,1e-50,1.16751916e-32,9.0786628e-11,4.594e-47
TOMM40,19,44891220,44903689,40,12,9675,12.24,9.4937e-35,5e-10,1e-50,5.81520770666667e-31,2.297e-06,4.594e-47
APOE,19,44905749,44909395,4,3,9675,12.015,1.4869e-33,8.3683e-13,1e-50,6.8308186e-30,7.68879404e-09,4.594e-47
MS4A4E,11,60201253,60243114,100,15,9675,5.5098,1.7961e-08,1.9083e-07,1.6181e-07,6.60102672e-05,0.00058444868,0.000594684112
MS4A6A,11,60171607,60184666,17,4,9675,5.311,5.4522e-08,3.1528e-08,2.7799e-07,0.000166982712,0.0001158717056,0.000851390706666667
GNA12,7,2728105,2870656,422,39,9675,4.9346,4.0154e-07,9.6056e-07,7.8916e-05,0.00105409986285714,0.00252160722285714,0.0879397987368421
AMZ1,7,2679522,2765679,306,47,9675,4.591,2.2053e-06,1.4173e-06,0.00023759,0.0050655741,0.0032555381,0.145531794666667
ELMSAN1,14,73715122,73790285,169,38,9675,4.5024,3.3593e-06,4.2744e-06,0.00019962,0.00685894408888889,0.00785463744,0.131007754285714
GAL3ST4,7,100159242,100168750,11,5,9675,4.3706,6.1953e-06,1.2656e-05,5.0708e-05,0.0106716114181818,0.0155044437333333,0.068845684
SLCO1A2,12,21264600,21403657,407,50,9675,4.3639,6.3881e-06,9.7287e-06,0.00023578,0.0106716114181818,0.0137518916307692,0.145531794666667
LAMTOR4,7,100148907,100154210,4,2,9675,4.2749,9.5594e-06,7.4754e-06,1.6608e-05,0.0146386278666667,0.0114473292,0.0435983725714286
NAGPA,16,5024844,5033941,25,10,9675,4.1817,1.4467e-05,2.9733e-06,0.00026149,0.0184323530666667,0.00607081786666667,0.1501606325
BCL3,19,44748045,44760044,20,11,9675,4.1729,1.5035e-05,6.585e-06,0.00047281,0.0184323530666667,0.0110005418181818,0.203747105116279
AP4M1,7,100101412,100107180,9,5,9675,4.1728,1.5046e-05,1.2406e-05,0.0001338,0.0184323530666667,0.0155044437333333,0.117081371428571
MS4A4A,11,60280541,60308972,43,13,9675,4.077,2.2813e-05,8.9133e-05,4.8245e-05,0.0262007305,0.0779956194285714,0.068845684
LIME1,20,63736626,63739107,6,3,9675,3.979,3.4598e-05,3.041e-05,5.9945e-05,0.0373984028235294,0.034925885,0.0734366213333333
ZGPAT,20,63707442,63736142,58,9,9675,3.9209,4.4106e-05,0.00020518,0.00040098,0.0449780164,0.111942268235294,0.192335466666667
BAZ1A,14,34752731,34875647,315,29,9675,3.9033,4.7444e-05,0.00014847,0.00030554,0.0449780164,0.1091313888,0.164559705142857
KIAA0391,14,35121283,35274078,387,38,9675,3.8957,4.8953e-05,0.00010982,0.0003075,0.0449780164,0.0917296509090909,0.164559705142857
MS4A2,11,60088261,60098467,19,4,9675,3.8638,5.582e-05,0.00024578,4.8286e-05,0.0485869792727273,0.115806494358974,0.068845684
TAF6,7,100107070,100119858,15,5,9675,3.8537,5.8169e-05,0.00019208,0.000187,0.0485869792727273,0.111942268235294,0.131007754285714
SIX5,19,45764785,45769239,3,2,9675,3.7865,7.6407e-05,4.2372e-05,0.00019659,0.0610458709565217,0.0432377608421053,0.131007754285714
ANKRD37,4,185396686,185400243,11,5,9675,3.7675,8.2442e-05,5.6543e-05,0.00035958,0.0631230913333333,0.0519517084,0.183545613333333
C7orf43,7,100154420,100158721,3,3,9675,3.7401,9.1984e-05,0.00053358,2.6768e-05,0.06761191936,0.186493012363636,0.061486096
MS4A6E,11,60334882,60340968,18,8,9675,3.7292,9.6061e-05,0.00093578,9.6569e-05,0.0678929590769231,0.226261753684211,0.0887275972
PPP1R12A,12,79773563,79935455,159,14,9675,3.7191,9.9979e-05,0.00018725,0.00090882,0.0680449668148148,0.111942268235294,0.283058920677966
SLC2A4RG,20,63739858,63744050,8,3,9675,3.7022,0.00010686,0.00019779,0.00017691,0.068652736,0.111942268235294,0.131007754285714
BHMG1,19,45723892,45764539,38,8,9675,3.6951,0.00010988,0.0001393,0.00086155,0.068652736,0.106657366666667,0.277751628070175
SH3PXD2B,5,172325181,172454523,408,44,9675,3.6764,0.00011826,4.4706e-05,0.0061716,0.068652736,0.0432377608421053,0.442029353623188
RGCC,13,41457406,41470877,29,12,9675,3.6761,0.00011843,0.00020712,0.0004082,0.068652736,0.111942268235294,0.192335466666667
DMWD,19,45783006,45792802,12,6,9675,3.6728,0.00011994,4.2169e-05,0.0014593,0.068652736,0.0432377608421053,0.37023864109589
KIAA1586,6,57046532,57059326,12,6,9675,3.6563,0.00012796,0.00011747,0.00062378,0.068652736,0.0938534226086956,0.233930230204082
TNFRSF6B,20,63696651,63698698,9,4,9675,3.6515,0.00013038,0.00022496,0.00055709,0.068652736,0.115704235675676,0.222828973913043
MALSU1,7,23299321,23309561,10,6,9675,3.6507,0.00013076,0.0021938,3.6875e-05,0.068652736,0.337146446280992,0.0677615
UFSP2,4,185399540,185425985,60,12,9675,3.597,0.00016094,0.00030104,0.0004591,0.0820612562162162,0.128649093953488,0.203747105116279
ANXA4,2,69644100,69826464,282,39,9675,3.5902,0.00016523,0.0001672,0.0026103,0.0820612562162162,0.111942268235294,0.437286508474576
ZCCHC14,16,87406246,87492269,250,26,9675,3.5711,0.00017776,0.013076,8.195e-05,0.0848311548717949,0.528097969230769,0.0879397987368421
LOC105372417,19,44742615,44748454,6,4,9675,3.5677,0.00018004,0.00052468,0.00017117,0.0848311548717949,0.186493012363636,0.131007754285714
ZNF180,19,44474428,44501750,91,17,9675,3.5508,0.00019205,0.00055369,0.0010208,0.0870350107317073,0.186493012363636,0.302551948387097
GPC2,7,100169606,100177426,7,5,9675,3.5479,0.00019419,0.0011792,9.0926e-05,0.0870350107317073,0.264255843902439,0.0879397987368421
DMPK,19,45769709,45782557,10,4,9675,3.5026,0.00023036,0.00029847,0.000614,0.100787984761905,0.128649093953488,0.233930230204082
BCAM,19,44809059,44821421,31,14,9675,3.4829,0.00024804,0.0081,5.2451e-05,0.105406333913043,0.474785510828025,0.068845684
RAB23,6,57186992,57222314,26,9,9675,3.4755,0.00025499,0.00020696,0.001661,0.105406333913043,0.111942268235294,0.398639875324675
MSX1,4,4859665,4863936,18,7,9675,3.4667,0.00026349,0.00019677,0.00080592,0.105406333913043,0.111942268235294,0.264456891428571
ZNF451,6,57090010,57170305,69,11,9675,3.4663,0.00026386,0.00025749,0.002085,0.105406333913043,0.118290906,0.422062391208791
ALX4,11,44260438,44319220,174,42,9675,3.4388,0.00029215,0.00017662,0.0025826,0.114224434042553,0.111942268235294,0.437286508474576
GHRH,20,37251065,37261878,16,6,9675,3.4204,0.00031259,0.00031156,0.0011921,0.119046478367347,0.130118785454545,0.331865074626866
SEC14L5,16,4958317,5019155,181,32,9675,3.4163,0.00031744,0.00023297,0.0032451,0.119046478367347,0.115704235675676,0.442029353623188
