GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
PVRL2,19,44846136,44889228,141,30,8816,12.367,1.9776e-35,1.2708e-10,3.042e-44,3.63463104e-31,1.16780166e-06,2.7954459e-40
TOMM40,19,44891220,44903689,40,12,8816,12.107,4.8267e-34,5e-10,1.431e-47,4.435495965e-30,2.297375e-06,2.6300349e-43
APOC1,19,44914325,44919349,9,6,8816,11.728,4.5548e-32,5.9952e-15,1.334e-43,2.79042230666667e-28,1.101857808e-10,8.17252866666667e-40
APOE,19,44905749,44909395,4,3,8816,9.5185,8.7824e-22,5e-10,2.2251e-31,4.03529324e-18,2.297375e-06,1.0223778225e-27
ANXA4,2,69644100,69826464,284,39,8816,4.8454,6.3179e-07,3.845e-07,0.0002117,0.002322333682,0.0014133451,0.1799763575
RELB,19,45001449,45038198,63,21,8816,4.6833,1.4118e-06,1.4604e-05,6.7828e-06,0.0043245787,0.0298229906666667,0.0178087258857143
CLPTM1,19,44954585,44993346,85,14,8816,4.6428,1.7186e-06,2.5823e-05,1.0952e-06,0.00451230705714286,0.0431455379090909,0.00402573616
LOC105375950,9,971948,976558,12,5,8816,4.5469,2.7219e-06,1.0902e-05,2.2315e-06,0.0062532250125,0.025493970375,0.00683545641666667
APOC4,19,44942238,44945496,5,3,8816,4.3143,8.0047e-06,4.2369e-06,2.5356e-05,0.0163464868111111,0.01297833085,0.03966647675
DEPTOR,8,119873655,120050918,612,45,8816,4.2704,9.754e-06,0.00025055,4.137e-05,0.0179268766,0.145366751212121,0.0584876330769231
GMCL1,2,69829642,69881386,68,12,8816,4.1713,1.5144e-05,6.3431e-05,0.00023502,0.0253028705454545,0.0777198899333333,0.1799763575
RNF168,3,196468783,196503768,74,13,8816,3.9878,3.3347e-05,1.1097e-05,0.0031526,0.0510737094166667,0.025493970375,0.447679023636364
DMRT3,9,976968,991736,35,10,8816,3.932,4.2118e-05,7.3895e-05,0.00018741,0.058916181875,0.0848822628125,0.1722204195
SNRNP27,2,69893943,69905236,12,5,8816,3.9033,4.7445e-05,2.1427e-05,0.00055109,0.058916181875,0.0393806833,0.247036173414634
MXD1,2,69915041,69942945,42,8,8816,3.8961,4.8879e-05,4.0675e-05,0.0012321,0.058916181875,0.0575050634615385,0.337981580597015
DGKQ,4,958884,973560,36,12,8816,3.8844,5.129e-05,0.00010619,0.00017552,0.058916181875,0.102719263684211,0.169783267368421
BCAM,19,44809059,44821421,31,14,8816,3.8396,6.1626e-05,3.6551e-05,0.001303,0.0649769123888889,0.0559809024166667,0.347070101449275
CBLC,19,44777861,44800646,46,14,8816,3.8317,6.3637e-05,0.0014682,2.0139e-05,0.0649769123888889,0.252098616666667,0.0370134681
RNF19A,8,100257059,100336218,110,13,8816,3.8057,7.0697e-05,6.269e-05,0.0026018,0.0683863243684211,0.0777198899333333,0.423172408849558
C6orf226,6,42890265,42890816,1,1,8816,3.7658,8.3011e-05,8.666e-05,8.666e-05,0.0740988768571429,0.0936896552941176,0.110574190333333
