GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
PVRL2,19,44846136,44889228,141,30,8816,13.388,3.5387e-41,2.5965e-11,7.404e-50,6.5041306e-37,1.590789e-07,1.3608552e-45
APOC1,19,44914325,44919349,9,6,8816,9.6714,1.9946e-22,5.2736e-15,4.703e-26,1.8330374e-18,9.6928768e-11,4.322057e-22
APOE,19,44905749,44909395,4,3,8816,8.5174,8.1571e-18,1.8252e-12,9.2538e-21,4.99758326666667e-14,1.6773588e-08,4.2521211e-17
TOMM40,19,44891220,44903689,40,12,8816,8.4746,1.179e-17,5e-10,4.5187e-22,5.417505e-14,2.2975e-06,2.76845686666667e-18
CLPTM1,19,44954585,44993346,85,14,8816,4.9299,4.113e-07,7.9254e-06,2.958e-06,0.0015119388,0.0182086065,0.00906134
ZBTB25,14,64449106,64505213,94,14,8816,4.8158,7.3304e-07,3.5146e-06,2.7647e-05,0.00224554586666667,0.0113876353333333,0.0459528276923077
BCAM,19,44809059,44821421,31,14,8816,4.7684,9.2855e-07,7.7645e-05,1.9917e-07,0.002438107,0.0648688681818182,0.00073214892
RELB,19,45001449,45038198,63,21,8816,4.6919,1.3534e-06,1.685e-05,5.8504e-06,0.0031094365,0.0258085833333333,0.013441294
APOC4,19,44942238,44945496,5,3,8816,4.4414,4.4686e-06,3.7174e-06,1.1854e-05,0.00912587422222222,0.0113876353333333,0.021787652
LOC105375950,9,971948,976558,12,5,8816,4.3957,5.5216e-06,1.2542e-05,5.0868e-06,0.0101487008,0.0237135418181818,0.0133564834285714
BCL3,19,44748045,44760044,20,11,8816,4.2974,8.6407e-06,6.5653e-05,1.0986e-05,0.0142204528333333,0.0628639761904762,0.021787652
RNF19A,8,100257059,100336218,110,13,8816,4.2814,9.2843e-06,7.1026e-06,0.000424,0.0142204528333333,0.0182086065,0.246362692307692
PPP1R36,14,64549902,64589386,92,21,8816,4.1403,1.7339e-05,5.116e-05,0.00035483,0.0245146784615385,0.0553129882352941,0.23292055
ZBTB1,14,64503950,64533690,68,9,8816,4.1161,1.9269e-05,0.0001636,0.00012046,0.0252974442857143,0.115652615384615,0.130238517647059
MAP1LC3B,16,87392195,87404774,28,12,8816,4.0671,2.3803e-05,4.9875e-05,0.00010754,0.0269840023529412,0.0553129882352941,0.1300729625
CD2AP,6,47477746,47627263,273,19,8816,4.0619,2.434e-05,0.0001153,0.00013688,0.0269840023529412,0.08476856,0.139769688888889
AKAP5,14,64465499,64474503,10,6,8816,4.056,2.4958e-05,6.9015e-05,3.1492e-05,0.0269840023529412,0.0628639761904762,0.0459528276923077
SPAG1,8,100158003,100241904,135,16,8816,4.0166,2.9519e-05,3.1692e-05,0.00074097,0.0301421788888889,0.0416070685714286,0.300539804166667
ANXA4,2,69644100,69826464,284,39,8816,3.8904,5.0041e-05,1.381e-05,0.0030667,0.0484080831578947,0.0237135418181818,0.47901780952381
PLEKHG1,6,150599863,150843665,763,101,8816,3.8592,5.687e-05,1.4192e-05,0.010653,0.05226353,0.0237135418181818,0.557840854700855
LRRC34,3,169793006,169812866,45,8,8816,3.7529,8.7409e-05,0.00040328,0.00015597,0.0734448090909091,0.167229408888889,0.14333643
LOC105378283,10,45180356,45194262,28,4,8816,3.7514,8.791e-05,7.1825e-05,0.00064163,0.0734448090909091,0.0628639761904762,0.26802635
SNRNP27,2,69893943,69905236,12,5,8816,3.7349,9.3885e-05,3.0422e-05,0.0010889,0.0750263608695652,0.0416070685714286,0.3616265
LOC105372417,19,44742615,44748454,6,4,8816,3.7208,9.9293e-05,9.8312e-05,0.00025779,0.0760418891666667,0.0752906066666667,0.189527208
MXD1,2,69915041,69942945,42,8,8816,3.6949,0.00011,8.2133e-05,0.0028105,0.080872,0.06563498,0.47901780952381
RFX3,9,3218297,3526001,549,60,8816,3.675,0.00011894,4.5644e-05,0.0039591,0.0839693703703704,0.0553129882352941,0.47901780952381
DMRT3,9,976968,991736,35,10,8816,3.6657,0.00012335,0.00020868,0.00038283,0.0839693703703704,0.12728724375,0.242635013793103
FBXO43,8,100133360,100150569,25,6,8816,3.5845,0.00016884,0.0013928,0.00011323,0.1108314,0.324046379746835,0.1300729625
BLOC1S3,19,45178745,45217078,131,35,8816,3.5569,0.0001876,6.4765e-05,0.0049236,0.118899586206897,0.0628639761904762,0.47901780952381
UBXN2A,2,23927271,24001000,185,19,8816,3.5447,0.00019656,0.00030628,0.0026792,0.12042576,0.137303082926829,0.47901780952381
GMCL1,2,69829642,69881386,68,12,8816,3.528,0.00020932,0.00032256,0.00077601,0.124106503225806,0.1411584,0.300539804166667
CCND1,11,69641105,69654474,18,8,8816,3.5099,0.00022415,0.00028069,0.0011018,0.12472668,0.137303082926829,0.3616265
CNST,1,246566337,246668587,196,32,8816,3.5027,0.00023025,0.00021037,0.0037608,0.12472668,0.12728724375,0.47901780952381
CIITA,16,10866212,10941449,151,44,8816,3.4927,0.00023909,0.00070007,0.0011841,0.12472668,0.218089603389831,0.3732978
HIST1H1B,6,27866792,27867581,4,3,8816,3.4918,0.00023986,0.0002097,0.00047552,0.12472668,0.12728724375,0.246362692307692
RPRML,17,46978156,46979248,1,1,8816,3.4712,0.00025909,0.0002691,0.0002691,0.12472668,0.137303082926829,0.190233
ATAD2B,2,23685229,23927114,534,34,8816,3.4638,0.00026633,0.00034035,0.0026697,0.12472668,0.145479837209302,0.47901780952381
DGKQ,4,958884,973560,36,13,8816,3.4618,0.00026827,0.00085084,0.00050574,0.12472668,0.240232086567164,0.246362692307692
FSTL5,4,161383892,162164034,2252,150,8816,3.4614,0.00026865,0.00019748,0.052056,0.12472668,0.12728724375,0.79305573877551
TANGO6,16,68843553,69085182,405,47,8816,3.4587,0.00027144,0.00027969,0.0052204,0.12472668,0.137303082926829,0.47901780952381
CDCA2,8,25458574,25511308,103,15,8816,3.4194,0.00031376,0.00058226,0.0029106,0.137801861904762,0.194580705454545,0.47901780952381
SSB,2,169798812,169812064,31,10,8816,3.4185,0.00031489,0.0018969,0.0001524,0.137801861904762,0.359433216494845,0.14333643
APOC2,19,44945982,44949565,14,5,8816,3.4071,0.00032832,0.00024115,0.0012028,0.139132422727273,0.133552323529412,0.3732978
UBXN6,19,4445006,4457794,31,9,8816,3.4032,0.00033307,0.0020795,0.00061871,0.139132422727273,0.374717745098039,0.26802635
DMRT2,9,1003242,1057554,214,47,8816,3.3842,0.00035688,0.066277,3.6334e-05,0.141310914893617,0.700904062140391,0.0477013514285714
SLC15A2,3,121894324,121944187,147,11,8816,3.3814,0.00036063,0.00056458,0.0045758,0.141310914893617,0.194580705454545,0.47901780952381
TRPC4,13,37633872,37869802,682,83,8816,3.3808,0.00036135,0.00098342,0.0013968,0.141310914893617,0.254581121126761,0.407510857142857
CASP4,11,104942866,104968598,50,15,8816,3.3572,0.00039372,0.00051981,0.0013652,0.145552890909091,0.187335447058824,0.404715741935484
SLCO1B1,12,21131194,21239796,343,40,8816,3.3496,0.00040465,0.00093982,0.0014943,0.145552890909091,0.254027817647059,0.422542061538462
LOC644215,10,97401237,97426151,49,12,8816,3.3441,0.00041279,0.00055116,0.0016197,0.145552890909091,0.194580705454545,0.43145052173913
UBR3,2,169827470,170084131,730,42,8816,3.3404,0.00041828,0.000302,0.0034587,0.145552890909091,0.137303082926829,0.47901780952381
ITGAM,16,31259967,31332892,137,16,8816,3.3403,0.00041837,0.0031213,0.0006333,0.145552890909091,0.425462962962963,0.26802635
KDM2B,12,121402501,121581113,273,37,8816,3.331,0.00043271,0.00021796,0.011085,0.145552890909091,0.12728724375,0.564383102493075
ILDR1,3,121987323,122060516,140,34,8816,3.3305,0.00043343,0.00040943,0.0042351,0.145552890909091,0.167229408888889,0.47901780952381
CCDC102A,16,57512178,57537130,61,18,8816,3.3292,0.00043555,0.00028723,0.011471,0.145552890909091,0.137303082926829,0.573026467391304
C16orf74,16,85707510,85751083,118,23,8816,3.3041,0.00047635,0.00042191,0.0033682,0.154524207017544,0.168580560869565,0.47901780952381
ZCCHC14,16,87406246,87492269,253,26,8816,3.3025,0.00047921,0.017253,0.00020575,0.154524207017544,0.60763153256705,0.171894772727273
EIF5A,17,7306999,7312463,12,6,8816,3.2842,0.0005113,0.00045427,0.0012186,0.162029206896552,0.172483171428571,0.3732978
MRPL3,3,131462201,131503016,61,11,8816,3.2731,0.00053193,0.00030223,0.0042316,0.164231426666667,0.137303082926829,0.47901780952381
AEN,15,88604681,88632281,84,21,8816,3.2709,0.00053612,0.00022161,0.0046699,0.164231426666667,0.12728724375,0.47901780952381
SH3GL1,19,4360367,4400568,65,18,8816,3.2027,0.00068074,0.0005082,0.0075717,0.203433990322581,0.18681432,0.495854462633452
KCNK2,1,215002639,215237093,560,52,8816,3.2004,0.00068623,0.011738,0.00022445,0.203433990322581,0.534020891089109,0.179364826086957
RAB3C,5,58582127,58859394,712,82,8816,3.1944,0.00070063,0.010703,0.00059338,0.204406022222222,0.517687210526316,0.26802635
MTHFD1,14,64388041,64460007,178,31,8816,3.1898,0.00071194,0.0054045,0.000776,0.20446026875,0.469548878504673,0.300539804166667
GINS4,8,41529206,41545046,40,14,8816,3.1758,0.00074704,0.00073957,0.0049774,0.211239926153846,0.222840927868852,0.47901780952381
FBXO31,16,87326987,87392107,113,28,8816,3.1561,0.00079944,0.017189,0.00031644,0.216888967567568,0.60763153256705,0.2154136
EVI5,1,92508696,92792404,550,31,8816,3.1537,0.00080613,0.003726,0.0021643,0.216888967567568,0.425462962962963,0.464629302325581
ANKRD26,10,26966584,27100498,378,41,8816,3.149,0.00081917,0.00061661,0.011473,0.216888967567568,0.198829680701754,0.573026467391304
LOC105374861,2,39148212,39150198,9,5,8816,3.1485,0.00082063,0.001504,0.0013555,0.216888967567568,0.330645388235294,0.404715741935484
STAC2,17,39210536,39225787,21,11,8816,3.1431,0.00083576,0.00024705,0.0067264,0.216888967567568,0.133552323529412,0.486492953488372
ITGAX,16,31355134,31382997,31,15,8816,3.136,0.0008563,0.0060107,0.00062245,0.216888967567568,0.482430855895197,0.26802635
GFI1,1,92473043,92486876,24,8,8816,3.1324,0.00086698,0.00057731,0.0043388,0.216888967567568,0.194580705454545,0.47901780952381
AQP8,16,25216916,25228932,42,11,8816,3.1316,0.00086927,0.0056036,0.0019075,0.216888967567568,0.471056739726027,0.449485256410256
OASL,12,121020292,121039242,38,14,8816,3.1303,0.00087322,0.0011547,0.0023112,0.216888967567568,0.285061546666667,0.471219720430107
INHBB,2,120346143,120351807,4,3,8816,3.0968,0.00097814,0.00077742,0.0018865,0.239709509333333,0.230467412903226,0.449485256410256
TRIM31,6,30102892,30113090,77,27,8816,3.0804,0.0010337,0.0011591,0.0041489,0.243236325,0.285061546666667,0.47901780952381
TUBA3E,2,130191745,130198461,6,3,8816,3.0799,0.0010354,0.0098413,0.00023481,0.243236325,0.510854417344173,0.179825325
TULP3,12,2890867,2941140,160,9,8816,3.0774,0.0010439,0.00087571,0.005088,0.243236325,0.240232086567164,0.47901780952381
UTS2B,3,191267155,191330536,253,31,8816,3.0738,0.0010566,0.0015291,0.0055089,0.243236325,0.330645388235294,0.47901780952381
METTL5,2,169811757,169824931,43,12,8816,3.0732,0.0010587,0.0074617,0.00044919,0.243236325,0.496438694444444,0.246362692307692
TTC17,11,43358885,43494933,240,33,8816,3.0623,0.0010983,0.18268,3.2502e-05,0.249219185185185,0.808852707581228,0.0459528276923077
SLC26A1,4,979073,994217,35,15,8816,3.0557,0.0011226,0.0087337,0.00051313,0.251626682926829,0.502556851851852,0.246362692307692
OTOR,20,16748353,16752164,14,10,8816,3.0503,0.0011429,0.0023948,0.0018732,0.253090385542169,0.3936996,0.449485256410256
DNAJC18,5,139410203,139439525,28,8,8816,3.0459,0.0011598,0.0008489,0.0061265,0.253775285714286,0.240232086567164,0.47901780952381
CCBE1,18,59430939,59697643,900,112,8816,3.0348,0.0012033,0.0041823,0.0024141,0.256317454545455,0.431205011111111,0.471351270833333
DSG2,18,31498064,31548851,105,19,8816,3.0332,0.0012099,0.0019548,0.0023292,0.256317454545455,0.366624734693878,0.471219720430107
SKIV2L2,5,55307748,55425581,220,14,8816,3.0296,0.0012243,0.0016964,0.015021,0.256317454545455,0.342635516483516,0.598221465517241
YIPF2,19,10922768,10929012,2,2,8816,3.0289,0.0012272,0.00097281,0.0017978,0.256317454545455,0.254581121126761,0.446534648648649
MCIDAS,5,55219597,55227315,13,6,8816,3.02,0.001264,0.0016911,0.0023609,0.261037303370787,0.342635516483516,0.471219720430107
TESC,12,117038923,117099446,179,29,8816,3.008,0.001315,0.0037041,0.0039808,0.267018382978723,0.425462962962963,0.47901780952381
PPAP2A,5,55424842,55535370,228,20,8816,3.0056,0.0013252,0.0013661,0.023349,0.267018382978723,0.324046379746835,0.648269818731118
SCUBE1,22,43203223,43343388,462,84,8816,3.0021,0.0013406,0.0021353,0.010104,0.267018382978723,0.378362903846154,0.54741137829912
GABBR2,9,98288082,98709197,1337,134,8816,2.9991,0.0013539,0.0036402,0.0053542,0.267018382978723,0.425462962962963,0.47901780952381
PTBP1,19,797392,812327,40,12,8816,2.9965,0.0013656,0.0014416,0.0058658,0.267018382978723,0.326603634146341,0.47901780952381
DHRS12,13,51767993,51804199,54,20,8816,2.985,0.0014177,0.00071934,0.010869,0.272687195876289,0.22035782,0.561725842696629
RSPH9,6,43645030,43671013,67,14,8816,2.9812,0.0014355,0.0014361,0.0052808,0.272687195876289,0.326603634146341,0.47901780952381
HNF1A,12,120977787,121002512,79,17,8816,2.9805,0.0014391,0.044139,0.00019485,0.272687195876289,0.676657350890782,0.170540142857143
TMEM175,4,932387,958656,49,17,8816,2.9669,0.0015039,0.0033275,0.001655,0.279747313131313,0.425462962962963,0.434555714285714
