GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
MS4A4E,11,60201253,60243114,100,15,9675,5.5964,1.0939e-08,1.9083e-07,6.7614e-07,0.000131397385,0.00175162857,0.00620628906
MS4A6A,11,60171607,60184666,17,4,9675,5.5496,1.4315e-08,3.1528e-08,2.423e-08,0.000131397385,0.000578791024,0.00044481434
GNA12,7,2728105,2870656,422,39,9675,4.8542,6.0431e-07,9.6056e-07,7.732e-05,0.00369797432666667,0.00587798682666667,0.109187735384615
AMZ1,7,2679522,2765679,306,47,9675,4.5393,2.8217e-06,1.4173e-06,0.00038524,0.01295019215,0.00650469835,0.228136642580645
ELMSAN1,14,73715122,73790285,169,38,9675,4.4439,4.4168e-06,4.2744e-06,0.00018185,0.0144067464666667,0.0130782392,0.170620920909091
MS4A4A,11,60280541,60308972,43,13,9675,4.4301,4.7086e-06,8.9133e-05,2.1761e-05,0.0144067464666667,0.102268975875,0.109187735384615
GAL3ST4,7,100159242,100168750,11,5,9675,4.325,7.6254e-06,1.2656e-05,8.6945e-05,0.0199981561714286,0.0232338848,0.114009736428571
SLCO1A2,12,21264600,21403657,407,50,9675,4.242,1.1077e-05,9.7287e-06,0.00013725,0.0225656536,0.022324934325,0.148213852941176
AP4M1,7,100101412,100107180,9,5,9675,4.2365,1.1353e-05,1.2406e-05,0.00012521,0.0225656536,0.0232338848,0.148213852941176
LAMTOR4,7,100148907,100154210,4,2,9675,4.2186,1.2292e-05,7.4754e-06,2.4325e-05,0.0225656536,0.0196047704571429,0.109187735384615
NAGPA,16,5024844,5033941,25,10,9675,4.1143,1.9421e-05,2.9733e-06,0.00031445,0.0324118834545455,0.01091676828,0.213802707407407
LIME1,20,63736626,63739107,6,3,9675,3.9634,3.6944e-05,3.041e-05,7.3802e-05,0.0565181626666667,0.0507515254545455,0.109187735384615
PPP1R12A,12,79773563,79935455,159,14,9675,3.8671,5.5076e-05,0.00018725,0.00078929,0.0777757852307692,0.131114102068966,0.311134721818182
MS4A2,11,60088261,60098467,19,4,9675,3.8359,6.2559e-05,0.00024578,4.9872e-05,0.0793640817333333,0.132706742352941,0.109187735384615
ZGPAT,20,63707442,63736142,58,9,9675,3.827,6.4847e-05,0.00020518,0.00038335,0.0793640817333333,0.131114102068966,0.228136642580645
TAF6,7,100107070,100119858,15,5,9675,3.7873,7.6157e-05,0.00019208,0.00020419,0.0827249462068965,0.131114102068966,0.170620920909091
ANKRD37,4,185396686,185400243,11,5,9675,3.7732,8.0593e-05,5.6543e-05,0.00030773,0.0827249462068965,0.0692010929333333,0.213802707407407
BAZ1A,14,34752731,34875647,315,29,9675,3.7525,8.7534e-05,0.00014847,0.00083683,0.0827249462068965,0.131114102068966,0.311134721818182
SIX5,19,45764785,45769239,3,2,9675,3.7462,8.9773e-05,4.2372e-05,0.0002407,0.0827249462068965,0.0586223391428571,0.184115441666667
KIAA0391,14,35121283,35274078,387,38,9675,3.7233,9.8304e-05,0.00010982,0.00041397,0.0827249462068965,0.11859268,0.237489414375
BHMG1,19,45723892,45764539,38,8,9675,3.706,0.00010526,0.0001393,0.00088594,0.0827249462068965,0.131114102068966,0.311134721818182
SLC2A4RG,20,63739858,63744050,8,3,9675,3.7038,0.00010619,0.00019779,0.00017515,0.0827249462068965,0.131114102068966,0.170620920909091
KIAA1586,6,57046532,57059326,12,6,9675,3.7037,0.00010623,0.00011747,0.00043882,0.0827249462068965,0.119806347777778,0.244116895757576
MS4A6E,11,60334882,60340968,18,8,9675,3.6975,0.00010885,0.00093578,0.000137,0.0827249462068965,0.252633077058824,0.148213852941176
SH3PXD2B,5,172325181,172454523,408,45,9675,3.6704,0.00012108,4.4706e-05,0.0049736,0.0827249462068965,0.0586223391428571,0.45940895
C7orf43,7,100154420,100158721,3,3,9675,3.6673,0.00012258,0.00053358,4.0169e-05,0.0827249462068965,0.2134805925,0.109187735384615
GPC2,7,100169606,100177426,7,5,9675,3.6534,0.00012942,0.0011792,4.6928e-05,0.0827249462068965,0.292537210810811,0.109187735384615
ALX4,11,44260438,44319220,174,42,9675,3.6519,0.00013014,0.00017662,0.0026923,0.0827249462068965,0.131114102068966,0.45940895
UFSP2,4,185399540,185425985,60,12,9675,3.6509,0.00013068,0.00030104,0.00033997,0.0827249462068965,0.145434008421053,0.215212733103448
DMWD,19,45783006,45792802,12,6,9675,3.6416,0.00013547,4.2169e-05,0.0011972,0.0828986086666667,0.0586223391428571,0.3280328
TNFRSF6B,20,63696651,63698698,9,4,9675,3.6221,0.00014609,0.00022496,0.00075864,0.0841630854545454,0.132706742352941,0.311134721818182
ZCCHC14,16,87406246,87492269,250,26,9675,3.6165,0.00014931,0.013076,6.2474e-05,0.0841630854545454,0.541871801354402,0.109187735384615
RGCC,13,41457406,41470877,29,12,9675,3.6131,0.00015129,0.00020712,0.00052709,0.0841630854545454,0.131114102068966,0.268786617222222
ANXA4,2,69644100,69826464,282,39,9675,3.5223,0.00021389,0.0001672,0.0029939,0.112311267027027,0.131114102068966,0.45940895
MALSU1,7,23299321,23309561,10,6,9675,3.5181,0.00021736,0.0021938,7.664e-05,0.112311267027027,0.363881785714286,0.109187735384615
ZNF451,6,57090010,57170305,69,11,9675,3.5135,0.00022113,0.00025749,0.0021297,0.112311267027027,0.135057183428571,0.449391179310345
RAB23,6,57186992,57222314,26,9,9675,3.5073,0.00022636,0.00020696,0.0017735,0.112311267027027,0.131114102068966,0.428070902564103
DMPK,19,45769709,45782557,10,4,9675,3.4927,0.00023907,0.00029847,0.0006134,0.115495975263158,0.145434008421053,0.296336768421053
MSX1,4,4859665,4863936,18,7,9675,3.4828,0.00024811,0.00019677,0.00093062,0.11678983025641,0.131114102068966,0.311134721818182
ZNF180,19,44474428,44501750,91,17,9675,3.4555,0.00027466,0.00055369,0.00097795,0.126055207,0.2134805925,0.314968528070175
GHRH,20,37251065,37261878,16,6,9675,3.393,0.00034566,0.00031156,0.0011639,0.154771372682927,0.146656884102564,0.3280328
BAG2,6,57172306,57185215,12,3,9675,3.3809,0.00036127,0.0002279,0.00079185,0.157909396666667,0.132706742352941,0.311134721818182
