GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
PVRL2,19,44846136,44889228,141,30,8816,13.388,3.5387e-41,2.5965e-11,7.404e-50,6.5041306e-37,1.590789e-07,1.3608552e-45
APOC1,19,44914325,44919349,9,6,8816,9.6714,1.9946e-22,5.2736e-15,4.703e-26,1.8330374e-18,9.6928768e-11,4.322057e-22
APOE,19,44905749,44909395,4,3,8816,8.5174,8.1571e-18,1.8252e-12,9.2538e-21,4.99758326666667e-14,1.6773588e-08,4.2521211e-17
TOMM40,19,44891220,44903689,40,12,8816,8.4746,1.179e-17,5e-10,4.5187e-22,5.417505e-14,2.2975e-06,2.76845686666667e-18
CLPTM1,19,44954585,44993346,85,14,8816,4.9299,4.113e-07,7.9254e-06,2.958e-06,0.0015119388,0.0182086065,0.00906134
ZBTB25,14,64449106,64505213,94,14,8816,4.8158,7.3304e-07,3.5146e-06,2.7647e-05,0.00224554586666667,0.0113876353333333,0.0459528276923077
BCAM,19,44809059,44821421,31,14,8816,4.7684,9.2855e-07,7.7645e-05,1.9917e-07,0.002438107,0.0648688681818182,0.00073214892
RELB,19,45001449,45038198,63,21,8816,4.6919,1.3534e-06,1.685e-05,5.8504e-06,0.0031094365,0.0258085833333333,0.013441294
APOC4,19,44942238,44945496,5,3,8816,4.4414,4.4686e-06,3.7174e-06,1.1854e-05,0.00912587422222222,0.0113876353333333,0.021787652
LOC105375950,9,971948,976558,12,5,8816,4.3957,5.5216e-06,1.2542e-05,5.0868e-06,0.0101487008,0.0237135418181818,0.0133564834285714
BCL3,19,44748045,44760044,20,11,8816,4.2974,8.6407e-06,6.5653e-05,1.0986e-05,0.0142204528333333,0.0628639761904762,0.021787652
RNF19A,8,100257059,100336218,110,13,8816,4.2814,9.2843e-06,7.1026e-06,0.000424,0.0142204528333333,0.0182086065,0.246362692307692
PPP1R36,14,64549902,64589386,92,21,8816,4.1403,1.7339e-05,5.116e-05,0.00035483,0.0245146784615385,0.0553129882352941,0.23292055
ZBTB1,14,64503950,64533690,68,9,8816,4.1161,1.9269e-05,0.0001636,0.00012046,0.0252974442857143,0.115652615384615,0.130238517647059
MAP1LC3B,16,87392195,87404774,28,12,8816,4.0671,2.3803e-05,4.9875e-05,0.00010754,0.0269840023529412,0.0553129882352941,0.1300729625
CD2AP,6,47477746,47627263,273,19,8816,4.0619,2.434e-05,0.0001153,0.00013688,0.0269840023529412,0.08476856,0.139769688888889
AKAP5,14,64465499,64474503,10,6,8816,4.056,2.4958e-05,6.9015e-05,3.1492e-05,0.0269840023529412,0.0628639761904762,0.0459528276923077
SPAG1,8,100158003,100241904,135,16,8816,4.0166,2.9519e-05,3.1692e-05,0.00074097,0.0301421788888889,0.0416070685714286,0.300539804166667
ANXA4,2,69644100,69826464,284,39,8816,3.8904,5.0041e-05,1.381e-05,0.0030667,0.0484080831578947,0.0237135418181818,0.47901780952381
PLEKHG1,6,150599863,150843665,763,101,8816,3.8592,5.687e-05,1.4192e-05,0.010653,0.05226353,0.0237135418181818,0.557840854700855
SNRNP27,2,69893943,69905236,12,5,8816,3.7349,9.3885e-05,3.0422e-05,0.0010889,0.0750263608695652,0.0416070685714286,0.3616265
DMRT2,9,1003242,1057554,214,47,8816,3.3842,0.00035688,0.066277,3.6334e-05,0.141310914893617,0.700904062140391,0.0477013514285714
TTC17,11,43358885,43494933,240,33,8816,3.0623,0.0010983,0.18268,3.2502e-05,0.249219185185185,0.808852707581228,0.0459528276923077
