GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
ANXA4,2,69644100,69826464,284,39,8816,4.7098,1.2395e-06,3.845e-07,0.00022691,0.02162099555,0.0070598045,0.260393406875
LOC105375950,9,971948,976558,12,5,8816,4.5773,2.3551e-06,1.0902e-05,2.7316e-06,0.02162099555,0.067917339,0.0501549076
GMCL1,2,69829642,69881386,68,12,8816,4.1192,1.9006e-05,6.3431e-05,0.00015523,0.0983139745,0.166379513,0.237514835833333
DEPTOR,8,119873655,120050918,612,45,8816,4.0916,2.1418e-05,0.00025055,0.00011648,0.0983139745,0.196003675,0.237514835833333
DMRT3,9,976968,991736,35,10,8816,4.0079,3.0635e-05,7.3895e-05,9.9444e-05,0.102062678666667,0.169598261875,0.237514835833333
RNF19A,8,100257059,100336218,110,13,8816,3.9219,4.3931e-05,6.269e-05,0.0022677,0.102062678666667,0.166379513,0.457246882105263
SNRNP27,2,69893943,69905236,12,5,8816,3.9059,4.6943e-05,2.1427e-05,0.00063954,0.102062678666667,0.09835528675,0.327262494054054
MXD1,2,69915041,69942945,42,8,8816,3.9055,4.7024e-05,4.0675e-05,0.0011783,0.102062678666667,0.149366735,0.3863351125
DGKQ,4,958884,973560,36,13,8816,3.8905,5.0028e-05,0.00010619,0.00014479,0.102062678666667,0.177250417272727,0.237514835833333
RNF168,3,196468783,196503768,74,13,8816,3.8524,5.8473e-05,1.1097e-05,0.0042935,0.1073622753,0.067917339,0.463519502453988
C6orf226,6,42890265,42890816,1,1,8816,3.7658,8.2999e-05,8.666e-05,8.666e-05,0.127891426923077,0.176796028888889,0.237514835833333
FBXO43,8,100133360,100150569,25,6,8816,3.7328,9.4686e-05,0.00023493,0.00031582,0.127891426923077,0.196003675,0.30222886037037
MAP1LC3B,16,87392195,87404774,28,12,8816,3.7224,9.8666e-05,0.0002561,0.00013636,0.127891426923077,0.196003675,0.237514835833333
CDCA2,8,25458574,25511308,102,14,8816,3.713,0.00010239,0.00024006,0.00076908,0.127891426923077,0.196003675,0.327450074
DNAJC18,5,139410203,139439525,28,8,8816,3.6756,0.00011866,0.00024068,0.00051448,0.127891426923077,0.196003675,0.307129454545455
UBR3,2,169827470,170084131,730,42,8816,3.6563,0.00012793,0.00027237,0.0010116,0.127891426923077,0.196003675,0.350083066666667
CD2AP,6,47477746,47627263,273,19,8816,3.6488,0.00013173,0.00026101,0.001564,0.127891426923077,0.196003675,0.418773872727273
DMRT2,9,1003242,1057554,214,47,8816,3.6431,0.00013467,0.021843,2.9798e-05,0.127891426923077,0.588927052863436,0.182373692666667
KIAA1614,1,180913177,180946103,62,24,8816,3.6386,0.00013708,9.6476e-05,0.0037586,0.127891426923077,0.1771395836,0.463519502453988
POC5,5,75674198,75717488,143,16,8816,3.6192,0.00014778,0.00019928,0.0025058,0.127891426923077,0.196003675,0.463519502453988
SLC26A1,4,979073,994217,35,15,8816,3.6057,0.00015565,0.00068812,0.00018693,0.127891426923077,0.224200258135593,0.260393406875
RSPO2,8,107899316,108083685,365,49,8816,3.5905,0.00016501,0.00040565,0.0017562,0.127891426923077,0.196003675,0.418773872727273
SPAG1,8,100158003,100241904,135,16,8816,3.5728,0.00017658,0.00023663,0.0025226,0.127891426923077,0.196003675,0.463519502453988
SLCO1B1,12,21131194,21239796,343,40,8816,3.5709,0.00017785,0.00064636,0.00044443,0.127891426923077,0.223921055849057,0.30222886037037
MAP3K7,6,90513573,90587301,154,19,8816,3.5709,0.00017786,0.00030909,0.00086865,0.127891426923077,0.196003675,0.327450074
TDRD10,1,154502219,154548147,135,13,8816,3.5662,0.0001811,0.0003824,0.00083555,0.127891426923077,0.196003675,0.327450074
KDM2B,12,121402501,121581113,273,39,8816,3.5316,0.00020656,0.00019791,0.0084402,0.13918271137931,0.196003675,0.469607612727273
RBM26,13,79311827,79406258,206,15,8816,3.5222,0.00021397,0.00044615,0.0039741,0.13918271137931,0.196484558333333,0.463519502453988
INHBB,2,120346143,120351807,4,3,8816,3.5151,0.00021983,0.00021468,0.00036615,0.13918271137931,0.196003675,0.30222886037037
STK32C,10,132207489,132332256,473,74,8816,3.4851,0.000246,0.011685,0.00012873,0.147656866875,0.538125032183908,0.237514835833333
CCDC9,19,47256474,47271953,35,6,8816,3.479,0.00025167,0.00051998,0.00065251,0.147656866875,0.216985290454545,0.327262494054054
RFX3,9,3218297,3526001,541,59,8816,3.473,0.00025734,0.00018761,0.0052275,0.147656866875,0.196003675,0.463519502453988
TMEM175,4,932387,958656,49,17,8816,3.4248,0.00030763,0.0011168,0.00038147,0.16164565375,0.249554748192771,0.30222886037037
RPL7L1,6,42879917,42889889,27,8,8816,3.4198,0.00031328,0.00035249,0.00098691,0.16164565375,0.196003675,0.348474125192308
SLC15A2,3,121894324,121944187,147,12,8816,3.4176,0.00031586,0.00054775,0.0040262,0.16164565375,0.223494172222222,0.463519502453988
INAFM1,19,47274402,47275723,5,3,8816,3.404,0.00033203,0.0006601,0.00031093,0.16164565375,0.224200258135593,0.30222886037037
GINS4,8,41529206,41545046,40,14,8816,3.3997,0.00033732,0.001077,0.00042179,0.16164565375,0.249554748192771,0.30222886037037
AMZ1,7,2679522,2765679,306,47,8816,3.392,0.00034698,0.00044945,0.0030051,0.16164565375,0.196484558333333,0.463519502453988
PPAP2A,5,55424842,55535370,228,19,8816,3.3917,0.00034727,0.00043831,0.0063325,0.16164565375,0.196484558333333,0.463519502453988
CCDC102A,16,57512178,57537130,61,18,8816,3.3879,0.00035215,0.00011798,0.0057213,0.16164565375,0.180519231666667,0.463519502453988
CBX5,12,54230946,54280131,32,11,8816,3.3788,0.00036407,0.00038736,0.0054719,0.163041201707317,0.196003675,0.463519502453988
TUBA3E,2,130191745,130198461,6,3,8816,3.363,0.00038554,0.011246,2.2136e-05,0.168545236666667,0.538125032183908,0.182373692666667
SKIV2L2,5,55307748,55425581,220,15,8816,3.3389,0.00042055,0.00096724,0.0046817,0.176247239,0.249554748192771,0.463519502453988
IGF2BP1,17,48997412,49056145,89,19,8816,3.3348,0.00042675,0.00043261,0.003225,0.176247239,0.196484558333333,0.463519502453988
ANKRD26,10,26966584,27100498,378,41,8816,3.322,0.0004469,0.0005043,0.0073933,0.176247239,0.2153361,0.463519502453988
