GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P_MULTI,P_SNPWISE_MEAN,P_SNPWISE_TOP1,P_MULTI_FDR,P_SNPWISE_MEAN_FDR,P_SNPWISE_TOP1_FDR
TXNDC5,6,7881250,7910814,90,18,9675,5.4772,2.1603e-08,1.6356e-07,1.674e-06,0.000396587874,0.00300263448,0.030731292
BMP6,6,7726778,7881728,403,61,9675,4.8336,6.7034e-07,5.6971e-07,0.00014356,0.00615305086,0.00522936809,0.282562016470588
BLOC1S3,19,45178745,45217078,131,35,9675,4.4097,5.1754e-06,2.3863e-05,0.00010159,0.02593939505,0.0730128256666667,0.282562016470588
SUCNR1,3,151873643,151882088,21,10,9675,4.3906,5.6519e-06,7.4525e-06,6.4805e-05,0.02593939505,0.0446393128,0.282562016470588
NTF4,19,49061080,49065076,3,2,9675,4.1556,1.6221e-05,1.2158e-05,4.358e-05,0.0595570236,0.0446393128,0.282562016470588
FOSL2,2,28392759,28417312,29,9,9675,4.0212,2.8949e-05,1.1348e-05,0.00023181,0.0885742903333333,0.0446393128,0.282562016470588
SIRPD,20,1534223,1559006,58,13,9675,3.9553,3.8215e-05,3.8933e-05,0.00025519,0.09197358,0.08784303,0.282562016470588
FAM13A,4,88725954,89111398,1033,69,9675,3.9208,4.4135e-05,0.00018506,0.00055597,0.09197358,0.155165895555556,0.309287795757576
HOXD9,2,176122685,176124917,3,2,9675,3.9006,4.7977e-05,2.8003e-05,0.00012165,0.09197358,0.0734398677142857,0.282562016470588
CR1,1,207496128,207641765,191,29,9675,3.8738,5.3572e-05,4.9837e-05,0.00091119,0.09197358,0.08784303,0.383060531363636
GPR142,17,74367407,74373008,11,6,9675,3.8669,5.511e-05,0.00019385,7.2726e-05,0.09197358,0.155165895555556,0.282562016470588
IMPA1,8,81656916,81686354,59,14,9675,3.8288,6.4376e-05,0.00010727,0.0003894,0.0954446541538462,0.140661618571429,0.286826539375
CBX5,12,54230946,54280131,32,12,9675,3.8168,6.7588e-05,0.00012008,0.00089061,0.0954446541538462,0.146626425882353,0.383060531363636
PTTG1IP,21,44849585,44873903,77,18,9675,3.7315,9.5183e-05,7.5426e-05,0.0012565,0.124812108142857,0.115389209,0.404681175438596
ACTC1,15,34788096,34795726,12,9,9675,3.6563,0.00012792,0.00016681,0.00031689,0.143656749411765,0.155165895555556,0.286826539375
BTG2,1,203305536,203309602,4,3,9675,3.6514,0.00013042,8.968e-05,0.00033595,0.143656749411765,0.126641956923077,0.286826539375
ISL1,5,51383124,51394738,15,7,9675,3.6463,0.00013303,5.2635e-05,0.002032,0.143656749411765,0.08784303,0.47320066536965
DIS3L,15,66293256,66333898,91,21,9675,3.6139,0.00015079,0.0010219,0.00022581,0.153789045555556,0.335546901694915,0.282562016470588
PXDN,2,1631887,1744852,301,58,9675,3.5341,0.00020458,0.0036545,0.00022407,0.184191933333333,0.441191934640523,0.282562016470588
SIRPB1,20,1564383,1626497,48,15,9675,3.5212,0.0002148,0.00098182,0.00026166,0.184191933333333,0.335546901694915,0.282562016470588
RTN4R,22,20241415,20268293,34,15,9675,3.5075,0.00022617,4.3273e-05,0.0056497,0.184191933333333,0.08784303,0.47320066536965
RC3H2,9,122849453,122905283,68,15,9675,3.4991,0.00023341,0.00022514,0.0025042,0.184191933333333,0.155165895555556,0.47320066536965
ZFAND1,8,81701331,81721304,60,14,9675,3.4954,0.00023668,0.00098021,0.00040948,0.184191933333333,0.335546901694915,0.286826539375
GPR135,14,59452773,59465396,17,7,9675,3.4839,0.00024704,0.00030457,0.0011419,0.184191933333333,0.186376535333333,0.386285698181818
L3HYPDH,14,59465511,59484438,62,13,9675,3.4706,0.00025969,0.00022721,0.0016056,0.184191933333333,0.155165895555556,0.467866742857143
HOXC10,12,53985162,53990279,4,3,9675,3.4622,0.0002679,0.00013258,0.0010286,0.184191933333333,0.146626425882353,0.384930544
MAP2K1,15,66386873,66491544,240,28,9675,3.4592,0.0002709,0.0081275,0.00013709,0.184191933333333,0.525776905154639,0.282562016470588
UBAP1L,15,65092760,65106647,9,4,9675,3.4113,0.00032323,0.00097958,0.00021586,0.207609988965517,0.335546901694915,0.282562016470588
RP9,7,33094797,33109390,27,8,9675,3.4074,0.00032796,0.0046553,0.00022005,0.207609988965517,0.461666234693878,0.282562016470588
